Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1
1189,1608,1570,1732,654,767,1013,1201,2010,2326,873,1003,1811,1983,735,869,848,1002,2102,2276
852,962,839,954,1092,1309,1736,1913,795,960,1599,1760,770,899,783,891,1121,1340,965,1163
959,1124,855,1010,822,934,962,1133,790,947,696,800,797,973,685,859,679,785,902,1059
895,1071,727,830,617,725,1036,1237,891,1138,816,919,908,1045,743,870,718,826,1069,1264
990,1167,801,971,821,948,994,1150,939,1108,945,1103,882,1093,789,926,701,883,836,997
621,700,508,608,893,1065,1056,1241,533,650,785,892,539,634,452,563,612,754,518,593
2060,2278,2009,2222,456,542,598,694,1245,1447,469,555,1656,1855,965,1179,439,503,1766,2053
439,506,259,316,1124,1356,1462,1740,356,417,1662,1899,379,450,315,377,1325,1645,352,418
402,453,363,414,361,431,496,566,535,629,542,615,503,569,409,493,250,410,448,520
792,952,621,707,384,467,543,592,693,835,393,476,643,786,763,865,407,472,658,804
1329,1589,1697,1930,582,667,741,843,2367,2617,672,805,1227,1877,3235,3554,476,561,2391,2621
607,707,457,522,2735,3218,1200,1436,468,573,3236,3676,474,568,392,454,1122,1364,539,642
514,620,468,558,400,465,587,679,579,685,390,454,539,636,391,453,394,456,622,733
628,744,649,890,404,468,647,733,630,780,481,547,652,797,612,724,438,499,664,823
1277,1536,1400,1648,667,795,736,864,1271,3883,641,782,2174,2374,2442,2655,591,664,1320,3046
1242,1512,1375,1571,2808,3015,1735,1983,996,1182,3481,3792,1125,1304,826,984,1040,1250,2417,2563
554,696,555,629,709,881,1708,1923,386,453,1863,2046,330,402,403,475,763,925,411,491
943,1083,844,983,325,394,606,696,674,863,326,399,835,968,582,710,460,508,758,895
704,843,815,935,503,589,717,854,940,1066,824,951,876,1065,476,561,621,705,822,1065
806,953,780,922,720,835,877,1008,707,821,849,983,715,839,549,635,620,707,708,843
780,878,818,954,555,643,779,919,714,926,662,765,740,943,590,677,552,666,642,776
635,766,671,789,599,732,874,1013,560,669,661,775,577,712,409,477,653,737,571,690
620,742,687,802,496,568,764,891,598,716,469,570,548,657,468,536,495,563,570,697
851,999,775,931,445,515,659,746,718,836,477,577,742,861,546,670,553,629,584,714
865,1055,876,1030,492,572,981,1124,793,910,582,663,836,980,680,812,586,666,845,1034
966,1119,857,1038,782,902,913,1059,823,1020,837,935,885,1049,671,775,737,884,818,1008
932,1096,911,1115,634,727,857,1000,844,1045,798,929,831,1000,698,844,615,712,824,1020
977,1184,1244,1475,700,848,1046,1217,904,1187,815,914,1109,1305,999,1172,757,886,1066,1302
1497,1699,1424,1704,922,1102,994,1285,1622,1966,1163,1354,1430,1641,1240,1459,1072,1266,5418,5700
2089,2615,2327,3070,972,1163,1610,1809,2454,2624,2600,3001,1794,2073,2183,2339,4725,4984,2176,3068
479,544,452,507,4769,4955,3643,4015,366,420,2953,4799,251,291,485,531,5627,5795,345,399
1538,1782,1226,1522,261,325,496,566,1008,1265,366,406,1189,1471,1121,1305,316,362,1213,1436
1479,1743,1221,1438,1081,1282,1419,1720,4747,5127,1056,1392,1159,1362,4456,4877,1174,1324,4111,4727
2796,3098,1683,1916,1257,4351,1410,1661,5588,6063,1428,1769,2653,2906,4060,6436,4843,5267,5242,7430
1255,1464,1155,1351,6679,7056,3395,3691,1118,1350,3438,3909,1063,1238,994,1220,4537,5859,1044,1264
1132,1301,1007,1168,903,1062,1127,1476,759,994,1028,1163,759,895,698,841,1123,1340,859,1015
1010,1183,890,1058,692,813,986,1151,878,1073,742,876,675,774,752,893,763,869,768,933
2283,2594,1290,2113,844,1014,907,1092,1403,1636,790,930,1685,2220,1065,1307,857,1008,1064,1281
1286,1483,1084,1285,1447,1653,2190,2439,1141,1396,2508,2721,840,1085,994,1207,1609,1843,1066,1355
4797,5013,1443,1924,910,1096,1182,1400,1033,1225,1001,1164,1858,2061,1218,1437,975,1176,984,1190
500,583,523,611,1037,1250,2386,2594,2284,2646,1279,1713,355,430,863,997,1133,1363,1482,1692
463,562,454,546,389,450,455,526,446,528,380,453,417,503,587,690,358,426,441,532
651,752,795,894,454,522,585,673,1226,1470,389,475,514,610,1249,1521,463,517,1305,1470
1486,1697,1562,1818,1061,1291,721,842,953,1159,552,619,945,1161,1119,1390,710,1028,1286,1475
2177,2531,2010,2356,2202,2412,1681,1926,3561,3846,1223,1442,1701,1864,1125,1302,1291,1916,4055,4177
705,857,723,819,5023,5992,1930,2185,706,815,1132,1788,622,702,773,880,1723,3785,734,871
1454,1663,1332,1530,460,539,706,857,1123,1352,567,682,1267,1722,2046,2346,467,574,1272,1492
825,962,954,1115,1251,1793,1460,1674,843,1013,1949,2179,804,972,798,977,2187,2432,908,1065
700,846,1125,1402,763,886,985,1145,788,1060,746,866,609,741,755,948,769,875,1226,1351
779,901,801,934,599,724,1289,1522,836,945,766,900,568,664,639,741,672,804,650,815
667,777,731,848,588,691,812,968,613,743,618,727,437,512,618,698,541,670,690,806
1155,1342,1186,1315,527,638,780,914,1091,1333,576,692,718,863,1326,1594,667,794,876,1056
1321,1582,1465,1768,1048,1165,1048,1212,5294,5916,815,955,2136,2379,3029,3280,948,1127,4838,5156
497,577,537,621,4904,5322,1685,1985,374,443,1512,1960,413,464,415,521,5665,6327,455,506
839,958,783,922,382,443,614,699,564,672,433,502,484,571,540,648,448,524,693,784
1331,1518,1339,1541,535,636,869,987,1000,1211,537,620,867,1046,922,1071,565,687,895,1087
1556,2089,1958,2419,1030,1214,896,1110,2040,2240,925,1102,1753,1947,1256,1433,1122,1288,2315,2517
1093,1296,1297,1515,4500,5061,1484,1916,1774,1925,1671,2054,802,979,1286,1660,5673,5856,1059,1252
1014,1122,1312,1380,845,996,1123,1268,635,777,843,967,576,683,420,512,983,1163,572,696
1353,1603,1450,1676,507,610,1068,1188,1385,1612,580,681,1073,1300,1073,1314,535,624,1156,1419
