Client_0,Client_1,Client_0,Client_1
655,759,639,742
569,659,546,641
591,703,845,953
683,788,665,812
578,641,578,634
463,551,410,477
475,556,432,514
573,636,536,649
519,587,516,602
513,567,494,570
420,500,563,638
523,606,534,607
518,588,510,587
373,440,390,461
384,452,401,459
381,441,412,456
381,437,413,459
328,384,375,441
511,621,385,497
426,473,470,517
599,680,593,680
472,513,420,465
548,625,400,567
473,515,423,478
570,650,584,711
406,487,465,544
417,470,383,449
295,417,312,397
574,713,541,608
671,729,1039,1113
577,659,580,666
585,638,906,974
589,641,895,960
524,568,518,561
445,511,446,523
512,579,408,496
448,513,443,514
555,632,391,461
550,608,377,442
527,588,492,555
499,564,449,506
493,564,506,574
363,429,307,436
597,662,532,612
298,343,365,435
447,512,484,553
576,643,578,644
969,1032,636,705
496,553,447,496
453,526,358,420
446,513,367,437
704,777,538,601
493,537,518,566
544,619,474,607
409,478,358,412
374,436,408,453
332,388,298,358
883,953,638,711
351,406,388,434
377,436,391,448
392,460,451,505
619,701,419,544
376,436,327,370
523,589,497,573
408,467,435,493
729,781,569,624
369,426,447,518
428,486,541,604
344,395,346,406
359,522,525,605
733,804,626,693
323,389,473,549
1011,1074,537,597
431,482,511,560
435,488,473,539
369,411,425,467
410,452,340,385
491,558,445,566
385,454,491,557
331,429,452,506
489,559,528,589
397,460,420,463
362,431,254,351
424,488,431,476
455,522,526,581
346,402,463,506
460,529,567,632
1278,1377,594,654
507,586,502,560
374,446,380,440
407,492,408,527
455,508,384,429
1007,1217,1111,1294
1302,1617,1419,1705
1490,1796,1493,1699
881,1010,979,1110
1013,1157,1192,1385
1459,1743,1119,1350
706,842,996,1112
471,546,649,762
390,441,452,519
437,489,452,521
319,372,436,510
460,552,428,498
358,422,407,451
520,609,589,657
437,489,552,593
438,519,547,622
358,432,519,585
381,444,392,466
581,691,499,577
440,490,500,555
567,661,577,697
656,761,728,862
545,643,677,776
715,805,868,981
637,746,714,829
920,1100,1220,1391
1073,1296,1299,1533
1294,1645,1391,1623
910,1078,1035,1219
1115,1299,1156,1404
1122,1362,1390,1574
940,1102,1491,1707
1002,1273,1192,1408
1368,1631,1077,1327
761,939,782,873
397,461,560,646
407,498,491,547
488,548,1399,1472
1277,1374,552,633
462,514,404,462
426,482,454,503
473,527,540,601
480,537,510,564
425,472,417,469
366,419,462,514
476,538,435,489
463,507,352,393
1001,1193,421,459
1368,1591,1229,1418
1327,1514,1559,1762
1157,1418,1132,1376
1145,1321,928,1104
1382,1573,1399,1690
1099,1289,1568,1852
907,1038,1064,1231
1392,1664,1107,1244
1434,1711,1713,2024
1202,1432,1268,1575
1415,1582,1254,1423
2796,2924,1593,1954
463,571,663,796
660,729,540,608
416,457,687,784
439,496,448,493
430,486,462,522
416,485,455,515
437,492,500,557
443,498,390,445
447,487,414,472
446,497,370,433
499,561,501,562
396,460,495,547
480,530,473,532
397,460,464,516
512,572,438,488
376,414,519,574
423,477,501,546
389,441,390,443
333,390,387,451
478,551,484,550
493,557,511,577
343,414,389,459
384,430,334,394
424,484,293,452
1072,1388,1005,1171
1350,1621,1474,1759
1078,1300,1182,1398
1401,1719,1355,1606
1335,1638,1607,1936
624,740,1398,1593
498,583,472,541
433,480,338,377
346,400,560,652
433,491,389,429
335,431,505,579
488,546,476,519
1172,1467,1128,1325
1086,1470,1140,1348
1371,1632,1369,1619
1048,1247,1169,1384
1021,1250,1020,1209
1094,1332,1406,1625
1478,1773,1149,1484
819,964,881,1066
773,996,887,1000
1047,1270,1090,1239
660,756,696,791
846,995,1039,1158
789,886,1093,1248
583,694,1007,1141
529,591,560,662
342,397,398,454
475,570,357,449
517,595,561,638
379,435,373,412
508,559,481,546
442,512,403,442
446,489,487,540
355,417,400,452
382,453,433,502
393,465,573,640
432,499,571,643
1111,1325,1087,1256
1083,1362,1513,1702
1031,1241,975,1111
916,1086,1113,1279
1381,1705,986,1142
1486,1764,1582,2020
1103,1384,1095,1298
871,1002,992,1211
706,836,1183,1361
496,581,718,844
512,583,412,478
452,533,433,504
509,617,634,705
540,596,479,551
580,698,530,612
405,474,451,499
489,548,505,575
580,662,512,600
484,583,513,658
581,694,442,520
523,586,527,603
523,578,508,558
451,525,461,548
438,557,530,585
514,619,463,534
474,550,629,710
531,600,537,614
507,576,518,592
567,624,417,492
463,541,566,637
563,620,498,573
604,675,574,653
547,602,476,529
602,674,569,626
422,471,569,626
524,615,687,764
495,571,449,500
547,612,573,630
419,471,394,475
405,456,359,412
743,831,698,780
515,599,538,626
520,607,760,849
545,625,571,654
526,596,534,743
1100,1252,1248,1443
1551,1787,1559,1762
1146,1344,1498,1681
1006,1201,1023,1179
1168,1330,1007,1172
1029,1251,1085,1321
1439,1625,1595,1885
1242,1504,1176,1411
791,919,796,954
912,1072,933,1226
642,764,663,796
532,606,676,764
465,542,460,540
457,582,583,665
441,503,551,608
412,488,440,521
464,522,695,787
477,615,568,627
494,551,422,491
565,651,481,568
448,531,551,630
447,500,686,758
596,760,599,671
379,431,405,457
488,576,642,729
572,638,471,547
534,624,631,747
417,469,421,548
489,752,660,730
572,630,477,542
482,575,617,703
516,589,471,548
476,546,463,515
1252,1530,1199,1406
1512,1811,1757,2038
1520,1725,1264,1518
1137,1370,1298,1590
1220,1435,1093,1416
1084,1239,844,1003
466,563,563,650
357,463,505,617
368,456,660,701
455,508,374,454
523,583,490,571
285,339,387,428
391,450,459,513
454,539,382,445
445,501,512,555
436,489,496,540
415,479,533,651
513,603,539,617
369,442,492,547
578,638,436,483
465,544,574,671
431,484,459,515
414,559,445,510
336,429,473,528
486,606,475,604
432,481,502,579
380,440,427,489
423,493,479,542
565,661,511,601
543,596,455,521
596,707,557,659
478,557,554,607
573,696,482,541
472,549,544,604
433,509,562,643
854,1031,727,893
356,436,467,569
450,539,491,593
654,776,591,660
469,523,505,567
398,476,489,551
485,538,577,634
514,593,467,520
592,703,409,557
443,522,542,612
586,679,495,572
596,716,527,595
502,567,434,509
455,533,579,666
476,555,505,578
430,506,648,738
450,524,418,500
478,563,482,548
1296,1520,565,621
1143,1289,1243,1436
1364,1648,1214,1435
1308,1635,1540,1772
1153,1360,1144,1300
1150,1335,1094,1271
1459,1728,1587,1768
757,853,1114,1258
686,766,730,812
913,1056,1652,1786
538,625,691,791
838,968,774,891
575,688,669,779
633,763,904,1040
641,746,599,710
604,741,946,1090
654,729,686,761
759,854,819,947
589,698,661,780
603,690,640,756
865,986,892,1044
705,795,700,825
582,679,652,768
781,882,630,703
627,702,564,640
579,686,681,780
671,756,644,763
804,896,677,781
584,682,875,989
681,792,619,725
645,864,727,852
643,764,572,667
3569,3698,619,740
672,784,595,707
1076,1182,886,1074
626,768,916,1125
611,719,650,762
667,797,841,978
644,749,679,812
659,893,952,1354
617,754,604,717
717,802,786,975
543,604,461,539
1040,1235,1661,1939
1258,1524,3169,3528
1197,1418,1493,1799
1189,1393,1133,1282
1058,1194,1006,1203
791,921,857,1029
543,624,496,578
555,677,673,813
627,711,659,753
514,591,470,553
472,563,539,635
562,664,731,879
533,637,631,691
569,681,493,625
522,616,510,582
544,659,577,649
521,651,504,663
686,796,746,885
521,600,531,631
607,709,750,877
646,734,512,576
546,632,469,552
694,786,546,641
568,652,478,541
945,1130,513,574
1031,1208,1066,1511
918,1260,1503,1817
1116,1327,1130,1305
981,1162,1095,1276
1290,1490,1587,1979
756,886,743,909
754,844,712,832
998,1127,937,1112
663,753,845,957
665,817,836,1005
658,776,1072,1279
722,855,712,836
824,920,1005,1173
534,598,498,578
440,534,706,837
565,650,596,660
629,707,554,651
596,685,535,620
561,651,586,700
510,649,529,587
518,605,706,807
585,669,541,621
501,559,450,646
1001,1132,517,606
1595,1796,1167,1412
1447,1648,1092,1624
1048,1245,1076,1208
921,1078,976,1142
1456,1653,1198,1599
1242,1399,1327,1490
670,772,815,1035
716,871,675,773
531,612,887,988
458,540,624,702
566,646,356,441
607,757,645,728
535,621,508,603
1034,1293,1378,1530
1525,2139,1431,1651
811,956,961,1090
1014,1200,931,1119
2039,2314,1382,1672
1115,1317,1338,1624
942,1065,966,1086
1037,1324,1108,1278
1295,1565,1489,1754
864,1060,966,1176
1355,1615,1421,1683
487,566,630,704
605,704,681,785
596,663,575,665
453,536,605,785
498,583,557,644
624,764,692,824
633,766,622,684
593,663,466,545
575,649,592,656
612,727,696,822
492,551,602,667
484,547,545,637
664,776,627,739
477,561,609,701
929,1209,555,625
938,1113,984,1188
840,955,1226,1503
886,1054,826,963
1224,1486,916,1097
1247,1527,1568,1861
917,1104,1128,1321
709,857,748,895
417,482,531,615
351,450,484,550
281,369,527,582
531,576,501,546
501,583,407,461
420,474,376,426
384,427,338,383
438,511,452,547
550,632,512,598
645,822,450,614
580,649,537,629
584,652,586,657
1481,1675,1224,1387
1304,1642,1371,1554
943,1133,1040,1195
1097,1219,971,1144
2806,3121,993,1198
