Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1
336,403,242,363,406,590,412,487,291,350,402,480,313,369,382,453,332,401,303,363
361,423,353,426,353,526,403,469,334,402,350,410,329,389,339,410,326,399,312,375
357,419,342,404,313,371,440,505,247,377,296,339,291,359,285,341,427,501,249,312
335,400,328,403,350,426,387,465,361,437,355,412,701,765,267,386,337,407,280,336
322,382,320,362,316,381,357,427,415,478,349,416,281,330,253,309,430,496,226,327
339,385,395,460,269,334,482,567,319,379,423,484,331,402,295,362,393,463,335,405
287,358,236,341,300,369,370,438,335,405,334,406,303,368,316,377,315,381,332,411
321,370,319,361,254,301,471,530,395,457,357,398,217,297,287,347,368,429,466,522
307,368,318,449,314,388,405,456,350,423,346,415,254,370,349,424,340,410,278,341
323,385,302,374,297,352,321,391,356,414,359,415,333,400,315,371,338,381,282,338
322,383,244,351,220,327,391,454,318,367,384,452,344,407,281,345,390,463,236,291
471,510,311,378,297,378,451,499,354,426,369,439,352,423,307,379,358,426,331,402
433,528,325,369,430,516,481,570,358,399,536,699,265,323,390,477,695,786,325,385
344,418,253,315,288,441,532,598,343,408,416,469,284,344,335,411,401,498,282,351
1022,1197,287,357,1652,1873,1207,1466,321,379,1200,1730,267,323,1149,1382,1092,1343,322,383
1790,2027,280,389,1337,1574,1297,1676,361,417,1037,1249,306,363,1270,1531,1236,1460,258,313
1447,1684,258,300,937,1094,1081,1320,286,335,1130,1353,305,375,1008,1195,936,1156,308,377
973,1170,403,496,1489,1735,1077,1265,389,470,1014,1257,364,456,966,1211,1212,1451,375,469
979,1208,345,420,1286,1486,969,1203,309,359,1263,1667,306,378,1331,1510,1191,1539,338,414
1760,1990,1172,1360,3694,3920,1208,1557,1193,1458,2214,2639,1058,1206,3280,3531,1053,2227,857,992
1413,1633,1816,2023,1047,1231,1070,1301,1174,1402,1204,1375,1034,1519,1616,1759,682,853,972,1190
784,934,1100,1292,987,1124,728,912,1151,1407,1101,1257,1330,1551,1041,1179,636,801,1090,1319
750,895,960,1156,1524,1697,703,843,969,1210,1243,1392,1104,1340,1422,1580,731,946,984,1187
876,1507,1016,1259,595,740,838,997,1475,1693,685,809,1322,1542,663,762,612,741,1076,1287
607,739,1615,1985,711,815,691,817,1666,1949,538,647,2515,2736,560,669,611,749,1599,1788
523,636,1150,1394,573,686,606,726,692,852,448,547,671,837,460,556,397,483,682,846
376,441,683,855,301,370,430,490,723,909,324,395,779,909,275,321,347,411,650,825
374,461,842,1034,379,449,473,547,981,1150,298,430,802,977,285,339,386,473,723,947
391,486,1479,1708,323,381,369,436,797,990,312,378,738,1028,320,383,384,460,616,753
420,483,599,712,296,355,487,548,634,757,281,338,563,638,311,373,332,411,542,673
358,441,615,722,549,626,410,484,492,612,610,684,477,581,602,700,408,507,598,738
293,355,355,423,652,718,495,584,353,400,561,632,283,328,551,656,383,487,309,375
301,364,334,401,594,671,424,494,341,398,365,442,321,377,322,398,367,445,363,433
