Client_0,Client_1,Client_0,Client_1
1345,1742,1091,1318
894,1008,1006,34020
615,739,749,997
637,725,704,34311
1241,1364,869,1341
778,882,812,34107
566,649,716,1052
835,947,846,34033
935,1049,768,1066
534,620,552,33819
537,637,616,808
592,691,593,33678
377,453,470,650
430,518,568,33760
360,418,527,685
385,461,549,33797
467,564,544,722
518,657,680,33659
547,651,569,650
469,551,492,33633
511,572,547,604
554,615,579,33674
415,471,638,685
447,502,517,33773
464,520,556,661
979,1107,851,33970
967,1041,697,1109
728,815,751,33975
1077,1204,735,1019
827,947,740,34000
1030,1147,742,1052
422,480,352,33507
412,477,345,419
365,425,417,33558
292,348,395,519
289,330,346,33519
385,454,367,474
366,423,381,33537
372,431,332,436
512,562,496,33712
450,524,483,624
413,489,455,33574
423,476,475,518
466,529,413,33601
484,554,514,570
813,896,1212,34226
828,897,1246,1309
864,936,1268,33695
938,1017,496,643
568,654,939,33792
562,640,536,693
526,668,479,33729
501,585,531,670
406,481,455,33739
458,536,526,677
387,462,451,33591
476,537,426,551
407,478,481,34346
904,986,1404,1480
685,774,937,34372
914,994,1190,1395
802,879,497,34196
785,860,1231,1303
572,662,821,34059
790,874,877,1011
850,923,1153,34342
822,911,1145,1309
859,940,1169,34334
849,925,1150,1287
709,778,696,33714
1095,1181,1051,1133
791,870,814,33759
1088,1167,1030,1107
654,736,509,33842
651,737,636,792
941,1013,651,33953
627,710,755,897
730,799,743,33723
1127,1200,1024,1092
911,981,853,33855
1067,1129,1032,1095
1020,1083,970,33532
463,512,544,590
238,282,396,33558
451,495,477,513
491,538,552,33580
344,387,447,523
2484,2663,2412,34329
978,1114,1233,1347
2001,2503,2325,33951
722,838,647,832
360,421,413,33551
374,418,511,564
399,467,509,35664
1859,2101,2339,2738
1336,1556,1530,35588
1832,2032,2247,2577
813,953,1123,33709
359,421,480,646
364,419,450,33743
475,528,520,690
562,623,511,33794
517,608,597,763
405,480,465,33755
532,629,480,669
501,584,610,33780
597,681,549,690
540,627,530,33741
633,716,679,753
551,643,587,34237
1188,1275,825,1228
1608,1804,1466,34286
1198,1395,1273,1408
2178,2539,1253,34467
1326,1534,1084,1431
1023,1247,1218,34798
1595,1789,1426,2027
980,1117,1060,34867
1563,1754,1456,1890
892,1019,806,34169
947,1066,898,1088
744,846,685,33908
646,715,699,862
517,590,460,33817
595,686,611,801
449,509,604,33769
538,620,550,742
595,690,505,33761
454,544,504,687
600,682,499,34175
784,927,925,1204
727,862,638,34003
674,828,740,1035
646,762,739,33758
582,653,524,734
643,753,620,33709
497,559,518,691
581,650,434,33642
508,569,429,592
523,613,477,33695
506,598,648,727
470,550,434,33759
622,690,555,761
540,632,490,34028
635,703,805,1006
642,712,800,33839
625,697,640,779
653,767,419,33630
460,512,439,553
549,608,550,33656
584,643,431,635
466,555,462,33567
454,530,415,534
392,462,579,33606
557,615,554,595
453,505,434,33637
438,518,446,594
614,684,605,33813
551,616,617,782
560,629,601,33605
563,628,418,574
497,556,470,34541
1541,1717,1607,1796
1019,1175,1011,34733
1401,1594,2708,3536
1056,1218,1047,36541
1321,1485,1761,2766
823,1137,819,34434
1344,1498,1627,1782
926,1061,881,34302
1215,1393,931,1346
1008,1170,866,34703
1391,1581,1365,1750
895,1006,919,34627
1312,1461,1291,1664
649,754,525,33727
543,597,542,659
462,528,554,33737
420,497,564,684
456,505,574,33730
471,524,542,633
1522,1786,1333,34292
963,1133,825,1274
1453,1714,1894,34296
1035,1204,909,1252
1464,1737,1052,34434
1049,1206,1066,1456
1484,1846,1371,34262
1049,1192,929,1150
1278,1485,1928,34045
972,1146,977,1068
1216,1505,1317,34288
908,1118,950,1272
1305,1533,1297,34224
854,1083,891,1209
1108,1406,1561,34223
935,1047,884,1200
1066,1251,715,33783
741,886,570,713
703,827,508,33978
411,468,793,922
460,521,496,33775
501,560,607,724
444,497,552,33658
499,565,481,611
454,523,454,33621
578,642,480,565
594,699,508,33579
540,627,493,533
1316,1595,1263,34329
959,1124,991,1260
1262,1536,1299,34209
945,1064,872,1148
1452,1852,714,34147
720,849,920,1085
681,776,643,33766
601,702,490,737
549,616,491,33680
438,497,524,623
354,485,406,33605
555,636,409,545
522,601,1765,34112
535,598,1161,1220
506,562,389,33525
508,578,367,441
481,538,421,33584
536,607,402,528
365,425,499,33599
372,429,441,569
