Client_0,Client_1
623,693
469,538
480,545
438,513
451,521
418,482
473,542
467,539
536,606
397,445
480,551
528,608
470,519
592,660
392,440
382,427
534,608
488,558
377,432
428,494
492,568
410,652
482,560
594,662
579,648
546,604
419,501
557,620
577,646
575,637
532,610
466,549
587,649
560,624
513,577
546,615
561,648
535,596
529,605
564,628
490,560
515,574
484,555
556,634
413,458
494,556
492,553
540,618
515,565
591,652
560,647
595,665
558,613
523,570
403,452
516,575
486,547
461,522
540,595
538,593
489,553
467,534
437,489
516,560
477,553
506,554
393,435
399,442
528,576
522,569
510,558
338,382
494,542
541,589
416,465
509,564
536,607
496,559
469,519
459,508
531,600
498,572
421,479
380,451
416,482
437,505
381,546
501,582
396,465
503,589
575,630
641,703
525,599
623,686
575,629
535,590
543,634
515,596
529,608
532,608
525,601
524,605
581,645
510,568
521,585
500,563
514,577
473,538
440,505
469,546
538,617
576,645
400,454
588,647
450,504
583,642
611,671
786,880
687,772
898,1009
721,806
739,843
651,727
641,718
494,555
445,502
517,575
478,544
438,498
574,660
656,752
562,772
645,735
614,711
519,575
462,513
496,549
491,535
489,533
498,543
490,540
483,534
1172,1346
1167,1515
1553,1756
1102,1270
1040,1161
579,652
582,674
520,583
575,643
492,553
502,562
496,563
635,704
789,897
684,763
794,893
391,521
525,601
421,569
524,576
529,604
694,774
647,721
617,699
708,788
428,521
553,640
541,632
607,684
603,674
569,639
556,628
541,631
559,628
532,634
540,611
534,611
549,637
601,670
524,586
694,773
689,767
668,759
736,841
619,704
691,772
748,838
597,666
592,659
611,685
612,678
604,674
613,684
638,714
606,688
585,664
580,649
583,669
636,721
599,675
599,686
521,667
597,666
574,644
655,741
605,674
559,641
606,674
610,686
611,687
527,590
536,607
579,654
533,601
546,610
528,590
491,555
531,593
527,590
387,463
554,617
496,560
538,599
519,607
528,586
573,629
562,617
549,604
507,579
508,577
531,613
457,524
428,551
382,444
518,602
499,678
414,493
623,674
557,630
546,640
482,556
657,762
569,635
485,534
634,696
463,527
454,512
557,652
682,751
506,562
489,562
485,543
503,559
527,600
564,624
607,670
594,656
597,661
516,574
523,598
510,587
585,646
604,675
508,564
427,511
565,647
515,607
474,565
541,632
667,767
735,857
719,827
683,802
729,838
665,760
682,792
667,768
492,546
396,455
1161,1338
1415,1644
1363,1572
841,983
653,777
866,965
896,1002
646,756
668,756
505,566
471,526
1594,1793
970,1190
1165,1361
1000,1181
1397,1602
1242,1418
1281,1477
815,936
653,949
924,1052
708,787
608,699
670,774
643,712
690,802
626,728
676,973
1090,1228
1472,1692
1070,1260
1105,1285
983,1131
693,776
659,804
744,863
625,717
496,566
434,496
452,513
1011,1175
1473,1704
1018,1215
1496,1741
956,1144
934,1072
626,743
619,712
604,694
656,755
658,756
667,768
607,697
532,588
454,509
599,671
641,713
499,562
573,638
1085,1280
1040,1169
1449,1723
1044,1242
1492,1787
561,647
495,568
521,577
562,617
550,625
523,595
609,685
651,730
668,804
516,576
481,536
465,532
460,520
469,533
493,550
518,581
538,599
423,487
445,528
456,530
593,665
1285,1441
1162,1414
1055,1200
1502,1696
875,1034
1573,1758
974,1104
1464,1648
968,1144
958,1085
701,796
569,671
589,671
605,680
651,757
573,647
571,646
574,651
470,533
359,401
441,497
428,469
396,453
427,467
1540,1786
1007,1130
1201,1392
1001,1123
1370,1531
1079,1276
1003,1174
912,1061
1018,1305
636,742
893,1003
833,933
837,934
704,784
704,782
702,780
643,755
399,518
412,458
442,496
455,517
1000,1198
1076,1431
1124,1331
1437,1623
1053,1264
1437,1664
1140,1348
1098,1441
993,1172
1504,1679
996,1126
1348,1547
990,1181
972,1089
914,1021
617,691
732,822
544,680
646,730
730,837
703,794
759,855
627,722
703,792
658,735
744,834
503,602
523,598
529,606
511,570
487,558
552,621
547,632
427,496
424,490
606,671
609,674
607,671
444,530
559,630
528,598
615,680
609,674
518,593
507,576
500,586
558,632
542,628
577,652
565,649
556,646
545,614
992,1285
882,996
1136,1675
699,814
996,1115
2015,2213
727,827
1074,1219
1087,1227
888,1001
533,623
1044,1186
705,843
751,854
634,709
645,752
896,984
850,956
828,925
681,759
681,791
579,673
610,678
772,888
748,838
678,812
615,728
625,719
616,708
577,668
615,714
630,752
807,916
843,1037
728,815
395,459
356,413
