Client_0,Client_1,Client_0,Client_1
761,933,679,828
804,935,843,999
867,991,839,960
862,986,778,885
755,1136,757,861
656,751,811,905
981,1127,891,1052
675,787,682,845
912,1060,670,821
644,732,887,1142
795,894,748,879
840,993,1074,1243
718,877,740,871
708,863,832,987
702,836,703,870
720,808,762,947
815,904,838,989
739,897,734,880
525,607,868,1011
452,549,851,1003
380,437,628,727
341,401,593,697
483,537,707,952
336,398,659,732
430,515,480,541
366,424,339,396
460,535,271,326
426,505,386,471
686,871,406,483
455,543,430,483
404,470,376,419
987,1101,363,412
459,549,409,482
438,519,765,888
699,818,382,452
544,633,368,442
507,588,1007,1079
529,602,407,493
509,597,420,472
1108,1331,930,1021
1376,1735,380,574
1262,1562,500,556
991,1132,449,528
1353,1922,414,586
1288,1767,1221,1522
1206,1392,2106,2305
1098,1267,1728,1914
1379,1941,1042,1203
1610,1797,2264,2476
1096,1281,2444,2674
2137,2310,1286,1476
575,667,1368,1527
612,707,2665,2863
504,579,2021,2200
328,376,952,1166
423,498,1617,1792
382,424,562,651
443,510,935,1040
491,546,609,664
329,412,399,471
473,553,386,458
443,497,365,430
547,627,594,644
533,608,401,461
696,781,349,418
529,601,483,556
410,488,481,546
461,549,831,911
523,617,471,557
540,722,1029,1116
546,602,515,591
584,663,435,508
513,577,492,573
581,727,454,527
561,613,703,805
581,741,492,584
459,523,543,670
1147,1263,537,615
542,595,529,616
786,877,484,576
503,579,756,840
913,1014,487,554
574,643,842,1037
561,643,508,560
866,1260,627,713
626,712,535,587
443,515,714,801
569,661,514,590
526,618,545,597
468,541,697,848
500,581,523,621
450,609,491,558
1004,1092,663,746
476,556,515,609
1041,1140,430,524
496,587,561,642
480,566,456,532
586,640,1078,1169
659,747,526,606
643,725,1261,1352
501,585,522,595
393,578,581,658
1352,1476,564,656
606,695,527,611
556,653,602,666
640,739,642,715
587,697,481,554
649,745,776,997
632,732,602,704
1197,1316,583,675
665,753,658,754
767,901,506,613
555,660,652,727
1316,1440,566,666
527,622,570,681
588,686,564,633
570,669,795,882
837,942,537,629
615,722,823,923
953,1038,560,645
1232,1332,600,700
641,724,517,611
536,628,895,980
1325,1424,614,713
584,661,817,890
1108,1190,888,970
525,621,580,646
911,1002,523,625
536,614,1111,1207
552,620,512,575
606,702,725,805
1023,1130,528,586
583,673,918,992
593,692,664,730
707,797,624,709
568,629,503,565
1026,1112,708,806
560,661,532,629
841,918,526,611
591,674,523,671
563,668,613,673
3252,3342,948,1050
595,702,577,662
577,652,843,1053
666,773,628,693
636,719,648,757
1072,1152,3082,3167
572,661,564,662
604,691,619,703
651,747,492,575
1139,1243,500,591
546,626,1218,1314
1300,1422,545,617
509,597,533,727
633,735,557,658
634,741,1328,1420
792,1019,459,542
529,616,1335,1437
585,660,576,667
861,985,885,969
585,648,600,682
646,711,1326,1415
783,954,433,522
609,670,485,569
1259,1428,1091,1185
581,671,596,676
1296,1655,539,639
615,730,595,773
651,770,585,647
711,834,951,1055
571,710,647,723
736,922,1437,1528
1163,1271,655,762
709,827,547,660
945,1357,667,793
846,968,799,986
648,718,627,742
1153,1672,912,1037
683,752,636,764
1214,1376,1078,1185
832,940,815,953
922,1206,666,784
612,695,1297,1517
854,958,748,866
645,760,1587,1690
669,740,785,910
707,835,1310,1517
556,659,621,737
1217,1311,1312,1407
685,792,814,940
801,1090,763,872
638,706,584,707
584,659,598,684
771,825,1413,1500
443,503,618,709
430,495,792,907
407,479,578,667
424,478,538,611
361,410,885,935
733,816,323,372
507,577,449,514
447,511,500,573
237,348,490,554
470,526,447,489
397,438,763,831
480,536,506,567
342,402,446,520
358,426,315,373
769,859,550,616
519,667,405,450
4953,5292,497,553
527,628,430,480
852,1013,400,458
403,475,483,601
781,886,686,807
590,662,5541,5628
742,861,639,767
581,689,829,925
720,811,626,738
