Client_0,Client_1
434,481
10604,322
653,584
10432,428
433,479
10600,458
513,551
10588,480
631,563
10474,382
454,497
10415,1861
351,399
13829,481
3826,3928
10432,402
437,716
10717,451
694,772
10673,1198
637,688
10362,685
365,413
10569,625
586,644
10599,445
620,664
10435,475
420,462
10520,476
516,554
10562,311
590,640
10443,389
451,546
10601,434
631,683
10373,459
370,417
10523,412
414,440
10561,364
450,478
10471,368
456,510
10477,321
459,511
10719,497
595,623
10446,406
390,426
10453,500
420,461
10464,438
415,457
10516,407
473,511
10564,443
512,566
10371,483
333,366
10604,490
593,646
10581,391
607,657
10465,465
479,525
10580,397
475,501
10500,525
480,525
10476,516
442,492
10476,439
479,530
10501,482
451,499
10524,523
518,560
10533,421
465,492
10443,489
457,500
10619,357
501,547
10564,430
465,492
10602,470
630,675
10509,396
470,511
10597,401
620,669
10426,423
419,460
10561,465
560,597
10372,476
325,362
10622,452
649,698
10560,505
593,648
10334,502
306,336
10533,491
523,566
10534,494
528,621
10505,488
484,587
10511,362
449,475
10601,413
560,602
10598,459
598,546
10498,363
513,561
11173,449
1143,1233
11123,1182
1084,1174
11540,1170
1902,1629
11408,1081
1437,1578
12478,1177
2491,2188
11161,1020
1178,1306
10805,546
876,956
10595,586
495,528
10415,523
428,518
10424,427
445,495
10436,462
425,472
10355,435
344,389
10548,432
585,637
10673,592
574,600
10593,365
614,660
10431,362
427,468
10539,485
553,604
10505,477
429,477
10571,529
611,661
10374,430
378,422
10431,481
382,410
10537,400
530,567
10516,395
528,575
10561,380
515,612
10407,502
390,433
10506,442
453,490
10409,517
432,543
10551,428
569,611
10406,319
433,489
10575,365
532,578
10447,415
410,451
10497,515
492,528
11192,480
1241,1361
11240,1190
1163,1259
11372,1343
1410,1546
11443,1462
1506,1605
11166,1025
1145,1230
11149,999
1374,1511
11099,1412
1175,1285
10720,696
773,856
10615,671
544,604
10569,557
611,681
10610,525
607,669
10574,502
555,623
10659,725
645,712
10632,620
584,621
10870,617
956,865
10649,591
671,739
10528,536
561,664
10640,598
689,753
10517,669
545,620
10859,546
921,842
10639,605
572,638
11189,499
1380,1564
11293,1034
1360,1531
11504,1382
1505,1692
11060,1046
1227,1485
11159,1025
1092,1186
11387,995
1537,1653
11151,1924
1186,1333
10851,875
975,1086
10795,662
851,927
10510,463
521,577
10584,626
516,570
10594,541
510,553
10703,561
768,835
10476,492
429,462
10498,515
512,569
10834,479
916,817
10502,620
545,620
10716,535
809,709
10552,398
505,539
10670,352
740,657
10597,565
519,551
10489,502
518,576
10651,448
528,561
10649,493
568,612
10431,549
436,476
10662,441
762,665
10696,532
590,641
10748,572
725,783
10400,429
404,443
10601,577
535,568
10468,446
614,680
10616,427
552,591
10557,576
492,536
10462,576
476,527
10617,479
546,592
10484,459
591,649
10583,450
481,513
10601,480
545,586
10526,709
536,596
10801,600
910,805
10615,512
611,682
10737,505
800,875
10628,483
618,681
10698,583
656,720
10569,513
487,526
10759,522
819,884
10644,459
572,610
10515,699
524,584
10551,491
593,655
10572,638
543,587
10557,426
525,572
10760,612
818,860
10682,526
706,760
10514,656
524,603
10659,426
710,764
10547,660
519,576
10603,561
529,571
10576,585
598,645
10627,694
571,610
10861,636
967,861
10558,586
511,550
10525,593
650,944
10828,528
937,832
10621,568
537,577
10576,600
536,574
10534,522
669,746
10749,529
828,736
10549,651
577,648
10520,553
619,678
10665,572
555,593
10524,495
561,639
10555,558
572,644
10536,604
666,739
10539,544
491,529
10912,827
981,863
10623,371
598,656
10644,682
551,589
10558,636
508,545
10512,529
549,703
10540,525
491,533
10489,649
533,598
10503,490
559,626
10616,533
563,611
10677,498
601,652
10892,608
923,848
10565,554
565,635
10561,565
569,628
10526,554
585,656
10656,554
621,680
10815,561
827,887
10611,631
582,646
10608,582
598,669
10561,515
544,606
10600,577
642,708
10763,471
828,741
10533,653
545,611
10567,461
607,672
10777,507
877,767
10605,532
621,692
10634,514
678,747
10543,569
690,757
10661,799
571,609
10645,503
600,638
10556,542
607,683
10550,528
646,701
10633,611
595,668
10809,526
894,798
10642,482
677,755
10645,562
581,644
10566,574
496,545
10664,564
657,720
10687,551
598,657
10721,630
659,713
11003,630
1016,1118
11703,1249
1755,1972
10959,1098
1091,1245
11178,1234
1205,1339
11606,1052
1906,1681
11633,1418
1679,1857
10996,1441
1146,1304
10939,1131
941,1031
11840,1366
2184,1914
11351,1344
1571,1374
10512,736
511,558
11696,1188
1947,1710
11387,1097
1633,1422
10655,712
574,615
10931,695
1035,934
10721,603
619,662
10680,644
645,707
10570,575
609,679
10596,574
603,679
10812,403
878,950
10656,642
627,691
10649,721
590,630
10830,596
984,841
10698,540
648,721
46919,1355
