Client_0,Client_1,Client_0,Client_1
1294,1543,4169,4513
2260,2466,778,959
1071,1339,591,679
1357,1547,410,461
2648,2837,456,505
585,667,554,632
489,543,518,585
511,564,444,504
501,559,416,481
419,506,435,499
453,525,488,564
422,504,405,455
402,470,482,546
524,592,470,539
394,444,499,567
482,553,426,476
456,522,422,512
499,562,540,599
546,600,1412,1678
558,628,1131,1298
528,585,1307,1638
1247,1468,996,1143
1178,1377,976,1132
1224,1451,831,1013
1059,1230,659,781
1135,1378,721,848
655,739,662,796
654,760,559,670
1056,1235,493,588
811,976,501,594
456,540,499,593
470,562,556,647
432,481,492,550
457,528,472,520
488,547,408,483
471,546,546,638
462,543,465,540
540,613,523,586
503,583,451,506
436,497,441,506
492,585,507,569
492,610,1220,1430
435,501,3252,3532
436,502,1175,1341
1185,1390,1173,1579
1415,1771,662,860
1206,1470,524,577
1587,1913,392,458
767,914,1190,1378
540,593,1595,1857
436,516,1085,1296
421,501,1514,1724
1257,1501,792,946
1171,1362,895,1056
1408,1714,733,886
1221,1407,687,753
951,1225,445,517
767,925,346,396
2415,2519,1178,1375
454,514,3172,4388
408,474,976,1122
1091,1251,1666,1871
1582,2018,1112,1395
971,1114,1069,1228
1611,1930,424,489
1130,1352,457,540
1201,1427,450,552
507,568,487,550
485,541,497,598
596,706,484,558
496,555,677,791
503,600,576,645
575,642,490,584
685,803,1687,1897
613,682,1042,1255
617,686,1516,1738
1699,1906,522,608
1064,1276,505,683
1586,1821,504,604
666,747,563,632
753,847,542,628
535,639,598,671
636,710,514,583
584,679,483,576
546,618,415,499
643,717,1427,1633
535,633,1081,1343
517,604,1587,1825
1387,1657,945,1089
1091,1284,993,1126
1556,1950,2378,2544
1065,1232,515,581
1082,1217,540,637
3927,4034,1453,1655
591,661,1775,2021
566,643,1083,1358
1576,1783,1543,1755
1654,2148,994,1164
1032,1178,1213,1460
1306,1570,1118,1340
997,1140,1315,1513
1610,1840,1219,1462
1291,1515,998,1193
1103,1443,1575,1781
1093,1236,928,1100
1209,1464,1373,1810
1627,1838,728,887
1022,1259,781,932
1568,1786,1095,1240
918,1088,649,752
854,1022,1080,1225
1149,1313,775,882
834,942,729,833
970,1263,636,789
810,955,769,882
949,1072,614,700
909,1037,523,607
703,794,1611,2084
551,658,872,1029
611,709,1511,1702
1444,1649,977,1116
1021,1197,1559,1747
1403,1596,1061,1280
1058,1206,1449,1684
1848,2068,414,658
1023,1253,483,549
4508,4715,455,511
564,648,425,479
557,635,428,482
517,568,411,453
523,654,1365,1551
391,435,934,1071
515,562,1317,1517
