Client_0,Client_1
542,585
340,399
425,478
405,525
488,543
481,524
385,449
332,394
402,467
349,398
354,415
381,421
499,543
531,592
452,507
268,307
439,515
388,441
367,509
524,597
529,572
1073,1216
1652,1915
1045,1200
1176,1397
1107,1263
1133,1674
1245,1494
1154,1332
1439,1653
1515,1744
1091,1279
1005,1218
1123,1646
1595,1830
841,970
765,1102
592,887
580,671
520,663
707,795
474,556
482,547
683,767
589,646
421,497
566,630
561,617
583,639
626,698
683,756
535,591
673,751
629,702
532,594
419,491
516,573
624,693
532,583
482,553
537,608
495,554
545,610
567,626
414,468
463,511
435,496
453,512
483,546
520,565
355,415
439,498
422,462
313,352
389,442
486,541
515,575
482,541
376,430
375,440
345,439
579,641
528,578
417,464
384,440
446,511
380,438
568,651
483,539
354,485
353,413
552,635
492,536
433,506
339,392
362,495
512,589
490,558
465,524
505,587
548,631
570,639
463,500
503,564
524,590
480,556
324,375
308,349
519,584
377,522
441,505
458,501
447,522
414,479
441,492
529,609
509,563
469,524
452,502
459,507
519,583
517,560
523,592
416,478
492,551
509,553
428,468
493,558
461,515
471,521
492,547
499,543
428,473
438,511
499,555
495,537
423,475
523,566
517,555
499,566
492,549
396,467
524,587
580,651
527,592
540,587
382,450
392,450
506,579
551,609
516,564
533,582
504,564
578,648
552,614
1006,1163
1173,1377
1266,1622
944,1103
906,1068
639,819
623,731
871,993
709,817
717,823
672,777
641,744
648,720
587,707
800,887
602,697
634,704
568,665
580,744
591,663
587,692
661,758
668,761
778,868
557,626
898,1000
567,662
829,963
666,745
893,1008
650,733
706,829
465,548
844,952
539,610
861,962
611,726
815,910
577,626
420,480
490,549
484,536
529,588
390,430
393,452
456,507
319,357
473,601
424,485
424,495
1214,1446
1551,1750
1059,1269
974,1181
1097,1324
1527,1708
1037,1194
1046,1216
1077,1239
526,618
454,503
534,636
540,602
432,469
525,574
499,559
532,592
525,571
442,492
463,503
506,562
505,570
354,396
1034,1211
1439,1766
1374,1635
1090,1228
1282,1552
1079,1240
1002,1157
1053,1275
1455,1741
1451,1674
1084,1223
1448,1731
1553,1882
780,939
818,1014
1082,1305
836,981
1147,1364
677,829
848,997
510,589
839,978
675,785
803,941
571,673
757,897
587,691
773,864
615,721
681,762
952,1062
728,810
764,847
625,697
834,962
694,809
936,1050
871,974
644,759
924,1035
665,776
881,986
608,680
930,1062
713,796
727,829
588,709
1039,1284
572,663
762,885
508,582
765,858
446,559
421,486
526,586
482,541
515,575
496,565
456,518
530,590
1431,1493
491,535
457,526
416,466
454,500
414,463
352,409
483,552
399,449
446,511
443,501
508,558
415,454
455,508
443,490
502,567
356,423
353,400
525,585
485,536
485,538
519,562
461,522
523,582
499,554
513,556
470,514
397,443
571,681
487,549
494,538
510,569
466,522
423,481
397,465
506,549
516,577
409,461
460,524
451,512
459,504
316,381
479,537
537,601
493,553
508,575
425,484
558,631
368,426
584,638
429,493
441,499
579,644
497,565
393,455
394,456
969,1099
1128,1316
1327,1543
1144,1353
1170,1319
992,1199
1034,1262
928,1070
1170,1394
1456,1621
1094,1301
1067,1238
1255,1503
565,667
637,918
557,629
863,995
597,680
660,825
628,710
814,945
639,721
590,708
585,651
846,944
557,625
588,691
817,921
560,629
645,755
698,774
800,904
578,649
877,985
687,800
897,1007
550,650
864,965
688,764
826,923
679,755
626,744
637,733
669,787
582,665
512,632
566,674
553,649
571,735
565,663
749,841
609,712
553,669
874,981
631,757
630,736
711,787
654,838
691,768
653,755
671,794
671,793
651,745
600,712
633,707
403,471
519,595
445,508
1452,1670
1253,1437
934,1051
945,1094
1472,1675
982,1161
987,1139
1287,1485
683,777
785,1061
546,635
750,864
594,697
594,892
615,700
820,940
536,615
851,987
629,724
891,1030
594,661
1125,1258
558,674
834,948
618,708
801,908
692,766
791,887
619,721
771,870
531,627
794,898
656,749
550,638
652,742
627,703
660,734
727,833
687,761
518,610
719,801
558,689
904,997
391,443
431,506
350,392
515,591
954,1280
940,1056
1418,1641
789,906
2402,2668
1001,1207
892,1022
1107,1308
1124,1289
954,1064
932,1101
605,671
869,997
566,668
788,899
657,777
572,835
652,751
767,847
609,679
668,772
556,649
705,772
900,1003
631,733
562,659
614,702
638,766
860,963
631,730
879,991
580,646
585,650
601,700
535,633
749,854
626,696
870,1003
581,670
619,713
522,574
