Client_0,Client_1,Client_0,Client_1
701,794,1293,1502
1252,1424,1470,1696
1164,1316,517,572
492,546,525,583
506,569,631,720
584,668,563,623
521,579,992,1189
892,1058,1110,1261
1274,1425,675,783
557,660,957,1123
960,1127,1292,1551
1344,1530,1162,1302
1460,1657,1412,1680
1347,1591,1266,1505
1490,1700,1289,1473
1325,1472,1260,1504
1334,1553,1359,1591
1153,1385,1278,1500
1371,1532,1253,1492
1424,1714,1253,1450
1320,1472,1315,1517
1139,1275,1382,1570
1214,1438,1188,1389
1125,1260,1131,1338
1125,1260,1107,1303
1162,1299,1658,1907
1608,1781,1065,1207
1435,1633,1105,1245
1446,1638,1257,1405
1051,1227,1314,1566
1162,1410,376,455
368,428,725,806
671,802,1419,1584
1289,1548,1129,1330
1370,1584,1326,1527
1162,1390,1183,1325
1126,1360,1169,1410
1258,1510,1404,1628
1336,1545,1267,1476
1216,1415,1318,1525
1313,1540,1422,1617
1308,1443,1417,1667
1267,1443,1391,1622
1272,1493,1255,1463
1141,1350,1396,1599
1229,1392,1334,1579
1194,1435,985,1122
1088,1293,1197,1332
1198,1378,1259,1396
1198,1375,1163,1302
1310,1521,1271,1420
1248,1426,1386,1570
1164,1328,1247,1390
1348,1508,1171,1310
1415,1595,1250,1387
1270,1515,1261,1497
1090,1277,956,1092
1135,1280,1055,1195
1217,1352,1053,1193
1198,1331,1062,1201
1185,1320,1001,1139
1141,1279,1112,1304
1205,1342,1093,1310
1243,1386,1112,1341
1353,1523,1128,1372
1354,1532,1137,1291
1306,1456,1144,1350
1249,1439,839,997
931,1041,1163,1314
1388,1590,1232,1496
1310,1532,1144,1378
1287,1509,1318,1533
1269,1489,1315,1526
1250,1478,1267,1476
1235,1466,1257,1473
1252,1484,1309,1542
1324,1583,1297,1528
1122,1355,1426,1657
1385,1637,1463,1703
1374,1632,1330,1576
1387,1629,1330,1551
1177,1426,999,1164
805,968,1498,1794
1229,1606,1459,1746
1086,1336,1811,1993
1304,1838,1488,1644
1339,1584,1111,1259
1303,1498,1185,1326
1384,1591,1474,1724
1251,1425,1523,1870
1282,1434,1291,1548
1420,1662,1254,1497
1436,1623,1402,1625
1180,1329,1220,1397
1418,1621,1173,1354
1430,1652,1387,1540
1318,1584,1381,1552
1325,1596,1032,1234
1300,1525,1275,1459
1153,1347,1130,1317
1155,1324,1275,1454
1126,1296,1036,1233
1213,1404,1304,1451
1252,1501,1424,1577
1314,1586,1327,1507
1516,1872,1348,1581
1351,1623,1348,1930
2313,2618,562,632
499,562,1497,1719
1230,1383,1524,1742
1213,1375,5341,5583
5551,5811,590,679
552,668,724,808
687,813,1102,1257
1392,1606,1134,1282
1435,1654,1094,1235
1359,1555,1197,1335
1224,1468,1200,1338
1236,1474,1189,1340
1498,1677,1021,1150
920,1036,1218,1374
1289,1437,1504,1712
1231,1481,1099,1253
1204,1475,1191,1445
1029,1272,987,1125
1193,1342,798,911
966,1129,1239,1392
1102,1258,1232,1383
1063,1215,1195,1333
999,1156,1175,1311
965,1107,1199,1396
1010,1153,1187,1387
1002,1149,1192,1415
1011,1176,1227,1445
999,1171,1253,1457
1104,1256,1284,1421
1196,1358,1132,1348
1076,1239,1278,1477
1221,1385,1277,1527
1111,1254,1261,1530
1056,1221,1313,1546
1145,1391,1355,1588
1082,1272,881,1008
924,1077,723,862
743,830,1224,1475
1335,1482,1212,1455
1252,1400,1175,1403
1174,1308,1165,1375
1256,1420,942,1127
902,1017,1165,1389
1220,1353,1183,1433
1252,1401,1165,1395
1212,1346,1145,1298
1279,1431,1136,1377
1180,1322,1128,1376
1232,1380,1121,1354
1214,1456,1228,1404
1385,1646,1175,1359
1290,1552,1172,1379
1376,1526,1917,2091
1536,1916,1281,1433
1586,1782,1181,1325
1226,1479,1242,1395
1444,1591,1253,1504
1414,1618,1198,1348
1380,1628,1330,1482
1437,1623,1193,1336
1213,1418,1337,1488
1163,1325,1171,1330
1211,1390,1162,1311
1209,1375,1233,1518
1279,1469,1036,1179
1131,1280,1122,1271
1093,1230,1041,1193
1103,1243,1117,1286
1216,1370,1294,1519
1046,1188,1289,1488
1041,1230,1251,1454
1074,1224,1308,1520
1061,1203,874,986
902,1011,1392,1631
1154,1306,1311,1465
1145,1404,1180,1388
1053,1212,1139,1329
1096,1332,1253,1414
1208,1442,1230,1402
1150,1385,1208,1366
1136,1358,1229,1431
1128,1351,1214,1412
1113,1334,1208,1380
1134,1362,1212,1439
1090,1310,1235,1452
1236,1468,1250,1459
1230,1462,1284,1494
1261,1490,1289,1499
1264,1496,1262,1474
1245,1471,1232,1474
1320,1538,1249,1455
1224,1459,1239,1448
1210,1443,920,1085
966,1115,1469,1704
1385,1636,1491,1718
1386,1626,1367,1568
1334,1555,1389,1625
1311,1555,1511,1753
1217,1462,875,1005
708,839,1230,1444
1353,1584,2536,2974
2597,3325,504,579
565,620,1179,1418
1446,1718,1135,1437
1314,1495,1302,1551
1385,1571,1417,1700
1503,1733,1407,1677
1370,1531,1240,1391
1153,1323,1086,1227
1183,1343,1203,1342
1080,1255,1224,1366
1116,1267,1440,1671
1208,1387,1412,1652
1145,1298,1161,1326
1230,1421,1135,1271
1148,1286,1242,1381
1125,1258,1250,1385
1177,1358,1307,1448
1161,1303,1219,1361
1105,1249,1302,1452
1210,1415,1314,1459
1212,1356,1285,1493
1197,1375,1194,1728
1248,1384,1338,1555
1199,1333,1265,1522
1436,1700,1128,1363
1212,1428,1243,1478
1311,1531,1278,1482
1256,1485,1300,1553
1397,1630,1215,1441
1328,1543,1319,1524
1300,1530,1288,1492
1282,1514,1325,1538
1289,1519,1285,1511
1347,1567,1307,1547
1415,1653,1334,1621
1410,1677,1371,1633
1471,1705,1340,1582
1446,1680,1129,1546
1516,1770,1067,1224
1220,1411,1237,1473
1348,1593,1254,1422
1430,1658,1190,1394
1221,1392,1439,1651
1420,1642,1221,1443
1506,1733,1062,1279
1363,1582,1298,1439
1174,1372,1109,1272
1346,1501,1298,1503
1108,1246,1379,1536
1237,1438,1496,1735
1194,1351,1635,1866
1157,1418,607,696
696,788,1239,1433
1094,1235,1756,1925
1285,1721,1211,1360
1285,1481,1275,1429
1055,1203,1180,1322
1022,1188,1346,1503
