Client_0,Client_1,Client_2,Client_3,Client_4
2466,2681,2921,3132,3362
1428,1633,1810,1981,2174
751,839,917,993,1080
719,805,883,954,1032
853,921,976,1032,1086
748,836,922,1019,1106
570,637,701,770,847
542,607,667,730,798
505,623,667,709,755
604,653,699,775,839
592,641,687,729,776
675,767,844,933,1010
1025,1103,1168,1230,1292
863,935,998,1056,1111
502,614,647,678,713
535,600,660,722,779
533,591,648,713,769
683,738,783,827,871
327,371,410,460,515
567,635,690,728,795
576,646,699,763,800
881,977,1065,1212,1299
642,696,777,820,866
729,858,989,1097,1186
1109,1224,1329,1433,1537
645,963,1059,1132,1214
724,792,932,1004,1081
600,725,773,817,868
514,773,852,920,995
475,722,801,864,932
957,1051,1139,1225,1313
584,671,822,878,961
585,675,748,821,973
931,995,1050,1105,1377
640,717,797,912,997
769,835,885,945,1021
1269,1505,1841,1989,2195
2407,2658,2892,3115,3340
2144,2350,2528,2705,2895
1507,1669,1854,2030,2210
604,1126,1251,1331,1415
1052,1158,1254,1354,1454
928,991,1047,1103,1165
464,512,613,653,697
453,503,605,644,688
536,582,622,693,737
691,769,840,909,986
673,751,837,912,990
529,577,679,718,764
745,836,917,999,1087
633,709,849,928,1022
552,623,767,832,922
547,617,761,827,917
622,693,833,925,1005
2450,2738,3013,3274,3536
1468,1631,1808,1974,2173
2137,2354,2592,2801,3013
1184,1348,1481,1605,1724
1069,1226,1366,1506,1660
1126,1246,1357,1467,1575
591,658,790,869,954
634,717,863,926,997
616,672,794,853,901
560,615,735,795,857
616,672,790,845,892
809,914,1008,1101,1205
1022,1127,1223,1317,1412
579,710,760,810,863
585,645,770,833,896
792,925,1047,1165,1396
1105,1217,1326,1438,1537
526,698,750,803,871
644,716,781,845,917
1116,1214,1300,1382,1469
945,1084,1224,1548,1980
604,689,772,980,1065
666,760,837,955,1041
629,720,875,952,1034
744,829,915,1000,1095
396,727,802,861,919
462,690,746,806,860
2288,2515,2718,2918,3116
1372,1557,1681,1829,2008
2414,2662,2917,3169,3411
1001,1388,1502,1607,1724
2192,2567,2936,3304,3671
914,1003,1080,1154,1242
1803,1912,2013,2136,2272
631,701,851,918,975
914,1019,1104,1190,1293
1366,1519,1663,1807,1953
875,970,1066,1188,1315
740,809,868,926,997
552,762,840,935,1039
522,578,691,758,830
510,560,605,661,723
795,893,991,1086,1180
799,904,999,1094,1187
809,901,974,1045,1119
749,847,938,1028,1180
1201,1788,1923,2040,2168
1656,2183,2382,2560,2743
1936,2130,2290,2430,2568
1288,1450,1594,1936,2095
721,947,1027,1123,1229
583,668,739,852,924
551,600,654,739,796
401,586,629,674,714
764,829,883,935,987
555,602,646,720,766
516,571,640,794,888
941,1077,1199,1349,1446
1066,1180,1283,1383,1502
786,1197,1284,1390,1551
