Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
7403,7617,8810,7888,8620,5134,6296,6898,6704,6502,1444,1648,2217,2053,1856,7906,8153,8551,8345,8805,2145,2342,2974,2749,2548
1664,2340,2555,2450,2688,3537,3653,3755,3847,3938,5806,6020,6653,6421,6221,2981,3348,3259,3174,3084,5862,6124,6812,6595,6373
548,845,734,675,614,470,516,561,601,639,1319,1511,2010,1854,1698,399,593,542,497,450,2028,2224,2573,2401,2754
401,612,552,500,454,465,512,563,619,681,2062,2267,2857,2689,2514,291,420,387,357,325,7628,7992,8226,8487,8646
518,825,761,708,639,1287,1377,1642,1559,1475,1060,1131,1342,1284,1223,1447,1614,1987,1850,1925,4133,4231,4504,4427,4342
1206,1347,1555,1439,1648,2091,2179,2426,2345,2264,490,543,685,641,591,1901,2002,2161,2115,2066,481,538,697,638,587
2960,3350,4443,4135,4676,5332,5507,5638,5764,5892,518,555,644,614,691,4760,5338,5210,4918,5067,366,424,629,515,574
3295,3534,4484,4291,4054,3645,3846,4056,4247,4420,911,967,1127,1076,1023,3914,4417,4559,4287,4103,2317,2377,2785,2724,2437
1522,1927,2406,1734,2170,1204,1684,2423,2604,2797,1113,1269,1496,1440,1378,2468,2632,3075,2935,2790,1606,1663,1792,1751,1710
6356,8381,7835,7462,7050,9532,9754,9944,10138,10300,1303,2695,3903,3756,3592,4225,8118,9036,8604,8840,6410,6563,8449,8131,6711
1468,2273,2111,1892,1681,1863,2040,2278,2468,2656,2978,3162,3514,3362,3625,2386,2867,3038,2706,2533,3646,4350,4789,5197,5016
1549,1865,2459,2279,2061,1501,1681,1959,2140,2334,2157,2403,2949,2794,2611,2866,3149,3717,3539,3355,2315,2529,3256,3059,2825
971,1653,1511,1404,1255,1454,1600,1874,2011,2341,2340,5783,6748,6588,5956,1602,1746,2139,2019,1889,9081,9350,9963,9779,9584
735,1013,1197,917,1105,1091,1230,1347,1474,1579,1734,1953,2495,2286,2127,914,1286,1170,1081,1000,2767,2978,3346,3162,3538
1002,1386,1277,1188,1103,1176,1322,1446,1557,1671,4375,4582,5113,4945,4777,1182,1408,1649,1296,1531,3951,4150,4636,4488,4324
2994,3369,3282,3191,3100,2340,2425,2505,2589,2671,1337,1566,2004,1817,1703,3246,3501,3716,3616,3838,1935,2082,2471,2348,2223
821,1258,1157,1041,947,892,994,1090,1167,1244,654,908,1016,1224,1128,1073,1467,1367,1267,1157,833,905,1116,1062,985
3528,4720,4060,3905,3722,3267,4210,4328,4434,4524,813,914,1201,1112,999,2738,3134,3036,2939,2841,877,970,1255,1668,1570
962,1378,1282,1178,1078,1082,1174,1414,1504,1289,1120,1212,4007,3900,1283,1044,1412,1326,1238,1146,3932,4065,4353,4250,4160
551,1399,1278,1166,1032,975,1082,1183,1287,1383,1028,1140,1445,1343,1252,579,974,788,697,885,1166,1276,1581,1490,1389
916,1038,1351,1248,1150,944,1069,1190,1285,1380,4164,4438,4698,4606,4526,701,1047,956,875,793,3702,3821,4097,3996,3914
2105,2567,2471,2355,2237,1805,1926,2023,2133,2230,1067,1161,1474,1359,1244,1063,1381,1308,1228,1150,1175,1282,1578,1473,1379
