Client_0,Client_1,Client_0,Client_1
458,114464,283,182094
10345,104408,309,172049
306,94337,349,161999
11263,84283,266,151941
1333,74230,796,141897
10391,64176,361,131857
402,54131,952,121807
10396,44085,379,111758
427,34136,307,101699
10345,30885,303,91647
369,20859,4029,80942
10345,10827,357,80122
377,801,985,70006
11164,11247,385,59994
1332,1419,39128,49941
10885,10944,29252,39913
969,1043,582,1029
10330,10478,369,10515
330,433,425,472
13793,13873,477,10531
3902,3976,346,479
10870,10967,446,10895
949,1045,725,991
48729,48809,772,10626
38768,38812,473,560
39185,39327,480,10637
592,686,638,588
10550,10606,513,10675
538,585,513,659
10486,10599,422,10601
421,540,574,633
10848,10955,455,10628
998,1102,570,627
10420,10626,390,11072
468,603,1130,1200
10611,10760,431,10636
599,718,453,603
10522,10742,396,10612
578,715,598,669
10519,10638,470,10678
442,564,483,592
10527,10579,447,10470
534,576,439,516
10473,10660,474,11320
502,792,1145,1289
10758,10822,461,10717
809,867,495,629
10554,10701,374,10843
549,672,1081,1152
10489,10600,830,10555
425,525,506,576
10466,10534,518,10710
498,547,535,708
10740,10792,859,11530
833,879,1920,2023
10519,10613,668,10826
457,534,585,828
10796,10873,651,11060
987,1039,1155,1256
10607,10738,3549,10719
545,662,699,798
10585,10764,583,12031
593,756,2069,2250
11180,11262,1030,11400
1752,1829,931,1131
10635,10736,647,10806
742,824,621,791
11616,11714,711,10810
1844,1926,631,781
11040,11150,461,11404
924,1006,1196,1428
11343,11643,539,10696
1442,1717,592,642
10858,10985,446,10627
991,1078,513,570
10641,10882,546,10735
701,863,538,683
10738,10880,503,10603
702,824,564,622
10893,11001,458,10682
1005,1102,942,711
10632,10702,622,10706
611,665,508,703
10697,10771,524,10609
684,739,585,672
10589,10657,750,10893
593,640,686,871
10548,10625,518,11321
594,651,1042,1562
10930,11163,686,10685
1190,1301,448,601
10583,10674,559,10701
654,724,705,794
10675,10723,789,11094
649,686,846,1123
10514,10722,492,10958
665,725,527,997
10962,11044,754,10720
1323,1434,524,631
10501,10581,624,10688
491,526,628,696
10778,10856,483,11038
833,893,803,1058
10603,10885,515,10720
855,918,526,713
11224,11350,451,10740
