Client_0,Client_0
627,736
698,806
649,816
952,811
651,681
841,867
882,844
616,721
623,645
504,412
434,337
401,383
359,337
494,435
372,328
317,340
335,376
478,413
468,394
473,489
1539,1811
1620,1168
496,474
477,447
439,396
348,445
413,387
556,278
491,315
494,396
389,424
377,407
424,243
540,385
500,414
523,423
510,392
404,396
587,605
503,420
592,526
430,410
628,526
611,509
570,486
833,986
832,1063
658,909
687,898
771,1012
851,827
775,896
540,508
546,502
512,563
534,554
430,522
466,432
460,458
360,427
419,492
496,524
487,502
517,516
476,526
433,501
354,458
471,491
454,512
505,460
456,514
337,450
642,537
674,598
715,748
719,606
783,683
848,722
840,698
461,589
413,469
448,456
354,410
566,570
468,579
584,803
617,636
458,575
675,626
665,818
629,755
1034,1125
1794,2021
1099,987
1518,1268
1052,977
1531,1538
680,651
598,675
1307,805
938,584
691,571
427,453
420,400
389,453
376,514
389,433
482,465
496,381
443,518
456,430
448,527
503,506
1452,1199
947,1210
1112,1195
1064,1346
579,746
466,451
399,380
417,526
1814,1485
1069,1409
1159,939
1179,1912
1120,1012
2092,1270
1159,1553
382,450
609,470
360,425
265,439
459,532
390,442
462,460
378,403
1716,1614
1380,1487
2254,2033
1123,1145
1612,1482
945,877
653,633
600,558
644,647
513,570
597,574
802,721
615,634
807,665
566,533
499,524
569,580
513,462
516,582
724,716
620,627
488,611
479,569
479,536
593,501
478,553
826,1048
935,1016
632,837
735,792
639,842
867,745
573,533
533,518
660,687
482,530
515,451
511,543
546,593
847,845
527,669
467,632
491,513
481,406
446,459
459,455
422,537
368,474
415,488
494,519
480,509
513,466
541,502
573,562
472,487
1159,948
1781,1545
1024,885
1623,1923
920,835
2098,1890
871,908
1137,774
448,543
522,521
443,460
406,405
399,350
324,372
358,419
606,691
551,494
503,534
574,653
454,439
477,405
482,438
572,616
579,645
455,469
643,521
675,1229
548,610
494,548
468,615
500,538
588,605
588,698
769,884
693,788
776,657
626,460
559,460
667,666
626,520
666,609
582,637
545,530
598,554
1822,1532
923,787
1055,891
1536,1794
1032,981
1226,1362
860,723
678,774
1338,1128
749,832
662,827
957,1314
708,757
678,724
1226,1351
692,675
481,546
421,492
480,553
382,441
517,523
482,529
366,463
458,382
1383,1602
1066,1061
1521,1552
1016,891
1652,1833
1043,1070
643,710
646,719
414,457
325,358
341,435
309,360
434,412
414,458
1909,1374
1054,998
1833,1338
1033,904
1261,949
867,1056
1658,1160
752,732
1543,1105
640,842
1125,984
1019,795
902,945
1105,1054
1204,1052
715,651
1081,831
916,669
523,474
524,522
413,418
763,482
742,660
690,623
755,681
635,498
816,737
690,607
769,680
513,538
753,665
648,528
714,483
514,504
701,603
736,646
719,642
536,469
596,480
664,540
647,534
684,785
478,587
698,635
484,545
524,521
431,457
483,499
389,409
444,509
1101,1176
1620,1568
955,1098
1839,2018
1879,2061
806,806
481,398
486,448
401,433
546,517
530,478
429,529
466,589
655,630
666,639
411,516
470,555
475,554
508,541
564,524
461,503
510,424
449,529
447,451
1270,1283
1028,880
1081,1418
776,1003
926,1105
853,714
524,570
538,508
1175,561
991,633
1014,566
586,549
476,469
670,568
492,499
558,517
580,540
563,531
612,564
395,422
576,467
473,591
537,429
515,381
798,487
555,489
737,586
862,544
784,680
832,483
541,668
1026,777
1033,793
1091,823
538,564
1132,928
963,837
1470,1255
815,732
1274,1704
909,787
569,413
450,345
613,696
339,258
498,463
433,468
376,570
461,463
455,456
447,472
376,418
415,473
451,524
486,528
444,545
471,491
528,716
603,795
387,452
441,621
576,636
391,401
417,548
375,428
360,503
359,419
381,485
452,461
471,456
468,467
568,587
542,533
565,494
468,446
456,398
502,457
488,555
576,538
513,524
499,442
512,419
603,806
735,862
716,836
745,857
570,389
368,334
345,360
492,398
389,309
480,346
460,447
504,438
467,576
661,800
620,747
582,517
839,744
687,660
857,497
794,540
493,624
545,463
637,538
841,528
652,505
732,494
783,486
832,516
824,514
565,540
812,703
644,496
669,516
443,542
590,544
541,541
639,631
584,552
519,438
515,429
550,456
515,500
495,490
463,495
512,494
509,482
512,503
498,541
403,444
1477,3444
503,3116
534,691
513,710
375,621
520,480
438,490
427,489
522,532
1126,1228
918,1126
895,1187
364,471
384,403
385,401
376,452
350,439
414,617
396,478
369,569
448,569
458,499
