Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
629,696,759,939,878,820,999,1107,1164,1224,777,839,895,951,1005,1194,1266,1392,1448,1326
480,832,888,1039,986,933,1088,1133,1195,1245,671,728,783,833,888,938,970,1008,1059,1127
677,736,795,1202,1143,1081,1262,1323,1379,1446,542,604,874,935,988,1039,1090,1143,1203,1256
651,706,768,1140,886,825,1195,1244,1294,1360,420,636,676,712,752,802,840,874,927,995
662,725,783,968,909,847,1070,1130,1192,1271,759,817,877,929,989,1145,1207,1260,1383,1319
605,833,895,1080,1021,959,1140,1204,1265,1338,625,830,873,918,963,1006,1061,1116,1166,1237
807,889,957,1156,1091,1021,1221,1395,1626,1693,621,692,754,850,1019,1084,1143,1459,1543,1214
715,806,873,1183,1011,942,1250,1316,1384,1465,1773,1862,1951,2034,2121,2210,2298,2385,2471,2557
616,823,861,1020,963,908,1074,1128,1181,1248,652,697,739,779,814,848,891,961,1019,1077
896,954,1013,1067,1193,1132,1249,1305,1358,1414,760,816,864,933,985,1039,1099,1158,1221,1280
687,735,966,1169,1100,1036,1226,1284,1340,1403,753,822,884,944,1006,1067,1141,1201,1259,1329
1152,1196,1242,1416,1358,1302,1478,1539,1617,1689,1193,1259,1318,1381,1447,1509,1564,1709,1823,1761
685,756,933,1133,1074,1005,1190,1244,1309,1377,949,1022,1089,1157,1219,1284,1350,1593,1662,1516
827,907,973,1165,1103,1036,1337,1401,1464,1524,834,877,911,954,1004,1065,1130,1187,1243,1298
584,625,837,943,909,874,977,1012,1053,1087,709,749,784,818,852,886,921,1028,986,1063
833,894,950,1114,1062,1009,1166,1217,1327,1401,649,692,728,762,796,866,901,1028,936,985
610,669,719,1138,1080,1023,1196,1250,1315,1371,515,556,758,815,869,924,978,1036,1093,1161
1717,1793,1853,2027,1970,1913,2093,2151,2206,2260,1782,1847,1904,1961,2018,2074,2135,2195,2252,2311
594,822,866,990,950,916,1046,1107,1158,1215,797,876,932,994,1049,1107,1171,1358,1288,1414
777,851,917,1192,1034,976,1247,1303,1515,1575,975,1047,1114,1174,1229,1286,1341,1491,1618,1550
705,762,817,974,919,862,1033,1084,1199,1271,612,667,974,1026,1076,1125,1179,1234,1293,1366
603,658,960,1145,1085,1023,1199,1249,1298,1364,549,607,659,880,918,954,989,1023,1057,1099
628,690,895,1042,994,945,1089,1216,1279,1327,1441,1504,1559,1609,1664,1717,1778,1838,1898,1962
594,636,671,947,903,867,994,1050,1107,1180,769,825,875,927,979,1029,1078,1128,1178,1239
611,653,987,1149,1094,1043,1204,1260,1315,1381,653,695,732,768,802,836,869,905,946,979
1368,1471,1587,1863,1773,1692,1918,1968,2042,2113,1297,1376,1448,1514,1581,1640,1703,1762,1822,1893
923,991,1056,1241,1182,1119,1302,1368,1409,1452,492,825,886,948,1010,1070,1128,1183,1239,1312
992,1055,1114,1300,1238,1176,1409,1473,1516,1697,587,932,999,1060,1122,1182,1244,1305,1385,1447
1456,1517,1574,1747,1693,1633,1802,1858,1915,1982,1315,1398,1471,1536,1613,1690,1765,1834,1908,1992
807,848,897,1014,978,943,1060,1100,1133,1167,795,877,945,997,1058,1111,1272,1334,1457,1389
677,720,757,1032,997,959,1067,1102,1146,1180,620,674,736,795,1045,1104,1156,1206,1256,1323
1328,1393,1449,1618,1557,1506,1671,1727,1783,1838,2487,2556,2621,2684,2748,2810,2872,3189,3513,3829
914,969,1016,1151,1107,1062,1816,1897,1969,2036,1574,1653,1713,1774,1855,1923,1985,2049,2110,2177
792,835,877,1025,969,925,1082,1138,1210,1266,732,781,1133,1199,1261,1316,1380,1441,1504,1576
1331,1399,1448,1600,1549,1494,1646,1691,1737,1781,880,946,1004,1055,1105,1155,1559,1615,1669,1721
1479,1545,1667,1852,1797,1742,1906,1973,2030,2087,846,921,983,1048,1114,1182,1239,1766,1834,1395
667,727,762,943,883,822,995,1167,1227,1293,464,808,851,888,944,1003,1065,1126,1168,1213
698,751,789,903,868,824,938,973,1010,1048,668,718,756,879,918,954,1013,1069,1125,1174
1623,1685,1753,1915,1857,1806,1967,2035,2112,2174,1308,1370,1422,1470,1528,1577,1629,1680,1745,1793
850,915,972,1133,1081,1024,1186,1242,1296,1361,436,660,700,735,793,860,927,1008,1074,1133
2362,2766,3173,6748,6623,6397,6856,7040,7271,7514,4140,4254,4350,4507,4769,5278,5394,5604,5824,6540
629,698,1110,1299,1238,1174,1360,1422,1482,1545,712,778,834,889,943,997,1053,1269,1328,1205
876,938,995,1134,1097,1057,1172,1210,1247,1294,679,751,813,1244,1317,1387,1455,1523,1590,1657
2209,2302,2382,2621,2542,2465,2699,2780,2863,2962,1495,1592,2205,2297,2381,2460,2541,2619,2698,2775
3011,3120,3219,3502,3408,3314,3596,3689,3782,3894,2974,3087,3173,3255,3336,3414,3493,3570,3647,3723
1207,1316,1417,1736,1625,1518,1834,1928,2023,2139,1423,1524,1625,1734,1829,1924,2018,2119,2226,2305
1381,1483,1567,1819,2287,2200,2380,2472,2562,2673,1126,1228,1317,1408,1468,1526,1587,1643,1698,1767
2098,2205,2287,2546,2459,2366,2630,2713,2797,2895,1419,1520,1601,1681,1760,2481,2568,2649,2727,2804
1842,1961,2068,2369,2276,2166,2452,2532,2614,2714,1067,1178,1433,1512,1617,1720,1816,1921,2028,2153
2515,2651,2736,2976,2897,2817,3061,3159,3243,3325,3117,3232,3330,3439,3558,3664,3761,3853,3949,4060
3871,4484,5355,7308,6141,5560,7570,8582,8746,8849,4101,4239,4342,4543,5083,5295,5856,6420,7539,8277
3565,3684,3792,4152,4032,3907,4273,4390,4517,4658,1345,1476,1582,1686,1788,2084,2191,2292,2509,2393
982,1093,1699,2019,1912,1807,2128,2229,2342,2467,1336,1460,1576,1686,1819,1924,2025,2360,2226,2470
958,1029,1108,1385,1273,1182,1478,1552,1611,1706,1486,1599,1702,1801,1895,1988,2079,2372,2258,2465
1497,1605,1704,2223,1801,2109,2332,2434,2558,2652,1099,1194,1523,1625,1720,1843,1947,2051,2157,2266
2525,2622,2710,2984,2899,2806,3070,3160,3249,3339,1956,2074,2166,2248,2351,2441,2554,2642,2793,2895
3819,3922,4010,4259,4179,4095,4349,4443,4535,4629,3000,3098,3178,3255,3332,3410,3485,3560,3636,3711
1144,1244,1337,1552,1495,1428,1608,1681,1778,1894,1353,1442,1523,1600,1679,1760,1841,1919,1997,2093
1132,1249,1696,1940,1847,1761,2042,2149,2250,2362,1095,1202,1302,1391,1474,1556,1638,1747,1836,1922
2142,2297,2421,2747,2641,2533,2864,2992,3105,3204,2427,2579,2699,2816,2927,3041,3166,3269,3363,3455
1502,1629,1722,1989,1903,1812,2081,2344,2460,2547,1022,1207,1297,1387,1518,1627,1725,2082,1847,1950
763,863,1481,1839,1741,1583,1938,2034,2188,2310,1482,1580,1736,1836,1934,2096,2197,2486,2614,2547
3362,3472,3570,3861,3763,3667,3984,4091,4187,4295,1962,2164,2348,2512,2671,2828,2990,3155,3315,3498
1115,1174,1222,1374,1322,1270,1438,1487,1536,1595,967,1043,1110,1178,1250,1319,1385,1452,1533,1602
529,581,636,782,732,691,832,886,1031,1093,690,742,786,833,879,927,972,1185,1058,1119
975,1038,1092,1249,1199,1146,1301,1354,1405,1456,825,896,961,1025,1087,1150,1213,1394,1531,1460
1000,1059,1107,1247,1201,1154,1293,1339,1385,1431,801,858,911,964,1014,1063,1123,1378,1487,1272
440,483,519,769,582,733,804,838,873,915,513,554,589,623,660,694,817,853,889,931
706,780,848,1036,974,910,1098,1297,1365,1441,930,1015,1084,1157,1222,1293,1360,1425,1490,1570
840,936,1021,1296,1204,1113,1376,1644,1735,1828,1078,1169,1250,1331,1413,1493,1827,1906,1978,2073
1563,1697,1791,2069,1978,1867,2158,2264,2362,2466,1325,1604,1687,1771,1846,1927,1995,2064,2132,2217
946,1034,1107,1352,1275,1192,1425,1534,1619,1877,1220,1321,1410,1492,1572,1639,1709,1773,1836,1918
461,521,863,1022,973,924,1071,1120,1167,1227,724,818,1176,1229,1278,1327,1377,1439,1518,1611
753,836,911,1118,1050,981,1366,1437,1505,1589,1331,1413,1496,1589,1666,1740,1810,1881,1953,2051
1682,1858,1986,2484,2312,2115,2977,3136,3288,3518,2250,2483,2727,2929,3138,3327,3520,3732,3938,4194
6627,6844,7006,7540,7365,7189,7680,7851,8031,8268,3698,3895,4068,4231,4397,4563,4728,4895,5059,5229
1401,1617,1790,2822,2659,1960,2998,3174,3310,3471,1075,1935,2157,2364,2584,2798,3019,3247,3440,3653
5580,6767,8161,8794,8633,8443,8970,9144,9333,9539,2093,2275,2429,2581,2731,6872,7116,7310,8128,9579
2268,2479,2673,3195,3027,2853,3890,4151,4352,4557,1835,2030,2212,2401,2599,2814,3035,3612,3355,3817
5447,5645,5811,6370,6185,5986,6537,6696,6855,7069,3455,3678,3883,4087,4264,4421,4580,4738,4901,5059
1507,1647,1776,2152,2028,1902,2275,2399,2522,2670,1383,1513,1600,1699,1823,1924,2046,2721,2912,2476
4695,4856,5003,5529,5380,5212,5662,5808,5957,6126,3066,3312,3629,3895,4411,4679,4944,5217,5358,5482
1422,1567,1696,2076,1935,1812,2511,2671,2812,2976,1503,1634,1764,1878,1990,2098,2203,2546,2410,2660
5001,5212,5412,6004,5807,5612,6145,6300,6436,6575,3243,3418,3569,3719,3858,4002,4144,4289,4431,4572
1346,1468,1584,1905,1801,1694,2009,2112,2215,2343,1002,1112,1204,1280,1358,1439,1717,1816,1912,2059
