Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1
473,20455,507,599,362,455,420,503,291,351,268,327,724,983,338,22532,527,649,730,20529
403,437,334,425,274,336,510,556,269,330,322,376,347,20611,348,522,347,417,360,478
352,20464,376,434,275,328,474,516,256,312,287,350,414,592,1616,20491,338,411,437,20407
320,432,308,373,238,330,323,388,259,350,254,307,354,20496,343,443,274,338,371,413
353,20589,302,385,305,364,404,471,442,498,301,364,356,466,376,20542,261,315,284,20714
451,551,321,381,205,278,464,518,227,278,297,353,429,20397,481,525,338,413,518,629
1065,21954,360,431,1038,1228,1047,1180,1166,1345,774,905,374,430,302,20479,324,387,306,20443
1605,1966,357,416,1154,1385,1186,1425,1523,1731,997,1206,297,20313,329,442,282,337,309,404
1427,21612,293,348,4168,4414,1300,1560,2199,2636,2307,2523,275,329,440,20502,286,353,290,20604
1145,1675,302,360,1411,1621,1392,1611,1877,2074,1034,1235,453,20387,360,463,321,388,419,616
1167,21860,375,432,1311,1525,1286,1510,1403,1581,1034,1269,204,349,300,21306,271,319,286,21129
1209,1971,1058,1219,1151,1350,2528,2718,1179,1412,1180,1387,968,21344,998,1400,879,1077,1245,1446
1150,20789,1168,1395,3014,3168,1287,1566,3174,3338,2412,2549,1379,1703,1007,21382,1124,1359,1538,21949
733,830,1183,1462,440,530,700,823,442,526,353,502,1651,22073,1030,1389,2173,2432,1550,1985
532,20475,1060,1283,342,412,498,576,380,452,305,381,1625,2140,972,21429,1110,1343,1553,21820
452,515,994,1281,297,365,457,527,300,369,320,391,1232,21458,1059,1489,1241,1498,1586,1747
326,20678,1836,2087,286,345,396,480,327,380,246,298,834,1160,965,21055,1186,1592,1301,22881
543,671,1141,1376,412,524,398,481,379,438,304,368,1966,20545,738,1023,1792,2159,2191,3196
407,20518,546,629,276,332,363,426,246,296,250,302,339,443,544,20553,452,535,400,20537
459,521,442,538,535,591,444,518,362,451,275,330,305,20467,371,489,367,433,375,494
478,20542,310,379,309,372,433,491,285,347,294,358,269,442,307,20639,312,374,289,20525
393,464,454,507,319,357,426,489,276,315,245,302,378,20446,399,648,387,475,339,511
338,20431,327,391,521,585,310,374,470,601,288,358,304,431,321,20544,309,375,280,20410
429,489,301,363,281,336,385,450,295,360,232,344,296,20459,453,492,288,354,234,376
360,20685,316,383,562,624,426,497,423,536,297,357,304,420,322,20546,323,390,303,20440
497,606,328,366,227,265,454,504,265,320,256,310,256,20425,375,456,335,380,304,401
1230,21607,336,385,1163,1392,1159,1400,1061,1275,908,1038,286,399,303,20460,407,451,248,20501
1281,1643,374,428,2429,2622,1121,1328,2514,2724,1605,1825,264,20406,306,436,293,348,332,502
1142,21928,310,370,2876,3089,1344,1568,1779,2018,2039,2238,265,382,394,20564,279,333,282,20476
1833,2080,340,403,1002,1207,1742,1962,1285,1525,1293,1526,311,20449,473,507,328,390,326,447
2902,21159,309,361,3271,3441,1667,1887,2050,2272,2795,2987,321,390,307,21373,235,272,273,21125
861,1206,876,1075,1040,1181,769,952,961,1166,702,818,940,21797,955,1446,675,804,839,1070
428,21099,1558,1825,1050,1133,479,585,862,945,569,663,1293,2009,963,21475,1218,1453,2449,22522
849,1255,1141,1343,449,525,878,969,416,508,622,686,1266,21406,1095,1481,2396,2683,2041,2491
309,20500,1497,1717,350,418,324,393,370,433,317,381,1046,1489,1029,21065,1050,1266,1243,23233
277,461,2407,2594,341,404,337,417,262,325,204,303,3011,21180,765,1085,3286,3503,2589,3375
427,20454,872,1153,368,426,445,496,310,420,266,325,822,1127,573,20672,1061,1204,1105,20992
440,496,879,1182,495,558,564,625,473,535,367,457,432,20540,470,641,906,1008,657,973
411,20617,409,482,397,436,377,421,271,308,264,303,383,496,1226,21516,554,635,464,20420
428,611,322,388,375,432,366,433,301,396,281,333,362,20423,1347,1473,278,341,450,394
376,21298,304,362,387,439,431,490,409,465,258,309,268,383,343,20465,349,434,303,20459
936,1417,314,352,1054,1271,1208,1432,999,1209,840,1019,247,20441,324,433,259,312,276,427
1122,21870,317,391,5824,6154,1382,1621,4510,4771,1736,2017,295,413,379,20504,285,351,359,20493
1525,2330,251,356,3639,4122,2677,3325,4191,4945,4371,4659,347,20438,422,456,233,270,319,397
1973,21267,325,385,2327,2669,2288,2662,3139,4098,2647,2860,297,411,870,20604,284,344,353,20481
1304,1491,321,379,1323,1577,1201,1437,1444,1679,1247,1472,260,21104,476,509,336,397,315,457
1342,21086,869,1044,1671,1921,1146,1385,1679,1917,1654,1855,822,1164,1049,22590,798,926,910,22169
788,1033,873,1068,2571,2750,2127,2307,2826,2979,1935,2084,1258,23686,2741,2950,929,1132,1826,2160
474,20589,2356,2804,505,610,463,554,456,563,304,372,3311,4253,1020,21296,2137,3052,4628,23291
399,535,2824,3002,561,627,419,513,353,476,306,376,2444,21436,962,1286,2224,2428,2928,3304
410,20474,1013,1235,299,393,405,467,289,354,290,347,1067,1494,952,21331,931,1132,1235,21995
