Client_0,Client_1
499,543
486,523
491,574
358,399
361,439
334,390
278,338
1458,1703
1110,1313
1298,1504
1029,1224
924,1083
755,1103
553,624
478,523
395,454
417,458
432,472
531,577
318,422
477,524
398,453
400,465
576,653
621,700
583,709
684,794
633,728
484,563
533,605
608,680
462,538
423,483
412,480
427,482
327,380
542,604
420,461
1458,1628
1005,1202
1339,1511
950,1102
641,764
485,543
500,571
522,565
437,493
369,408
389,429
518,579
383,422
438,501
604,676
482,574
529,588
536,584
546,599
530,583
593,661
572,639
597,677
600,673
1417,1550
576,643
580,649
520,603
616,690
557,627
450,503
533,605
447,501
440,492
419,472
488,569
448,516
449,517
456,523
483,567
547,606
512,592
498,586
588,672
627,714
680,771
681,772
647,726
582,659
735,891
627,702
624,699
647,736
619,701
676,751
678,769
582,641
466,559
486,568
482,564
439,493
452,505
505,563
535,607
474,546
507,590
519,606
472,552
509,584
520,590
545,605
544,604
547,620
493,573
546,610
477,556
570,657
426,590
571,651
473,550
495,576
543,609
513,568
658,804
759,889
743,872
568,694
715,821
548,773
766,884
753,866
729,849
724,835
560,808
773,890
1160,1384
1467,2086
1000,1206
1218,1434
1153,1332
1082,1364
1025,1151
960,1137
642,713
459,507
511,578
541,587
610,681
588,661
605,677
664,746
603,671
624,699
505,663
672,756
653,729
573,676
527,688
705,797
636,725
499,590
511,570
584,657
685,767
665,746
603,683
567,638
604,688
669,743
583,649
590,682
632,707
587,660
573,648
528,603
459,530
536,620
526,611
565,666
663,747
1411,1683
448,527
412,453
436,489
452,505
352,406
443,498
554,608
485,558
475,539
473,522
524,586
550,612
479,551
508,589
554,633
543,605
496,551
551,640
583,646
562,616
554,655
626,767
601,681
632,720
646,729
623,698
580,663
682,764
623,701
603,682
597,710
609,696
502,582
453,524
514,582
539,605
549,614
411,491
564,623
521,591
506,576
488,587
538,623
518,576
543,622
550,632
707,802
569,646
587,662
648,735
631,706
583,670
572,649
599,686
637,737
620,715
690,792
649,743
544,603
527,626
535,619
511,587
548,633
477,559
460,532
540,614
445,524
581,641
1162,1680
1073,1210
1377,1678
1444,1817
411,451
406,446
503,547
451,523
456,614
475,533
312,371
403,454
477,521
516,561
390,435
477,532
453,509
643,726
642,737
550,648
620,715
686,789
522,604
506,566
508,568
578,660
587,669
570,653
553,643
598,689
1691,1926
1128,1270
1038,1210
921,1038
620,733
615,714
769,885
694,812
1545,1817
1018,1188
1109,1414
1142,1379
1390,1558
1110,1250
1305,1506
1453,1630
1078,1306
1031,1242
1101,1279
1481,1658
971,1167
1468,1677
1030,1155
2127,2292
730,819
809,936
980,1117
864,1015
572,642
529,616
446,523
620,699
587,672
558,637
527,603
524,599
361,518
518,576
1265,1417
924,1127
1111,1310
596,671
497,537
511,556
469,532
423,479
465,510
417,459
403,444
385,425
959,1089
1055,1259
1021,1235
1071,1263
1594,1738
929,1068
1037,1210
999,1167
995,1163
608,697
433,496
431,480
496,546
435,488
381,420
390,432
454,505
1484,1663
951,1081
1397,1564
1023,1152
1238,1436
982,1135
1313,1531
645,716
431,482
586,662
446,499
492,554
470,532
388,449
477,535
368,427
529,577
470,547
367,436
349,408
520,589
482,550
505,579
533,612
540,606
578,637
461,531
539,611
555,614
483,562
563,673
588,646
531,599
464,533
502,577
533,583
654,766
576,711
699,826
631,742
625,750
550,639
507,638
626,741
671,795
635,722
665,747
514,666
595,654
566,625
496,552
397,508
443,515
438,514
458,530
516,588
535,615
543,615
486,583
532,603
492,574
660,736
650,726
633,707
621,696
525,610
694,787
577,648
556,673
570,661
572,654
560,641
537,615
602,669
534,613
750,842
724,806
640,729
670,754
648,739
810,924
654,739
576,658
491,577
495,565
489,563
439,505
577,643
557,672
494,568
415,495
619,703
551,622
573,653
606,680
650,728
570,638
617,697
649,736
585,674
544,601
554,611
566,623
555,629
470,523
530,595
545,628
510,560
514,569
602,689
411,491
447,518
445,524
489,543
357,408
578,649
543,615
537,607
522,581
531,603
416,548
543,593
564,635
612,689
459,532
495,651
465,532
582,640
573,653
452,523
455,524
516,597
525,604
492,574
589,647
586,645
481,566
1548,1729
966,1117
1444,1599
1076,1217
532,641
529,614
540,624
474,555
481,561
555,634
533,619
456,539
473,553
425,512
544,624
592,657
593,674
624,750
567,636
