Client_0,Client_1,Client_0,Client_1
392,477,400,510
510,651,357,20707
543,720,677,812
774,858,461,20483
506,587,446,503
475,541,512,21489
1245,1394,1174,1450
1660,1935,1288,21196
1559,1786,1204,1362
1160,1385,1222,21562
2652,2848,1772,1955
1736,1941,1637,21297
1284,1495,1331,1530
1112,1307,967,21506
2484,2656,1710,1909
2365,2575,2188,21050
934,1100,1021,1190
862,986,1018,21248
1639,1788,956,1484
892,1053,771,21151
1127,1249,1147,1262
1052,1199,920,21417
805,991,1123,1373
1477,1705,1214,21748
1841,2058,1381,1777
1360,1603,1449,21498
1072,1301,1115,1446
1148,1392,1455,21217
878,1051,856,1130
549,654,527,20523
1530,1739,543,598
460,502,464,20489
438,478,430,464
378,420,342,20550
494,550,469,514
613,676,659,20636
815,867,711,762
538,589,423,20615
566,612,434,520
473,525,380,20579
498,567,391,501
878,936,640,20642
538,591,412,520
327,383,315,20589
410,468,398,524
379,427,543,22152
2512,2707,2939,3098
2227,2424,2648,21313
1330,1543,1336,1539
1064,1288,1207,21558
1393,1631,1187,1620
1246,1500,1821,21541
1027,1221,1199,1448
1178,1392,994,22260
2698,2926,1890,2277
1178,1358,896,21066
922,1056,781,949
1152,1291,1180,21052
646,760,773,964
973,1063,779,20648
555,598,436,516
785,849,700,21497
1222,1502,1066,1489
2212,2413,1974,21882
1820,1967,1520,1862
1709,1830,1460,21889
2145,2274,1604,1870
815,981,982,20967
900,989,964,1067
447,521,534,20592
386,457,432,557
414,457,469,20609
506,577,447,600
751,818,896,20872
935,990,696,824
737,797,870,20656
420,462,423,548
440,502,423,20655
734,788,820,871
659,713,745,20575
678,747,406,538
525,575,561,20697
471,539,537,664
439,501,394,20500
484,545,424,460
587,652,482,20579
489,541,338,514
374,447,385,22038
1686,1779,1857,2050
463,522,509,20633
477,534,431,503
444,565,419,20514
490,545,454,493
493,563,524,20648
896,947,793,843
584,632,544,20653
375,432,413,519
489,560,482,20667
980,1041,853,914
496,544,536,21349
1189,1256,836,910
376,449,387,20515
412,477,365,479
481,545,384,20518
512,645,371,493
532,589,398,20543
