Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
2527,2590,2637,2686,2726,2765,2803,2843,2883,2922,652,689,740,848,794,902,948,1085,1203,1140
1550,1615,1666,33975,34013,34053,34090,34127,34163,34198,1008,1073,1130,1609,1553,1660,1708,1762,1815,1876
434,482,687,992,1020,1048,1078,1106,1131,1159,799,853,905,987,954,1019,1049,1086,1129,1187
445,484,637,34119,34185,34243,34631,34673,34716,34783,781,839,891,995,944,1058,1114,1166,1219,1273
552,613,1383,1429,1465,1502,1792,1863,1901,1963,782,843,897,1007,948,1054,1101,1220,1316,1265
636,693,744,34109,34160,34211,34266,34578,34609,34639,1238,1349,1461,2486,2431,2540,2594,2642,2686,2735
811,869,921,1323,1367,1394,1419,1541,1566,1590,558,615,668,819,768,873,921,1081,967,1017
598,743,793,35166,35221,35272,35311,35348,35384,35421,1384,1486,1581,1674,1766,1861,1957,2264,2151,2056
2437,2498,2545,2588,2626,2661,2707,2746,2783,2820,999,1100,1189,1354,1259,1497,1549,1598,1705,1647
535,823,867,34253,34301,34346,34405,34695,34744,34793,728,781,829,937,887,982,1028,1340,1393,1437
508,1093,1382,1433,1476,1520,1562,1759,1804,1846,662,707,742,801,772,929,980,1030,1089,1139
904,1094,1187,34175,34222,34262,34298,34334,34372,34411,634,671,703,781,736,837,889,941,997,1046
1346,1384,1423,1459,1495,1638,1677,1712,1756,1790,574,736,780,866,821,913,972,1017,1059,1105
645,703,754,33953,33999,34042,34084,34125,34457,34498,889,962,1035,1161,1107,1210,1258,1307,1375,1436
737,786,1112,1156,1192,1228,1264,1298,1424,1460,955,1042,1124,1216,1315,1398,1483,1567,1649,1731
1132,1195,1254,34161,34241,34571,34632,34695,34751,34807,1088,1169,1312,1486,1402,1582,1660,1899,1739,1814
752,841,919,1334,1382,1712,1757,1800,1842,1884,802,1384,1474,1648,1559,1752,1841,1935,2023,2116
1057,1120,1169,34104,34151,34198,34244,34528,34615,34696,1611,1711,1782,1936,1854,2022,2117,2199,2287,2612
847,905,954,1200,1252,1292,1348,1692,1766,1834,877,1162,1214,1311,1262,1357,1403,1448,1495,1553
931,1042,1128,34358,34406,34453,34500,34547,34594,35054,1286,1381,1468,1652,1552,1742,1824,1906,1988,2091
1137,1197,1539,1585,1628,1681,1750,1816,1876,2047,1183,1241,1291,1395,1338,1442,1488,1555,1625,1694
882,951,1013,34420,34491,34562,34631,34701,34785,34838,993,1048,1107,1204,1156,1260,1310,1357,1408,1454
1069,1146,1215,1755,1795,1833,1872,1910,1949,1991,605,972,1040,1146,1089,1193,1245,1291,1338,1389
1297,1373,1444,34083,34131,34369,34457,34539,34628,34711,950,1042,1146,1319,1244,1390,1474,1549,1619,1681
806,867,917,1102,1178,1688,1759,1829,1898,1969,1086,1192,1279,1436,1359,1668,1748,1826,1996,1904
1242,1330,1407,34429,34521,34616,34712,34814,34898,35463,887,945,1007,1151,1075,1216,1297,1400,1482,1559
1109,1214,1869,1948,2019,2085,2151,2220,2285,2447,1991,2064,2128,2281,2205,2357,2434,2511,2587,2663
1017,1080,1141,34639,34727,34804,34895,34975,35055,35134,1210,1299,1386,1577,1490,1665,1750,1838,1930,2013
1334,1430,2107,2186,2257,2327,2397,2466,2536,2605,573,953,1016,1197,1099,1287,1378,1455,1534,1586
977,1077,1338,34218,34477,34547,34617,34687,34756,34824,1595,3163,3237,3290,3361,3422,3496,3576,3656,3738
853,948,1027,1294,1802,1861,1928,1990,2054,2114,2434,2543,2632,2831,2731,2945,3043,3137,3235,3331
1048,1122,1220,36737,36824,36910,36996,37083,37583,37676,1039,1122,1202,1368,1286,1467,1554,1639,1719,1799
3337,3454,3544,4083,4162,4241,4317,4396,4680,4749,987,1061,1127,1258,1191,1320,1397,1468,1532,1596
1547,1958,2114,34244,34327,34409,35041,35095,35143,35190,1240,1340,1432,1612,1523,1701,1801,2515,2615,2166
922,1016,1610,1696,1771,1846,2112,2183,2247,2306,1079,1181,1260,1408,1333,1638,1719,1797,1967,1875
1133,1230,1319,35021,35112,35191,35261,35331,35412,35488,1237,1336,1427,1592,1513,1685,1761,1842,1924,1998
2482,2569,2650,2729,2795,2862,2930,2996,3060,3126,5409,5643,5863,6327,6116,6548,6775,6936,7055,7202
1180,1258,1329,34135,34220,34301,34374,34452,34856,34907,2679,2899,3125,3574,3346,3812,4065,5350,4474,4719
580,909,1428,1484,1528,1575,1638,1682,1833,1873,2298,2450,2572,2690,2916,3036,3148,3765,3312,3520
2633,2836,3804,35644,36464,36647,36862,37094,37278,37464,3703,3846,3969,5886,4093,6197,6491,6746,7015,7277
1988,2153,2304,3111,4478,4646,4809,4965,5125,5281,1533,1615,1685,1820,1753,1888,1955,2022,2089,2156
2121,2391,3125,44226,44346,44447,44546,44645,44742,44840,561,610,843,940,882,983,1020,1067,1128,1199
8136,8537,8978,10131,10217,10305,10394,10487,10579,10672,856,931,1354,1504,1428,1583,1655,1815,1880,1731
1802,1876,1958,33766,33801,33835,33869,33902,34143,34177,882,957,1033,1194,1120,1264,1341,1658,1726,1558
541,585,621,886,917,946,975,1004,1108,1142,1097,1174,1243,1366,1307,1425,1497,1556,1623,1698
1330,1430,1522,34045,34086,34124,34160,34217,34272,34330,606,671,1025,1180,1103,1258,1327,1392,1471,1547
795,862,904,1296,1348,1397,1449,1497,1547,1598,1406,1480,1544,1668,1606,1748,1814,1890,1984,2083
752,832,1042,34245,34320,34394,34468,34991,35070,35141,2103,2321,2522,3420,3219,3614,3813,4047,4246,4434
886,981,1059,1644,1706,1765,1822,2116,2174,2232,2812,4624,4827,5189,4999,5359,5529,5698,5870,6042
1274,1367,1448,35814,36859,37065,37195,37338,37558,37752,1920,2120,2311,2920,2522,3105,3289,3880,3477,3662
2052,2264,2471,3552,4832,4980,5123,5267,5406,5550,1798,1977,2575,2919,2756,3098,3319,3492,3671,3836
5599,5800,5978,34970,35078,35183,35785,35893,36002,36109,1697,1907,2519,2939,2733,3136,3340,3515,3703,3891
1429,1558,1672,2322,2419,2506,3044,3131,3220,3306,1751,1916,2317,2605,2464,2763,2950,3101,3297,3482
2563,2783,3006,35573,36241,36400,36600,36768,36954,37134,585,654,723,1041,992,1122,1200,1262,1339,1431
1860,2118,2690,2855,4028,4182,4338,4434,4518,4602,829,889,970,1137,1053,1223,1504,1589,1660,1745
1515,2088,2238,34355,34452,34539,34619,34701,34782,34856,574,650,700,971,929,1018,1080,1133,1173,1222
491,1022,1109,1783,1850,1921,1990,2058,2126,2195,853,937,1013,1152,1086,2392,2472,2540,2623,2689
685,762,827,33737,33948,33990,34043,34093,34159,34223,779,857,930,1064,997,1905,1994,2075,2151,2226
523,584,766,807,1189,1246,1304,1361,1416,1472,846,930,1008,1763,1681,1835,1907,1977,2042,2112
2223,2306,2375,34911,34976,35038,35097,35161,35224,35279,1422,1544,1661,1772,1942,2039,2126,2205,2281,2363
2594,2670,2738,2810,2869,2931,2990,3049,3108,3165,847,924,992,1191,1059,1263,1449,1513,1659,1581
1797,1882,1954,36071,36138,36207,36272,36340,36409,36477,827,893,970,1107,1043,1167,1232,1492,1345,1412
2756,2830,2897,3438,3654,3716,3779,3838,3894,3971,845,905,970,1102,1031,1170,1240,1504,1368,1417
1273,1359,1438,33727,34315,34380,34444,34508,34572,34637,3541,3968,4840,5743,7081,7868,8168,8879,8403,8624
499,1022,1088,1153,1605,1663,1721,1775,1832,1887,3796,3982,4113,4337,4226,4443,4547,4652,4798,4908
685,734,779,42356,43639,43859,44074,44292,44501,44704,1760,1970,2141,2546,2320,2737,2929,3106,3289,3478
