Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
635,690,1117,946,894,837,744,1071,1160,1223,7096,8137,7639,8245,8349,11224,11767,11644,11966,11869,897,1018,1318,1225,1119,1772,1681,1593,1507,1419,488,20852,542,597,650,871,929,980,1032,1095,11396,12088,12309,12395,12657,12736,15618,15724,15807,19275,12709,22979,22917,15529,15447,15326,13281,13163,13034,12823,907,1308,1272,1413,1379,1343,1448,1572,1526,1484,577,632,679,723,1008,1306,1349,1400,1449,1250,540,1128,920,870,819,1077,1027,975,650,597,532,762,718,672,623,857,982,942,902,1646
751,848,1191,1135,1082,1023,907,961,1245,1297,3972,20867,4070,20948,6696,4149,8997,8852,9090,8724,528,591,648,954,896,1122,1070,1019,703,1175,679,951,774,815,988,1057,1123,1168,1262,1213,903,989,3415,3524,20790,20865,20928,21311,21368,21418,639,2049,1980,1240,1174,2524,2421,2285,2128,1092,560,21054,21014,21098,21264,21225,21347,785,931,862,549,813,883,939,21325,21385,21444,21504,21564,21624,434,1021,758,716,668,980,941,900,854,485,589,857,806,753,700,1063,1178,1004,948,1121
579,635,1088,887,835,782,687,1033,1140,1207,675,1219,914,1278,1039,1333,1548,1401,1493,1447,1065,1158,1484,1370,1266,2072,1970,1841,1724,1603,652,20837,721,952,1014,1071,1131,1188,1249,1320,535,588,635,1025,1081,1120,1163,1376,1420,1464,532,21022,20970,843,792,1009,955,900,617,572,865,1095,1055,1214,1406,1365,1443,1299,1525,1480,963,1030,1094,1157,1599,1649,1696,1754,1820,1871,537,1097,1057,1015,828,974,932,889,645,595,2002,2334,2273,2210,2156,2098,2891,2796,2522,2415
678,736,1240,1006,955,893,793,1181,1295,1353,1245,20679,1313,20741,1423,1370,1541,1481,1656,1597,514,568,617,875,825,1033,981,931,667,1085,671,1034,784,836,1082,1139,1199,1251,1309,1375,553,619,677,729,20718,20760,20986,21030,21073,21115,690,1256,1213,838,790,1167,1115,1062,1010,742,474,20688,20638,20766,21069,21027,21161,692,878,809,576,639,693,745,20872,21223,21277,21325,21039,21107,469,1174,905,849,792,1125,1079,1027,964,533,605,872,818,760,702,1064,1156,1013,961,1111
716,778,1089,1036,983,929,834,1252,1312,1371,522,983,705,1034,804,1086,1194,1143,1318,1248,639,696,749,1015,966,1174,1123,1073,796,1229,611,21041,658,698,738,787,835,952,1046,995,449,497,539,583,822,859,1073,1109,1143,1178,516,21170,21113,825,779,976,933,887,619,571,482,889,840,1023,1120,1286,1327,1224,1440,1383,542,597,652,717,1070,1356,1396,1436,1266,1305,606,1256,1052,989,911,1331,1184,1125,718,664,711,978,926,868,812,1166,1252,1110,1062,1209
960,1053,1496,1350,1295,1239,1125,1182,1553,1605,456,20589,519,20635,617,809,997,872,1051,930,649,710,766,1067,1009,1892,1131,878,823,1186,808,1385,1011,1096,1434,1489,1544,1599,1654,1721,454,513,569,628,20619,20673,21074,21128,21183,21240,658,1424,1389,1345,959,1300,1253,1202,1146,715,434,20567,20526,20648,20989,20940,21084,663,725,618,464,737,785,844,20783,21044,21093,21140,20893,20944,580,1080,953,913,867,1128,1040,1001,695,637,460,682,638,594,547,839,1051,932,757,886
425,479,1072,1024,976,927,823,878,1121,1180,439,821,601,869,972,913,1090,1027,1319,1249,484,533,578,822,776,962,918,873,623,1007,472,20699,800,847,891,934,978,1021,1065,1119,413,473,790,843,896,941,1213,1258,1302,1342,709,20981,20925,1047,992,1271,1222,1171,1110,778,388,809,764,952,1101,1055,1148,1295,1244,1193,526,565,598,634,902,1175,1221,1267,1083,1123,461,963,789,734,691,921,880,838,553,508,458,667,624,581,539,827,911,782,740,870
605,659,1097,912,861,811,713,1050,1142,1201,501,20735,557,20798,642,881,993,933,1049,822,508,557,602,852,807,947,903,691,647,995,541,925,660,708,752,797,969,1023,1135,1075,594,651,698,743,21001,21049,21097,21146,21450,21496,534,1332,1278,1223,771,1168,1115,1059,1005,949,411,20578,20535,20708,20660,20961,21088,662,724,609,526,585,633,680,22422,22473,22517,22560,22602,22642,480,1065,862,813,763,1016,966,917,591,538,553,782,738,693,648,602,959,905,862,1011
595,646,1008,853,810,762,687,964,1063,1107,576,1124,780,1167,897,1221,1350,1285,1414,1056,539,594,651,906,852,1050,1005,960,697,1095,689,20698,745,796,839,893,955,999,1047,1097,581,659,743,825,1180,1225,1267,1311,1458,1501,413,21203,21155,1119,1065,1020,975,929,883,835,399,841,776,960,920,1128,1165,1063,1245,1201,3756,3813,3864,3913,3963,4004,4047,4087,4131,4173,650,1180,1026,979,927,1130,1078,806,756,708,532,788,736,688,638,960,1093,1044,876,1003
676,737,1179,1038,979,919,801,860,1232,1289,624,20650,677,20696,753,936,994,794,1053,872,1564,1622,1676,1930,1883,2072,2028,1982,1726,2116,529,943,634,689,743,995,1041,1089,1136,1191,340,394,444,633,21004,21057,21109,21429,21483,21538,671,1278,1228,1019,974,1171,890,841,782,730,428,20667,20609,20817,20762,21080,21224,663,714,618,963,1064,1191,1281,21424,21882,21799,21716,21627,21526,490,1043,1001,803,751,953,910,860,587,539,976,1079,1162,1245,1327,1679,1574,1494,1411,1763
