Client_0,Client_1,Client_2,Client_3,Client_4
527,640,571,676,717
1103,1477,1218,1585,1679
1606,2061,1843,2305,2521
1475,1903,1693,2107,2316
1020,1616,1446,1768,1932
1918,2340,2138,2548,2758
2299,2793,2565,3016,3234
946,1748,1594,1903,2148
1451,1808,1652,1997,2174
1474,1850,1658,2017,2156
1799,2159,1989,2304,2713
949,1319,1061,1474,1618
975,1645,1533,1743,1849
2188,2536,2376,2678,2821
650,1064,971,1165,1243
788,916,861,964,1013
569,684,632,731,784
364,582,533,630,680
413,480,450,511,544
702,812,761,868,923
627,737,688,785,834
495,589,559,620,654
950,1392,1290,1488,1595
1735,2375,2197,2533,2674
1167,1462,1314,1652,1818
1006,1440,1341,1555,1647
1933,2313,2129,3095,4137
2149,2579,2370,2783,2984
1090,1616,1452,1771,1943
1049,1908,1733,2083,2259
2228,2703,2487,2911,3128
1858,2304,2062,2499,2708
1022,1549,1387,1704,1876
921,1929,1697,2130,2333
1926,2397,2163,2606,2846
900,1120,1007,1244,1372
553,730,661,863,937
420,552,508,632,667
786,922,856,987,1051
513,580,549,615,644
500,631,570,727,786
533,640,589,689,758
529,637,584,700,831
711,871,795,947,1026
383,665,613,714,769
527,643,588,696,757
627,742,688,804,880
544,656,596,716,781
943,1172,1065,1281,1385
797,942,874,1029,1125
622,856,785,923,1021
1324,1593,1468,1724,1853
674,907,750,984,1071
936,1164,1045,1306,1447
652,861,718,921,974
880,1146,998,1276,1417
740,1020,829,1088,1184
1026,1281,1138,1418,1564
624,802,723,1076,1180
928,1226,1081,1366,1516
699,1006,790,1085,1172
1224,1465,1334,1591,1743
576,986,925,1038,1099
1346,1628,1488,1767,1898
695,928,771,1007,1094
1271,1545,1410,1677,1830
696,975,783,1045,1146
703,878,801,1116,1215
1213,1490,1355,1614,1737
643,854,797,907,967
1289,1567,1427,1691,1817
1159,1393,1283,1502,1609
855,1045,957,1135,1242
1124,1384,1255,1512,1643
835,1015,924,1107,1215
887,1126,1012,1249,1364
616,823,678,878,937
776,1030,911,1150,1286
687,806,751,860,928
1094,1454,1204,1554,1661
1552,1939,1757,2110,2287
1428,1750,1606,1890,2040
1528,1884,1714,2039,2213
1440,2064,1636,2259,2442
2038,2358,2214,2499,2639
1038,1566,1421,1691,1803
1038,1689,1540,1829,2005
1584,3061,1880,3698,4361
1929,2283,2097,2462,2640
1304,1631,1475,1784,1955
981,1690,1517,1899,2093
1504,1802,1656,1933,2054
594,751,672,893,980
694,827,765,887,1039
591,793,724,880,973
671,814,747,882,956
613,709,665,795,847
980,1137,1066,1205,1274
746,918,841,993,1079
760,912,842,1153,1224
623,865,709,931,985
1477,2022,1648,2165,2290
1282,1583,1438,1712,1875
750,1466,1367,1550,1671
1625,1927,1781,2071,2211
1747,2067,1930,2199,2337
904,1348,1233,1458,1615
1162,1403,1292,1544,1700
1687,2053,1893,2225,2369
1049,1409,1155,1536,1622
1033,1357,1133,1445,1540
1888,2195,2049,2349,2508
1222,1463,1350,1568,1696
685,933,759,998,1068
1421,1658,1551,1771,1898
725,1035,965,1140,1256
1315,1583,1471,1689,1789
819,1033,937,1215,1320
772,1203,880,1460,1573
1345,1575,1455,1679,1913
786,1186,894,1295,1431
1063,1331,1208,1447,1572
557,721,677,764,812
428,613,482,661,714
989,1672,1492,1841,2029
2071,2552,2323,2773,2989
1424,1641,1541,1766,1900
1012,1430,1305,1547,1718
2107,2617,2367,2861,3104
2237,2664,2547,2761,2856
1088,1457,1351,1581,1717
1590,1998,1797,2198,2392
1859,2192,2028,2341,2495
508,812,717,882,987
1219,1448,1339,1556,1664
645,858,800,912,973
1241,1481,1366,1596,1716
704,823,768,877,936
1353,1604,1486,1729,1868
912,1116,1020,1205,1304
1295,1563,1436,1690,1814
811,996,908,1083,1181
928,1197,1067,1325,1451
695,900,758,956,1014
858,1070,956,1331,1435
1109,1352,1247,1489,1634
674,988,769,1070,1171
1364,1621,1498,1738,1866
507,969,876,1057,1169
860,1103,974,1250,1382
898,1117,1025,1208,1301
1257,1424,1345,1501,1591
625,862,715,917,980
2329,2726,2539,2867,3026
571,697,638,777,862
551,708,599,763,817
569,676,626,791,860
470,858,776,933,996
750,904,832,971,1039
553,656,607,769,838
553,654,607,767,835
594,709,663,747,790
554,637,599,709,753
620,731,680,783,843
880,1032,963,1100,1169
568,650,614,720,772
505,673,628,721,763
702,872,798,937,1013
629,816,767,870,918
1635,1921,1791,2048,2174
1813,2131,1979,2356,2573
828,1354,1198,1507,1657
2301,2672,2498,2832,3271
2193,2662,2436,2905,3196
1037,1603,1504,1728,1827
800,1060,937,1182,1313
308,581,524,624,685
407,658,600,706,756
603,761,687,817,896
1675,1939,1817,2075,2196
1812,2103,1969,2238,2363
860,1644,1483,1752,1854
980,1320,1082,1410,1521
1319,2077,1455,2282,2434
1053,1378,1153,1465,1558
1530,1802,1683,1956,2102
1919,2224,2083,2352,2490
1440,1782,1621,1913,2069
1265,1555,1409,1718,1893
1941,2299,2132,2464,2627
866,1191,983,1280,1403
608,723,669,862,920
355,581,527,634,687
719,828,778,877,925
484,549,520,578,611
418,701,645,755,815
496,578,540,673,731
393,509,429,539,572
425,491,461,548,582
549,661,608,711,767
498,640,541,679,721
550,666,612,766,818
522,643,589,743,796
634,762,705,824,879
635,770,707,835,907
698,858,782,928,1007
442,584,486,621,663
678,827,751,900,993
628,746,686,806,888
399,713,647,769,831
477,724,555,789,858
569,680,620,743,793
535,636,586,688,757
669,819,749,952,1067
423,581,472,623,669
634,792,709,855,924
566,654,614,732,788
688,849,773,969,1087
606,795,665,861,930
560,785,639,835,875
618,760,698,896,1018
718,862,793,929,1005
1551,1872,1713,2028,2202
1512,1849,1713,1990,2199
4524,4840,4693,4989,5129
1096,1852,1684,2010,2189
3232,3963,3632,4319,4658
1917,2219,2079,2352,2483
1334,1666,1508,1834,2017
1006,1447,1349,1564,1727
2040,2369,2215,2524,2675
1323,1671,1509,1827,1994
1013,1683,1498,1854,2017
991,1790,1596,1963,2148
1092,1858,1693,2052,2244
815,1526,1385,1666,1816
1336,1653,1503,1842,2014
1979,2292,2152,2437,2598
953,1519,1305,1689,1860
1133,1533,1348,1960,2123
1541,1919,1743,2082,2852
1116,1411,1265,1543,1688
564,908,830,996,1110
774,894,838,947,1008
955,1431,1324,1532,1647
1226,1851,1425,2320,2511
