Client_0,Client_1,Client_0,Client_1
400,463,511,571
805,888,515,575
515,578,417,460
1395,1630,1224,1372
2569,2810,1606,1804
991,1212,1174,1303
4494,4968,2053,3099
1205,1424,1115,1357
1721,2001,1183,1415
762,894,872,983
1276,1453,837,1019
647,800,745,1036
755,842,491,575
377,417,430,489
431,473,499,565
371,430,405,457
474,535,418,481
373,427,469,526
434,494,465,519
444,497,458,517
458,527,490,556
393,454,409,471
369,423,413,482
468,534,433,495
520,590,532,609
605,776,580,669
1289,1408,853,966
574,632,549,641
638,709,552,668
656,821,610,730
622,728,516,603
1513,1657,969,1097
586,684,672,789
625,706,554,645
706,820,661,771
954,1059,733,972
861,1175,839,1162
743,858,775,880
644,754,646,761
672,739,1046,1130
485,553,576,634
499,558,485,561
467,539,499,538
723,791,526,587
488,543,519,576
541,609,507,568
1014,1106,651,762
611,709,974,1067
633,726,612,743
663,774,681,979
1672,1769,1162,1265
700,814,1000,1098
681,754,693,812
770,862,607,744
1479,1578,998,1096
1070,1188,1050,1147
662,780,589,702
725,826,801,909
584,663,690,776
417,475,560,614
1171,1257,1056,1154
1326,1562,2162,2351
1073,1270,1575,1761
1115,1274,1307,1526
1723,1907,2175,2406
1122,1264,1211,1398
1814,2002,2801,3128
1013,1384,995,1130
1804,1999,2169,2401
1085,1293,1061,1240
2020,2206,2575,2777
1171,1399,1265,1447
1264,1444,1143,1316
1394,1628,1266,1430
965,1087,954,1079
876,1009,555,640
675,753,411,463
1162,1345,955,1095
1453,1636,1186,1387
991,1149,1120,1314
1389,1650,879,1127
1016,1192,1203,1409
1307,1465,1282,1441
1022,1220,1279,1544
1420,1773,1359,1632
436,530,390,545
369,513,327,392
475,533,499,540
1202,1398,1246,1398
1277,1516,1044,1249
1059,1283,989,1111
1254,1429,1530,1722
997,1192,924,1135
1398,1603,1332,1506
840,1048,704,805
489,558,562,634
500,572,555,626
496,574,525,586
504,572,497,604
500,559,559,623
852,1115,921,1118
828,976,918,1093
739,826,655,748
779,903,678,756
930,1110,927,1170
772,933,882,1084
633,739,546,645
581,666,596,695
508,594,474,537
528,590,508,570
775,909,528,616
595,675,513,591
524,633,529,702
587,667,746,821
518,603,581,669
581,649,532,595
863,1020,772,922
561,654,568,631
569,637,552,617
557,656,670,772
581,655,563,628
595,665,410,506
555,639,587,680
776,922,729,881
652,723,558,656
559,634,561,654
490,561,495,578
650,723,599,673
606,684,535,612
714,815,667,768
841,939,604,709
608,696,704,798
713,792,745,853
512,605,676,761
668,752,592,684
583,684,452,515
535,621,580,681
771,867,513,599
578,683,513,689
724,813,703,800
670,750,745,845
544,607,643,732
587,675,666,752
637,703,614,720
595,660,547,658
546,632,507,588
539,606,490,551
586,690,568,667
802,944,552,659
626,750,673,766
580,677,657,751
545,649,599,689
550,632,638,716
803,942,590,704
770,905,732,870
674,795,713,843
599,666,743,883
635,702,492,586
531,593,570,647
704,791,640,754
608,672,483,549
552,643,551,615
697,783,701,788
720,811,706,806
511,624,665,752
583,647,586,676
716,787,556,654
545,644,500,592
722,834,542,620
792,893,609,718
737,826,621,710
765,870,794,892
757,844,741,830
558,622,713,867
778,876,722,827
715,804,554,709
592,659,645,768
556,616,633,736
557,615,609,726
486,572,588,697
427,481,573,674
465,545,567,626
1438,1628,1396,1663
994,1186,887,1042
1369,1586,1127,1357
1127,1307,1034,1251
1275,1427,1334,1583
1085,1281,962,1108
981,1148,1481,1685
1107,1308,1045,1231
849,1000,1069,1195
641,771,677,783
646,753,579,648
571,698,620,728
588,852,690,809
514,582,598,678
487,573,567,656
511,586,470,527
370,419,404,478
533,587,455,522
454,531,432,481
543,598,507,562
587,684,468,561
566,629,631,710
730,813,538,643
657,745,669,771
843,941,699,882
618,729,842,996
721,803,642,753
618,733,498,605
864,965,660,774
557,655,720,872
729,824,659,795
513,601,510,569
555,627,544,637
858,964,717,846
765,859,796,947
981,1114,733,849
1010,1166,808,933
792,887,725,840
693,826,704,831
1138,1303,959,1095
756,846,840,968
779,894,559,666
2334,2518,1634,1778
765,913,722,831
498,590,467,533
434,506,427,485
1232,1417,1481,1694
1545,1809,1079,1296
1094,1284,1219,1430
1690,1918,1145,1355
977,1148,1010,1167
1709,1951,1457,1743
588,660,535,633
1005,1098,680,787
959,1055,889,1056
785,903,852,1023
644,752,579,667
667,781,622,713
786,936,542,677
845,943,748,898
725,818,770,952
737,820,620,724
766,892,629,736
571,699,821,1002
732,814,772,871
903,1025,605,706
913,1017,921,1044
656,743,1108,1296
651,767,518,608
415,485,378,451
425,496,320,364
492,562,395,439
1127,1331,966,1091
1682,1898,1441,1753
1022,1142,994,1120
1766,2114,2075,2315
964,1156,1146,1330
1587,1760,1416,1585
896,1019,941,1165
835,982,834,930
759,875,777,871
746,839,796,891
567,690,802,919
714,798,693,810
673,793,659,784
2243,2584,825,954
