Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
34465,53494,53377,52726,52622,9464697,9464640,9464580,9464520,9464144,25926,26224,26782,27760,28058,839515241,839515171,840361349,839931253,839519755,27048,49905,50029,50143,50872,8858549,8858613,8858673,8858734,8860649,207114,207195,207544,224467,224383,9193413,9193349,9193278,9193050,9145314,35181,36579,36362,35407,43344,8760016,8490945,8484884,8481228,8477135,177741,228450,228359,228269,228178,9777478,9777055,839446828,9777547,9777595,216257,215745,216545,216479,216414,839417479,839483306,839483231,839616149,839481936,173382,205076,205023,204141,204101,838933739,838933683,838933630,838933577,839013535,212989,213715,213323,213274,213226,7372538,7370188,7370105,7369967,7328836,44855,60375,60670,56926,79884,839579586,839517565,839511241,839583140,839583067
31310,48550,48433,50640,50565,9516839,9516760,9516589,9454592,9454227,29631,30462,30687,30841,32197,839506023,839505980,840351570,839986563,839573385,29853,50018,50225,50370,50534,8850217,8850280,8850338,8850397,8850773,46770,60665,61197,61579,61526,9030876,9030820,9030757,9030697,9029571,36048,40424,36227,38882,40568,8751448,8483238,8480678,8473332,8468200,61864,77042,76993,76943,76892,9619779,9618899,839437861,839386490,839387688,209796,206801,207055,206991,206928,839471630,839474392,839474324,839606443,839474182,47789,49884,49833,49495,49445,838924578,838924525,838924474,838924420,839003756,51099,62347,62257,62120,51329,7211824,7211778,7211729,7211666,7211554,46166,62016,62089,50718,78209,839571138,839569336,839507414,839576780,839576730
34636,57676,57525,66942,66884,9507313,9507251,9507165,9507075,9444316,29690,29817,30219,30333,30985,839498351,839498288,840341741,839982108,839566102,30832,57825,70764,70845,70903,8840367,8840403,8840438,8840472,8840702,51042,51168,51604,51911,51862,9021297,9021218,9021160,9021093,9020541,33007,36030,33092,35902,39567,8741667,8473490,8472904,8464291,8458670,66581,67440,67396,67349,67299,839378000,9609153,839428498,839379076,839379153,68587,54721,55210,55141,55067,839463819,839471061,839470983,839597499,839470859,56945,57523,57471,57414,57352,838914776,838914717,838914664,838914610,838993993,52343,52882,52790,52712,52637,7202373,7202312,7202241,7202183,7202132,67495,67761,67827,71254,71782,9939385,9938750,9872531,9940677,9940611
30081,59833,59737,63759,63701,9497728,9497677,9497624,9497571,9496811,23211,23343,23563,23676,23917,839489291,839489212,840409593,839973265,839558667,23099,56531,64496,218619,218684,8830345,8830383,8830417,8830462,8830928,41084,41187,42706,41704,41658,9011166,9011104,9011043,9010962,9010549,29319,29225,29140,28926,40761,8733304,8463797,8463271,8460134,8450476,63370,63174,63089,62994,62037,839369282,839367741,839418854,839369493,839369553,66579,63644,66272,66158,63926,839457080,839461469,839461402,839588176,839461257,47497,47855,47803,51377,51324,838972176,838972105,838972047,838971992,838984946,45223,45649,50514,50422,49992,7192859,7192808,7192754,7192701,7192643,218823,218914,218987,224131,219242,9929608,9929144,9928495,9930905,9930854
37154,207806,207756,208102,208062,9490913,9487751,9487691,9487635,9487218,37674,37904,37991,38059,38481,839542932,839542832,840400052,839965301,839554995,37322,53664,209269,209306,209345,8820428,8820476,8820545,8820657,8821078,43651,48065,47459,52385,51600,9008189,9007882,9007796,9001203,9000816,38026,46050,38097,45999,46382,8723249,8557815,8453307,8452242,8442378,56226,60395,60331,58790,58193,839359900,839359116,839458462,839360292,839360346,66006,63060,63472,63416,63347,839450988,839451650,839451594,839583432,839451493,49356,51178,51122,43738,43667,838963444,838963365,838963294,838963221,838975231,51908,63102,63000,59017,52972,7183226,7183177,7183124,7183072,7183020,209607,215654,215721,235660,226320,9919817,9919347,9918887,9920986,9920942
197476,198390,198351,202583,202501,9481445,9481376,9481312,9481250,9477449,35115,35196,35252,35303,35577,839535704,839535624,840391129,839956394,839664839,35641,199105,201598,201648,201694,8810675,8810741,8810800,8810883,8814881,21907,25888,25054,28458,28400,8983447,8983385,8983330,8983250,8975671,40838,43702,40904,43642,198442,8713334,8548133,8547583,8442629,8432802,22113,27249,27092,27006,26885,839355034,839349746,839449070,839385525,839385597,58339,57845,58100,58044,57976,839441333,839441816,839441769,839573582,839441664,18880,30713,27019,18151,18080,838956432,838956385,838956326,838956259,839012839,52762,53320,53264,53208,53135,7172625,7172571,7172524,7172475,7172426,215657,224796,224864,225469,225256,9909417,9909025,9908562,9917788,9914509
187398,193433,193373,194817,194521,9471723,9471665,9471597,9471546,9470991,183274,183483,183582,183650,183840,839528133,839528016,840382947,839947495,839655551,188944,191446,191974,192017,192054,8800932,8801005,8801071,8804685,8846670,19669,20911,21761,21359,21277,9043402,9043352,9043286,9043182,8973072,188938,189093,189045,188996,189726,8703732,8538509,8537969,8432988,8426780,17302,20649,20587,20530,18419,839375971,839344823,839445458,839377670,839377736,34997,29440,29630,29579,29530,839431507,839431964,839431912,839563663,839431819,21676,21145,21049,24042,24379,838948709,838948653,838948596,838948529,839003106,32600,33769,33703,33642,33565,7152041,7151987,7151929,7151877,7151821,215107,215157,215208,215694,215551,9899478,9899163,9898765,9907839,9907791
201257,195083,195024,195299,195574,9462181,9462024,9461960,9461892,9461355,174012,174085,174144,174202,174370,839525225,839524282,840373799,840013865,839649900,181747,181799,204682,204735,204861,8794726,8794798,8794865,8836461,8837147,11612,15841,14501,16256,16174,9034008,9033952,9033895,9033837,8968203,184501,204827,190573,184836,239768,8694117,8559443,8528365,8423136,8421814,41323,41847,41789,41718,41645,839368797,839365824,839439718,839370033,839370094,32008,32098,56230,32234,32184,839421670,839422125,839422078,839553752,839421978,11054,42906,42791,11358,11577,838941520,838941460,838941386,838941042,838995948,25855,28267,28142,27783,26191,7144331,7144209,7142172,7142124,7142071,207473,207568,207629,207688,207954,9889592,9889130,9888832,9897801,9897753
197404,197520,197483,197733,197700,9507890,9507760,9459045,9458793,9451719,219946,220157,220294,220394,220663,839515522,839515079,840364233,840004397,839640815,194116,194513,227694,227112,227225,8826776,8826847,8826909,8826968,8828693,42107,42372,42258,42862,42773,9026721,9026671,9025826,9025764,9023121,200847,201061,201002,200938,230905,8684174,8549740,8547366,8517612,8412150,31929,39936,39825,39192,39075,839364493,839357698,839430744,839364712,839364765,45676,45767,46012,45952,45886,839411833,839412611,839412536,839543868,839412156,39363,38788,38673,53964,51743,838931735,838931677,838931612,838931553,838987987,23598,50177,49981,49888,19678,7134708,7134660,7134609,7134557,7134506,198303,197938,197978,198413,198256,9879769,9879449,9878983,9887941,9887894
190357,219278,218895,231335,219683,9498282,9498241,9498192,9498139,9448198,211033,211130,211217,211307,211532,839625186,839625131,840354402,839999583,839631241,184351,217525,218528,218112,218167,8817374,8817429,8817485,8818497,8822741,32882,33007,32946,33460,33384,9017064,9017020,9016977,9016932,9015622,235137,235999,235924,235240,236333,8676560,8540969,8539575,8508010,8402521,31600,41910,41835,41707,41549,839354869,839354310,839421219,839355053,839355098,36150,36214,36459,36387,36317,839401996,839525336,839525292,839534011,839525170,45064,50361,50276,49240,49124,838921946,838921890,838921826,838921767,838978684,41311,41868,41807,41754,41677,7124871,7124817,7124769,7124715,7124667,218896,218993,219063,236636,219451,9876902,9869287,9868961,9877752,9877699
221888,222038,221978,222422,222361,9488689,9488631,9488573,9488516,9487968,202242,202347,202435,212480,212977,839619206,839615917,840344578,840005570,839621558,209653,213995,228708,226141,226250,8809239,8810128,8810205,8811215,8811930,38152,38841,38714,40108,43651,9013957,9013886,9013814,9010063,9006795,226799,226999,226944,226876,243587,8666732,8531895,8530839,8527095,8392686,28952,32469,32358,32257,32160,839345196,839344730,839412947,839345384,839345438,57861,65365,73456,65830,65726,839392617,839515659,839515612,839524144,839515522,40741,41060,41001,48709,45029,838912173,838912111,838912040,838911977,838969139,36122,36481,36421,36026,35594,7115094,7115023,7114961,7114897,7114837,210207,210255,210300,229536,226996,9867050,9866746,9859140,9867857,9867816
62929,63071,63007,63389,63321,9332280,9332211,9332130,9332043,9328896,81725,81923,82028,82114,82335,839610359,839610306,840334783,840028227,839611740,55121,69671,75776,74302,74412,8652799,8652891,8652970,8653048,8653599,9462,12385,9556,12984,21150,8984303,8983977,8983925,8983871,8976527,75770,72482,72257,83760,88905,8506960,8372437,8371838,8369408,8337340,15807,20152,19875,19813,19719,839335810,839335053,839404999,839336517,839336667,56113,56198,64153,63267,63136,839505285,839506704,839506661,839514298,839506571,22308,22936,22872,23447,22709,838902454,838902388,838902332,838902265,838959356,27144,27404,27077,27016,26946,7105188,7105138,7105090,7105042,7104990,67927,70187,70296,71207,70792,9708126,9707838,9707531,9708933,9708888
58025,58189,58118,62027,60114,9322868,9322805,9322740,9322675,9321868,75156,78732,80830,80920,79060,839600863,839600807,840331610,840019039,839606588,45729,51070,57706,52029,53154,8629533,8629596,8629661,8629727,8630121,18304,22682,22550,24199,24061,8976164,8976089,8976017,8975820,8973675,73587,73828,73739,76383,79877,8497080,8362612,8362299,8360348,8327755,21202,21701,21638,21574,21487,839326848,839325663,839457237,839327354,839327405,53633,53743,54774,53982,53897,839496065,839502153,839502045,839504523,839497241,12849,13441,13355,13822,13198,838892684,838892620,838892563,838892497,838949550,18606,23774,23685,23552,19672,7073529,7073476,7073401,7073339,7072980,59495,59590,59743,60369,60674,9696995,9696698,9696410,9697757,9697717
58434,58735,58605,62040,59132,9313132,9313065,9312987,9312917,9312290,67298,67449,68379,68477,67840,839591193,839591145,840321793,840009882,839623806,47430,47516,48058,47648,47705,8619763,8619824,8619883,8619947,8620325,13144,13346,13258,19152,18931,9019269,8966680,8966615,8966544,8965471,68928,69129,69064,69556,69943,8486833,8400686,8352091,8351232,8346440,17986,18948,18431,18367,18264,839317495,839316698,839448070,839317692,839317757,32298,32397,33194,32594,32529,839486781,839492653,839492604,839494639,839492485,29514,30990,30907,30823,30704,838882909,838882851,838882795,838882733,838939746,13762,14368,14297,14225,14141,7063715,7063662,7063610,7063562,7063504,50660,50722,50788,51303,53582,9687135,9686856,9686565,9687880,9687840
54845,55106,54985,54668,60032,9303600,9303534,9303466,9303401,9302747,58041,58178,59083,59193,58583,839581407,839581352,840311940,840000279,839614846,40477,41979,38681,38367,38429,8609981,8610039,8610104,8610166,8610756,27613,27922,27782,28320,28233,9009915,9009855,9009804,9009743,8956358,59385,59610,59539,59916,63652,8477339,8392860,8390521,8341683,8338683,8496,9136,8805,8738,8677,839307853,839307335,839443309,839357142,839357201,50895,51856,52222,52138,52047,839482227,839482773,839482739,839484770,839482653,20074,35700,35618,35529,35388,838873139,838873081,838873024,838872971,838930689,27124,27807,27714,27622,27496,7053868,7053814,7053766,7053719,7053667,54365,54513,54810,57319,55437,9677246,9676988,9676698,9677991,9677947
25857,57243,31332,25611,57655,9273537,9266232,9266176,9266122,9264721,29247,29360,32175,32375,29818,839576233,839576154,840302093,839997497,839682554,26822,32465,33148,32577,32652,8593051,8593129,8593192,8593257,8673079,19519,19876,19725,20362,20244,9000361,9000295,9000225,9000156,8999583,36128,41813,41233,36288,42169,8450111,8364334,8364025,8313179,8310945,30737,31304,31234,31158,31016,839347447,839297688,839559374,839347792,839347841,41617,42555,42838,42764,42683,839472492,839472835,839472800,839501904,839472734,26246,93106,30404,30320,30188,838864141,838864075,838863955,838863897,838921155,19103,20073,19980,19873,19596,7044070,7043998,7043942,7043897,7043847,47135,46742,46843,54461,47511,9667372,9667101,9666847,9668117,9668071
46194,47191,46365,47002,47632,9270531,9270467,9270389,9270313,9255306,57326,57525,59846,60026,57824,839593378,839593303,840296844,839990111,839673894,22889,22994,25049,23122,23171,8583318,8587900,8588008,8662856,8663596,19066,19462,19294,19993,19851,8992023,8991934,8991851,8991757,8989984,32547,56776,56704,56612,57571,8516645,8355085,8354199,8351589,8302228,10791,11302,11236,11158,11036,839338058,839337292,839550541,839338608,839344076,32380,33146,33412,33340,33265,839462600,839462933,839462893,839492229,839462823,20377,84857,82314,82195,82015,838901693,838901630,838901532,838854186,838916245,14144,15588,15516,15389,15204,7034357,7034273,7034200,7034114,7034049,34277,30651,33962,66365,41272,9649357,9649108,9648831,9650115,9650072
