Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
547,608,950,1004,1053,1102,1150,1198,1246,1305,895,1046,974,1122,1275,1202,1352,1584,1499,1655
1820,2031,2223,2410,2594,2781,2991,3536,3748,4016,2205,2608,2422,2784,3207,2982,3817,4460,4833,5208
3819,4018,4210,4384,4554,4722,4911,5091,5257,5421,3183,3913,3501,4796,5268,5039,5501,5755,5975,6203
3090,3229,3379,3530,3664,3792,3922,4049,4188,4319,2298,2492,2389,2630,2879,2750,2987,3262,3520,3363
1382,1509,1605,1694,1792,1901,2001,2098,2193,2310,854,1041,952,1131,1574,1215,1658,1741,1824,1926
1772,1887,1985,2077,2170,2262,2354,2448,2539,2631,1121,1351,1241,1451,1630,1540,1717,2266,2372,1978
781,855,1245,1310,1370,1446,1523,1598,1693,1808,1222,1438,1324,1544,1747,1641,1855,1954,2052,2173
1752,1862,1956,2046,2139,2230,2320,2412,2503,2593,1095,1350,1227,1470,1692,1590,1832,2377,2504,2643
749,859,1344,1448,1548,1646,1742,1831,1923,2066,706,1436,822,1528,1714,1617,1809,1904,2004,2101
1234,1337,1430,1517,1603,1688,1799,1913,2024,2300,621,1133,692,1204,1385,1284,1547,1672,1791,1932
1148,1285,1406,1523,1642,1762,1876,2195,2323,2554,1173,1480,1332,1627,1911,1772,2060,2634,2791,2941
756,844,1525,976,1626,1719,1823,1921,2014,2109,1147,1387,1268,1509,1767,1645,1880,2197,2440,2314
1900,2036,2145,2247,2358,2449,2542,2633,2733,2822,2042,2318,2187,2463,2731,2617,2872,2998,3128,3254
1148,1271,1342,1404,1468,1527,1586,1756,1817,1936,1057,1279,1174,1385,1586,1487,1685,1986,2218,2098
1660,1778,1865,1951,2033,2132,2215,2301,2382,2468,988,1198,1099,1297,1974,1398,2086,2196,2305,2430
730,802,1201,1265,1399,1469,1534,1623,1684,1760,666,1086,737,1149,1268,1209,1328,1386,1445,1518
1660,1769,1863,1975,2081,2184,2278,2369,2458,2550,1637,1849,1748,1956,2205,2069,2302,2397,2491,2607
914,1006,1087,1168,1247,1341,1422,1501,1661,1758,612,718,669,768,863,815,910,1046,1152,1096
901,978,1051,1113,1198,1292,1363,1427,1605,1698,715,806,764,848,930,889,970,1011,1053,1103
788,868,937,1004,1085,1152,1219,1287,1428,1519,805,941,876,1002,1134,1064,1223,1283,1357,1425
498,548,823,883,929,970,1011,1052,1093,1151,456,547,505,788,873,832,914,955,996,1046
1200,1291,1363,1431,1500,1567,1636,1722,1789,1859,772,917,847,987,1429,1353,1496,1578,1647,1720
568,651,920,963,1005,1047,1088,1130,1179,1219,582,677,633,719,801,761,842,968,918,1010
517,567,838,881,922,961,1003,1056,1107,1168,721,851,782,918,1052,985,1129,1339,1499,1417
703,782,849,921,993,1064,1136,1207,1341,1422,585,708,642,775,905,840,969,1148,1238,1302
821,890,974,1043,1108,1195,1278,1471,1542,1632,886,1059,971,1154,1241,1200,1282,1322,1362,1403
797,892,976,1059,1411,1492,1570,1642,1832,1909,740,888,818,962,1465,1389,1535,1606,1679,1748
525,602,879,922,982,1040,1104,1177,1242,1285,672,831,752,910,1039,977,1099,1271,1409,1334
533,587,824,867,909,950,990,1031,1080,1126,660,830,741,894,1031,958,1104,1295,1469,1374
500,554,823,868,909,949,993,1048,1110,1162,594,742,676,806,930,869,994,1203,1286,1358
1416,1489,1560,1638,1723,1800,1866,1930,1998,2065,1004,1161,1090,1234,1373,1305,1438,1651,1570,1720
461,534,866,911,952,991,1031,1072,1113,1163,443,546,502,860,945,904,986,1027,1066,1116
842,934,1015,1093,1170,1247,1323,1530,1610,1706,806,921,877,987,1111,1053,1316,1376,1434,1505
702,782,838,902,967,1044,1295,1375,1457,1545,817,959,890,1024,1153,1088,1218,1484,1341,1405
1191,1268,1330,1388,1445,1501,1556,1612,1667,1722,1385,1535,1467,1598,1730,1664,1794,1861,1933,2003
584,633,870,913,953,993,1037,1078,1127,1168,490,635,563,707,848,778,1083,1155,1228,1314
1291,1375,1452,1520,1587,1655,1721,1788,1854,1920,1281,1422,1357,1487,1609,1548,1672,1731,1792,1854
590,659,929,976,1042,1096,1158,1226,1294,1378,538,685,616,966,1092,1032,1151,1211,1272,1345
887,956,1017,1077,1136,1195,1367,1430,1489,1564,808,946,880,1012,1138,1076,1205,1265,1325,1400
829,898,968,1035,1099,1163,1236,1415,1477,1549,812,940,879,998,1116,1057,1175,1235,1297,1369
2552,2889,3195,3491,3797,4105,4399,4703,5010,5350,6194,6687,7395,7996,8425,8683,8885,9065,9267,9479
2626,2858,3059,3244,3427,3602,3782,4288,9618,10922,4111,5450,7445,8649,9190,9538,9877,10812,10508,10194
1939,2201,2454,2686,2893,3109,3875,4794,5015,5211,3141,3549,3358,3722,4097,3906,4284,4463,4641,4859
1940,2106,2288,2487,2682,2921,3138,3750,3974,4446,2408,2825,2619,3139,3607,3403,3803,4008,4218,4486
2010,2191,2351,2468,2579,2696,2881,3080,3459,3833,969,2368,2225,2506,2803,2640,2941,3078,3215,3375
1789,1905,2324,2437,2540,2649,2756,2832,2909,2991,1187,1388,1289,1487,1827,1728,1918,2009,2194,2098
748,831,896,957,1017,1076,1289,1368,1432,1514,765,934,853,997,1133,1064,1205,1397,1532,1460
956,1047,1139,1222,1302,1384,1462,1670,1881,1957,552,643,600,895,1025,964,1088,1149,1209,1284
578,628,894,957,1000,1041,1082,1123,1165,1215,573,663,621,704,787,745,827,942,1032,984
2587,2842,3072,3242,3404,3565,3730,3916,4110,4322,1830,2304,2061,2501,2886,2694,3540,3738,3929,4157
2052,2264,2453,2656,2844,3024,3211,3717,5545,5757,3046,3423,3238,3612,4438,3793,4633,4824,5008,5243
1554,1752,1919,2094,2276,2490,3062,3216,3393,4104,2243,2607,2432,2788,3138,2967,3310,3773,4026,3895
2550,2797,3040,3271,3504,3728,3926,4137,4404,5081,3329,3665,3506,3821,4127,3975,4280,4432,4583,4734
2029,2228,2410,2596,2802,3011,3810,4080,4332,4553,1673,2048,1866,2220,2556,2390,3129,3292,3450,3651
5835,6683,6945,7319,7685,8373,9181,10064,10899,11122,5671,7357,6504,8215,9214,8979,9417,9624,9824,10009
974,1591,1723,1865,2002,2134,2272,2409,2551,2714,1309,1565,1449,1678,1906,1792,2023,2343,2611,2471
1259,1378,1475,1566,1663,1772,1872,2151,2255,2411,974,1219,1107,1325,1551,1434,2024,2145,2272,2412
1575,1683,1776,1870,1962,2053,2144,2236,2319,2397,902,1072,990,1151,1312,1230,1765,1874,1976,2079
