Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
661,702,757,1075,1144,1014,960,910,859,808,568,631,1146,979,927,874,820,1092,1040,687
659,732,800,1442,1177,1110,1040,1380,1319,1248,1697,1772,2267,2186,2118,2054,1982,2623,2508,2394
501,564,858,1025,1234,1177,1129,1081,970,919,3456,3576,3713,4381,4319,4256,4187,4116,4045,3971
584,626,791,859,826,1098,1044,990,936,896,434,478,1032,971,1153,1100,909,851,793,742
1348,1472,1690,1610,1849,1812,1773,1734,1984,1915,630,678,1269,1338,1209,1150,1090,1028,982,934
1460,1682,2033,1874,2195,2317,2431,2545,2656,2770,1185,1247,1686,1826,1622,1554,1489,1761,1371,1306
576,628,674,1314,977,1383,1253,1189,1126,1062,683,745,1217,1098,1060,1008,954,1179,1143,809
837,900,949,1108,1261,1214,1160,1071,1034,995,476,520,950,914,992,878,841,804,768,729
747,815,873,1015,1316,1257,1192,1114,1444,1389,1061,1158,1820,1761,1702,1505,1439,1641,1580,1235
566,635,705,1243,925,1186,1150,1114,1071,1003,797,868,1510,1315,1252,1180,1110,1447,1386,934
437,493,747,867,1146,1089,1034,981,928,803,632,667,1070,1041,974,902,846,1011,761,698
713,798,870,1526,1459,1163,1090,1389,1308,1237,462,665,817,913,883,851,785,757,727,696
495,562,619,1205,875,810,1137,1070,1006,942,482,811,1057,1092,1027,998,968,938,907,862
538,610,647,1342,1411,1287,1235,1132,1060,958,495,530,832,804,774,898,867,743,712,680
464,509,722,775,1086,1025,981,930,878,829,886,954,1535,1352,1294,1236,1175,1476,1417,1013
726,786,835,1165,1114,1071,976,945,1041,1011,2116,2247,2374,2490,2611,2725,2823,2999,2952,2902
725,775,821,1179,1137,1038,991,947,900,1092,687,750,1123,1091,948,914,877,1057,1023,990
575,634,688,1174,955,902,846,1115,1067,1013,725,768,1090,1040,989,941,908,868,836,803
1178,1246,1367,1306,1657,1599,1533,1479,1425,2203,926,998,1519,1397,1335,1277,1217,1590,1458,1066
770,846,912,1449,1394,1208,1145,1085,1338,1278,622,689,1348,1300,1247,930,1189,1134,1073,1006
823,894,957,1469,1414,1240,1180,1119,1359,1303,926,992,1536,1363,1308,1253,1194,1480,1426,1043
787,850,907,1172,1111,1047,975,1359,1300,1236,610,657,1005,972,939,795,1043,907,871,837
664,707,766,994,931,1186,1128,1067,875,824,552,777,1008,1047,976,944,911,879,846,812
639,678,711,779,946,913,882,850,745,818,651,690,823,791,958,925,893,861,758,724
713,771,820,1213,1161,1112,1061,990,928,870,915,980,1094,1038,1433,1385,1335,1279,1218,1156
658,704,759,977,1151,1096,1045,916,868,817,862,923,1526,1460,1398,1333,1128,1596,1270,1207
853,919,974,1215,1330,1276,1166,1119,1070,1023,926,985,1422,1371,1317,1251,1179,1543,1481,1045
1045,1107,1174,1624,1568,1511,1453,1402,1696,1332,507,553,1038,771,725,688,987,937,883,830
696,758,812,1240,1177,1109,1037,977,915,1310,816,888,1479,1420,1365,1103,1315,1268,1218,1167
717,774,829,1054,1000,942,881,1242,1185,1118,748,798,893,1227,1174,1120,1067,1013,961,847
689,742,796,1075,1042,1002,965,933,899,854,2424,2543,3018,2964,2906,2847,2788,2727,2668,2609
779,853,927,1513,1446,1231,1169,1106,1381,1309,2099,2245,3361,3201,3056,2922,2787,2654,2518,2383
669,709,743,958,997,924,891,857,823,787,862,931,1456,1336,1240,1582,1179,1117,1055,993
2341,2537,2603,3041,2980,2916,2853,2791,2730,2667,652,699,864,811,1142,1090,1037,981,923,753
2019,2180,2319,3290,3135,2994,2859,2726,2591,2456,528,780,1110,1042,976,1296,1237,1178,905,837
781,850,915,1580,1512,1656,1444,1375,1307,1238,762,815,991,924,1340,1279,1210,1136,1067,870
898,957,1009,1523,1332,1277,1221,1161,1466,1407,976,1074,1841,1779,1520,1455,1380,1717,1656,1593
1055,1143,1216,1841,1624,1556,1487,1415,1772,1703,1050,1117,1634,1568,1490,1404,2301,2203,2075,1958
1108,1194,1275,1905,1688,1621,1552,1478,1835,1766,989,1067,1558,1487,1640,1414,1346,1279,1210,1141
