Client_0,Client_1,Client_2,Client_3,Client_4
1571,1993,1798,2186,2394
975,1786,1606,2238,1994
1513,1886,1699,2079,2303
911,1611,1415,1994,1825
1043,1698,1519,2103,1894
1048,1837,1636,2737,2268
1942,2318,2141,2491,2686
1561,1986,1788,2179,2387
1820,2258,2070,2438,2609
1259,1533,1401,1665,1811
1441,1738,1597,1891,2051
1072,1361,1218,1508,1643
1328,1675,1494,1832,2000
1250,1566,1419,1723,1888
1421,1863,1722,1574,1992
932,1169,1065,1407,1535
682,860,772,956,1056
554,739,605,681,805
682,850,769,928,1015
940,1108,1028,1183,1258
424,782,707,853,930
597,1010,927,773,842
672,864,766,965,1055
619,782,705,863,928
562,666,620,710,761
594,752,674,824,903
564,680,624,749,824
953,1121,1045,1192,1259
534,815,734,657,893
518,741,578,665,811
561,679,624,748,824
503,791,726,925,854
613,768,692,839,917
584,872,664,790,938
422,740,676,802,869
959,1135,1052,1221,1314
475,1014,930,1084,734
529,800,604,724,869
552,802,734,673,871
609,756,687,838,911
654,794,728,857,929
474,832,763,899,973
682,838,763,917,1004
820,964,891,1042,1119
754,953,868,1033,1112
637,767,706,827,893
614,930,850,773,1002
414,851,767,935,1019
784,917,855,977,1037
1061,1237,1161,1310,1380
633,785,711,851,926
371,758,696,831,912
767,906,843,967,1028
873,1039,964,1112,1184
459,718,665,606,773
451,602,494,560,641
517,787,582,704,844
576,734,623,690,771
743,897,825,965,1034
611,726,673,774,829
470,627,516,584,664
326,644,579,703,771
514,639,582,696,759
596,753,679,827,911
500,696,543,612,655
521,673,564,629,710
287,582,526,637,697
457,541,502,583,622
705,931,772,998,1057
490,792,718,945,865
582,754,631,706,796
588,734,667,809,891
669,807,738,874,950
671,841,763,917,1001
653,791,728,852,920
607,932,864,786,999
1816,2163,2000,2336,2580
988,1507,1388,1747,1621
1372,1701,1542,1857,2054
2218,3255,3040,3462,2554
2243,2886,2581,3195,3502
2812,3184,3007,3363,3567
1332,1829,1610,2035,2260
1503,1902,1711,2110,2345
1641,2060,1849,2268,2498
1026,1550,1429,1793,1666
1005,2034,1807,2245,2496
1685,2122,1912,2358,2596
1286,2197,1980,2595,2389
1484,2024,1733,2259,2511
1486,2349,1707,2562,2780
1161,1490,1315,1659,1804
855,1059,963,1150,1251
811,945,882,1006,1066
737,862,803,921,978
369,664,608,718,778
464,589,528,645,705
539,677,612,776,843
508,639,576,697,766
288,613,542,700,767
500,713,679,783,747
441,576,480,538,609
636,1017,924,832,739
645,873,795,938,722
423,555,460,518,587
496,609,558,669,734
544,615,581,648,685
753,1159,1070,982,886
457,736,673,859,797
443,778,722,832,891
522,642,582,699,762
372,666,611,718,777
770,1166,1072,961,866
769,991,935,1039,876
510,586,552,620,658
463,568,519,615,668
393,570,536,495,602
653,779,721,838,894
510,593,554,634,670
426,604,567,524,640
532,768,598,703,824
630,770,710,832,889
531,777,601,710,839
531,673,607,730,797
484,636,530,594,672
500,624,566,680,740
745,859,806,915,969
515,741,578,677,799
451,684,626,560,742
818,952,886,1024,1097
392,610,563,733,667
443,745,665,593,811
661,768,719,816,864
612,759,697,808,852
439,521,484,558,599
697,813,760,864,914
593,719,658,800,868
494,611,557,664,723
613,728,675,783,844
752,889,829,942,995
347,560,513,618,682
503,760,552,624,687
443,588,520,654,724
567,842,625,714,898
736,872,809,939,995
373,699,637,758,826
527,659,599,717,786
627,745,691,797,849
571,705,639,776,841
527,727,578,675,779
713,838,778,894,947
416,735,662,893,812
497,698,562,654,754
705,813,763,862,910
768,914,842,984,1052
479,628,523,586,665
510,701,555,620,661
574,713,650,777,851
510,624,572,752,808
707,858,788,927,994
549,775,616,711,820
458,784,598,661,718
463,678,513,609,741
496,617,561,670,731
735,875,799,955,1028
459,612,501,566,670
485,631,527,590,667
559,670,617,738,797
368,729,655,801,877
805,949,885,1012,1074
607,721,662,778,826
528,722,578,672,784
298,504,465,566,630
785,927,863,989,1051
520,658,588,731,790
578,693,645,756,797
489,694,557,647,752
449,647,501,597,708
623,891,818,959,1033
655,800,727,865,927
527,636,584,688,747
746,1121,1020,938,853
