Client_0,Client_1,Client_2,Client_3,Client_4
958,1161,1048,1300,1438
757,1108,867,1016,1216
744,912,832,989,1073
376,701,644,753,819
532,808,750,888,977
544,670,611,725,790
524,645,584,715,761
576,689,637,739,803
719,834,782,884,933
789,884,845,921,962
378,567,420,488,533
343,555,507,463,597
479,564,524,614,670
523,728,587,790,849
513,582,550,613,648
449,518,486,549,584
632,773,716,825,876
376,532,501,464,563
688,798,750,847,896
507,608,559,659,706
422,531,477,588,638
732,839,790,887,934
551,671,612,731,793
626,736,684,800,859
546,653,602,704,761
573,670,625,716,765
666,772,723,819,863
524,630,579,682,730
418,486,454,521,552
381,661,608,711,766
542,675,611,817,874
491,565,530,599,637
518,595,560,629,685
457,637,498,566,599
493,601,553,700,648
505,643,577,708,778
531,606,572,640,678
496,634,571,697,767
573,701,640,757,820
557,789,620,725,844
788,925,858,983,1036
563,680,624,740,798
522,673,596,740,809
755,895,831,956,1018
572,701,640,765,837
496,602,551,652,706
778,907,848,963,1019
593,715,657,773,836
599,717,661,773,834
519,637,581,693,755
632,751,694,807,870
688,827,762,890,953
507,679,646,604,713
356,680,620,736,798
571,690,634,829,888
824,941,892,997,1053
563,682,626,738,800
479,598,539,654,721
294,610,548,668,731
745,876,819,933,989
538,665,599,719,774
367,656,600,705,760
504,578,544,610,648
465,579,526,637,692
880,1034,963,1106,1178
846,977,921,1046,1108
488,606,550,660,723
610,745,681,807,876
618,779,701,850,937
803,1041,898,1179,1295
1032,1564,1430,1304,1175
606,957,887,807,1026
634,831,692,777,881
610,880,819,750,958
1186,1740,1607,1470,1337
1044,1560,1435,1311,1184
540,853,676,730,778
727,913,820,999,1093
1092,1622,1498,1363,1234
1000,1581,1463,1294,1147
446,718,668,767,821
566,766,625,711,814
795,1108,890,1193,1271
571,975,906,1045,827
606,781,698,866,962
684,978,768,895,1055
755,961,862,1053,1158
1015,1202,1113,1290,1377
671,965,760,883,1049
585,951,873,785,1028
522,1043,965,1112,1177
927,1124,1035,1196,1277
745,937,837,1041,1147
700,1044,965,875,1121
1383,1575,1487,1662,1769
921,1077,997,1144,1210
787,897,848,944,989
610,767,691,819,864
489,682,579,765,850
694,801,753,848,893
515,753,639,864,992
