Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
845,942,1014,1083,1155,1578,1647,1962,2028,2090
1005,1107,1195,1278,1353,11339,11427,11910,11991,12073
853,954,1051,1141,1583,1670,1735,2058,2123,2190
780,875,968,1060,1309,11274,11350,11425,11501,11575
585,931,691,1011,1088,1551,1618,1683,1749,1814
740,800,848,894,941,10983,11059,11639,11720,11807
719,801,1178,1252,1329,1407,1469,1809,1885,1959
767,862,957,1034,1307,11428,11514,11600,12045,12130
929,1014,1086,1156,1220,1707,1778,1846,2117,2186
1352,1452,1540,1628,1718,11536,11627,11720,11812,11918
938,1043,1139,1230,1323,1897,1973,2050,2126,2201
789,885,973,1052,1130,11241,11310,11378,11741,11803
780,858,928,996,1065,1455,1518,1590,1767,1837
1337,1487,1651,1815,1966,12499,12614,12732,12836,12945
1797,1921,2034,2163,2272,2950,3019,3094,3161,3232
815,894,960,1028,1092,11374,11464,11815,11890,11972
729,817,920,1047,1169,1558,1625,1956,2028,2091
1381,1470,1546,1621,1700,11110,11614,11699,11776,11866
711,803,902,1286,1360,1431,1847,1913,1982,2046
700,786,857,941,1024,11322,11401,11820,11896,11974
821,898,971,1051,1131,1581,1647,1953,2016,2075
1221,1329,1425,1521,1615,12156,12248,12344,12440,12537
1545,1653,1749,1845,1943,2530,2595,2655,2715,2776
489,728,555,590,763,11016,11071,11366,11426,11484
662,703,738,776,820,1116,1166,1391,1435,1477
366,606,432,467,641,10952,10985,11155,11188,11221
564,607,645,680,712,891,920,1055,1083,1110
648,735,816,893,960,10989,11044,11099,11154,11209
470,676,724,769,813,1151,1200,1249,1297,1345
429,720,765,571,821,11715,11791,11863,11937,12012
1285,1348,1405,1464,1543,2008,2062,2111,2155,2199
758,816,867,915,963,11012,11062,11111,11161,11420
633,685,731,775,820,1113,1154,1196,1237,1338
445,618,656,691,725,10903,10961,11022,11076,11412
537,587,644,700,756,1094,1149,1212,1265,1389
621,691,748,811,868,11172,11228,11284,11340,11396
466,803,869,928,984,1326,1377,1427,1473,1517
604,649,697,742,799,11059,11114,11169,11224,11278
510,708,754,797,853,1189,1239,1287,1334,1382
574,651,718,776,835,11528,11589,11649,11710,11773
1141,1214,1278,1332,1384,1759,1817,1873,1930,1988
541,783,608,644,823,11092,11150,11199,11252,11302
1509,1572,1630,1690,1745,1802,1855,1907,1956,2018
565,609,644,678,796,11005,11061,11113,11373,11424
615,681,739,796,851,1149,1195,1236,1387,1430
961,1030,1086,1142,1194,10991,11067,11491,11545,11604
714,773,827,1154,1222,1276,1329,1574,1623,1668
487,697,555,736,769,11099,11149,11199,11481,11533
684,739,789,840,890,1174,1220,1276,1433,1478
472,513,547,580,677,10981,11045,11438,11494,11543
615,688,757,823,1175,1242,1298,1510,1552,1595
442,681,716,537,750,11177,11212,11245,11280,11314
572,967,669,727,799,1180,1208,1235,1262,1289
535,575,609,644,782,11069,11119,11170,11224,11543
