Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
1890,3669,3814,3952,4088,4224,5100,5285,5477,5653
1892,12351,12538,12749,12963,13169,13366,13553,13732,13903
1485,3970,4141,4308,4472,4639,4805,5023,5190,5373
1661,13102,13300,12146,12324,13806,13995,14183,14365,14539
1735,4604,4770,3287,3461,4915,5073,5226,5394,5632
1871,12295,12419,12531,11863,12740,12846,12952,13062,13169
1533,3094,3219,3383,2447,3513,3604,3691,3781,3871
1696,12242,12443,12653,12853,13016,13173,13379,13569,14878
1832,3728,3935,4102,4205,4294,4382,4471,4561,4839
1787,12774,13003,13235,13420,13635,13829,13994,14152,14334
2321,4365,4524,4709,4885,5028,5165,5306,5470,5634
1564,12573,11839,11948,12070,13038,13171,13317,13444,13574
1510,3535,2518,2631,2744,3650,3759,3868,3978,4093
935,11621,11715,11811,11903,11998,12085,12179,12817,12926
1334,2146,2225,2305,2377,2451,2528,2599,2896,2969
823,10822,10875,10926,10977,11027,11079,11129,11599,11651
659,1168,1216,1262,1309,1354,1400,1447,1606,1653
638,11158,11222,11287,10901,11409,11474,11538,11606,11676
629,1631,1688,1742,1233,1797,1850,1903,1958,2012
603,10938,11010,11081,10652,11193,11246,11298,11358,11558
439,1539,1593,1651,1044,1710,1765,1829,2099,2154
696,11564,11636,11705,11772,11840,11908,11991,12060,12112
1367,2067,2114,2160,2206,2251,2296,2341,2387,2432
690,11603,11659,11720,11783,11843,11903,11963,12022,12082
1438,2047,2099,2150,2201,2251,2302,2352,2399,2444
606,10737,10789,10845,10900,10958,11368,11428,11497,11599
536,981,1034,1084,1136,1187,1560,1613,1663,1714
1011,10599,10627,10659,10717,11031,11062,11093,11123,11154
451,802,844,870,896,1081,1107,1133,1174,1201
441,10819,10866,10916,10965,11015,11083,11132,11581,11636
638,1153,1202,1244,1286,1330,1372,1415,1572,1614
531,11147,11193,11236,11279,11321,11363,11405,11446,11488
1001,1441,1703,1744,1781,1818,1856,1893,1931,1968
850,10900,10932,10710,10744,11017,11047,11077,11107,11137
457,1018,1044,809,836,1070,1095,1120,1146,1172
574,10726,10756,10788,10820,11076,11107,11136,11166,11197
469,754,782,807,832,1015,1041,1066,1091,1118
656,10988,11063,11135,10720,11256,11327,11399,11473,11546
546,1530,1577,1623,1103,1668,1713,1757,1802,1847
486,10677,10732,10786,10845,10901,11361,11423,11473,11522
516,1035,1086,1138,1182,1225,1492,1544,1574,1600
513,11015,11084,10680,10725,11235,11300,11365,11431,11499
524,1485,1534,1053,1097,1580,1626,1671,1716,1760
941,10915,10966,11015,11064,11113,11161,11210,11658,11709
668,1160,1205,1249,1292,1336,1380,1424,1576,1622
703,10877,10913,10671,10704,11006,11041,11075,11110,11145
486,1073,1103,836,866,1133,1162,1192,1222,1252
975,10911,10973,11036,11097,11156,11215,11704,11763,11828
726,1339,1385,1432,1474,1515,1556,1789,1835,1880
712,10652,10688,10731,10798,10855,10910,10964,11438,11494
523,1024,1075,1123,1167,1210,1254,1304,1471,1521
1089,10798,10860,10922,10984,11046,11105,11618,11681,11744
630,1193,1245,1298,1350,1404,1456,1707,1762,1820
1096,10845,10907,10968,11030,11095,11161,11226,11285,11342
670,1277,1330,1381,1425,1478,1529,1584,1631,1689
574,11068,11138,10750,10804,11323,11390,11458,11525,11590
564,1552,1601,1092,1151,1645,1692,1737,1780,1824
507,10845,10883,10918,10955,10989,11024,11061,11505,11558
699,1106,1151,1193,1236,1283,1326,1369,1526,1583
1689,11750,11866,11976,12088,12200,12316,12426,12533,13458
1415,2604,2698,2787,2874,2963,3050,3138,3224,3441
1534,14197,14369,14532,14695,14846,15024,15188,15921,16287
3794,6505,6781,7060,7360,7636,7904,8185,8467,8759
1875,13263,13450,13614,13779,13940,14093,14256,14414,14576
5570,5777,6031,6304,6894,7093,7264,7442,7613,7786
1681,12541,12701,12857,13019,13199,13376,14825,14994,15176
2153,3866,4015,4150,4288,4429,4524,5182,5331,5478
2490,11599,11673,11755,11835,11914,12351,12436,12514,12589
1322,1836,1905,1975,2042,2110,2513,2586,2657,2728
829,10755,10823,10890,10956,11021,11086,11152,11217,11283
566,1228,1288,1345,1400,1453,1506,1563,1625,1687
555,11548,11618,11686,11754,11822,11888,11953,12019,12084
1364,2061,2121,2180,2238,2294,2344,2390,2434,2479
626,10867,10931,10994,10665,11104,11164,11224,11283,11343
493,1305,1356,1430,951,1502,1540,1579,1648,1709
549,10705,10750,10784,10818,10851,10882,11154,11186,11218
554,897,926,953,980,1006,1032,1159,1186,1213
604,10777,10825,10898,10949,11409,11465,11522,11576,11631
617,1151,1185,1212,1257,1588,1634,1678,1724,1767
827,10895,10941,10983,11035,11117,11198,11249,11304,11352
729,1300,1342,1388,1430,1471,1505,1550,1593,1637
566,10743,10792,10847,10908,10969,11393,11446,11500,11551
583,1085,1132,1174,1213,1256,1516,1563,1608,1648
509,10847,10626,10659,10692,10960,10991,11021,11052,11083
464,1019,780,808,835,1046,1072,1098,1124,1150
481,11922,12083,12273,12428,12607,14000,14173,14353,14525
1581,3149,3296,3435,3572,3711,4577,4722,4860,4994
1658,12484,12674,12849,11632,13064,13160,13261,13440,13613
1299,3647,3793,3942,2815,4093,4247,4402,4549,4706
1956,14038,14396,14610,14779,15068,15442,15773,16136,16492
3545,6665,6931,7178,7439,7623,7778,7941,8097,8267
2474,11989,12185,12370,12537,12693,14115,14289,14463,14686
1637,3210,3362,3514,3661,3808,4733,4888,5038,5186
952,11734,11901,12094,12297,13359,13536,13706,13879,14059
1378,2627,2769,2906,3060,4128,4265,4424,4560,4687
2088,12717,13020,13324,13617,13950,14277,14614,16102,16258
2290,5075,5213,5340,5460,5580,5702,5827,6323,6460
1859,13241,13416,13608,13776,13943,14114,14278,14451,14626
5396,5595,5756,5922,6091,6241,6383,6526,6691,6871
2407,11465,11577,11688,11807,11918,12047,12164,12298,12422
1174,2400,2507,2606,2706,2808,2922,3010,3102,3191
809,11028,11090,11145,11202,11281,11348,11412,11473,11540
453,1513,1564,1611,1658,1705,1752,1800,1847,1893
1010,10892,10981,11103,11176,11262,11349,11419,11473,11529
690,1482,1530,1578,1625,1673,1720,1767,1814,1861
466,11780,11897,12087,12340,12527,12710,14179,14296,14408
1534,3222,3373,3510,3685,3848,3975,4426,4518,4610
1558,11800,11972,12191,12385,12569,14193,14373,14563,14763
1446,3248,3430,3594,3766,3909,4891,5116,5329,5597
1480,13350,12002,12196,12390,14376,14702,15024,15292,15667
1512,5884,3378,3536,3820,6191,6504,6818,7114,7405
1512,12435,12609,12812,13051,13259,13480,13652,13837,14038
2034,4055,4209,4306,4397,4487,4576,4665,4754,4842
