Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
521,577,629,678,737,1722,1922,1835,2012,2107,574,639,696,751,811,310,539,632,714,775,1174,2505,2363,2236,2129
476,540,607,673,741,10967,11705,11595,11277,11412,495,555,612,674,741,495,562,619,677,737,918,11470,11346,11220,11101
331,603,669,726,789,1365,1996,1897,1679,1784,464,527,588,643,694,467,522,583,638,698,838,1711,1624,1538,1451
648,721,780,841,895,10994,11485,11346,11618,11749,630,701,755,815,882,503,573,630,696,751,853,11671,11542,11407,11276
526,592,649,705,777,1078,1829,1738,1926,2013,542,591,636,681,730,556,616,658,711,768,990,1985,1879,1772,1662
481,687,573,633,735,11160,11394,11281,11503,11628,611,652,684,715,751,222,442,488,533,584,1407,11666,11542,11428,11285
560,622,676,728,786,1618,1809,1717,1907,1998,462,519,580,637,695,486,545,601,654,716,1006,2063,1953,1832,1704
578,645,712,778,843,10924,11361,11290,11064,11143,510,585,649,712,787,650,721,778,839,906,724,10932,10865,10798,10728
728,1175,1081,986,863,931,1319,1262,1128,1196,487,885,956,1019,1074,694,981,1095,1168,1230,541,1054,1002,950,895
384,660,726,783,852,10617,11013,10682,10790,10853,464,527,577,628,696,587,655,719,776,840,433,10763,10716,10665,10609
484,630,544,579,674,815,1063,868,968,1012,505,565,623,682,739,774,852,925,1000,1077,449,857,808,764,724
537,592,638,686,745,10709,10815,10761,10864,10913,497,558,615,666,722,725,788,846,903,964,554,10737,10684,10630,10577
568,625,684,737,794,831,933,883,977,1016,409,467,525,630,694,397,455,513,559,606,427,825,787,746,702
575,656,719,774,825,10529,10669,10599,10726,10782,480,599,658,721,775,386,429,469,520,575,450,10697,10648,10597,10545
539,601,657,708,768,789,878,837,918,957,478,537,600,661,725,648,719,805,859,917,243,791,747,704,659
688,754,807,866,934,10442,10554,10499,10611,10665,591,659,715,765,822,666,752,834,911,988,472,10648,10601,10556,10510
560,624,688,743,801,647,742,695,790,836,461,515,571,624,681,826,924,1021,1165,1256,379,736,696,657,616
425,713,775,835,899,10729,10863,10801,10922,10981,472,536,593,649,706,450,515,575,642,714,426,10765,10714,10662,10610
444,727,795,864,936,952,1062,1007,1113,1158,466,535,598,667,727,480,548,614,667,730,462,851,811,771,730
489,548,602,660,723,10480,10887,10839,10752,10529,425,649,702,748,799,508,568,619,667,721,423,10797,10733,10674,10614
456,718,786,848,643,703,875,838,912,949,316,583,665,735,801,486,551,605,653,707,465,936,884,833,780
546,609,667,722,784,10454,10552,10504,10604,10658,511,573,627,674,731,447,483,515,546,581,409,10746,10694,10642,10585
542,597,647,694,748,625,711,667,754,798,452,509,562,613,668,473,522,577,623,668,437,848,806,762,717
