Client_0,Client_1,Client_2,Client_3,Client_4
726,811,882,953,1027
558,656,734,809,878
507,550,590,640,695
254,488,543,598,648
519,559,590,620,656
375,750,823,894,964
362,498,530,566,596
1023,1426,1529,1305,1633
1003,1428,1553,1934,1757
1182,1967,2182,2615,2389
2334,2594,2833,3066,3298
1438,1611,1971,2257,2542
1817,2062,2292,2520,2742
2390,2628,2880,3057,3216
2712,3010,3309,3861,4104
1772,1990,2193,2446,2685
1697,1936,2170,2368,2578
1811,2065,2262,2418,2633
1586,1745,1878,2000,2228
1164,2278,2471,2661,1805
1279,1432,1572,1710,1898
1617,1817,2034,2194,2371
1888,2055,2201,2342,2483
1867,2034,2183,2309,2409
649,1138,1232,1317,1413
386,720,795,865,944
888,965,1030,1092,1154
942,1054,1142,1215,1289
366,693,770,841,916
438,738,808,860,937
517,691,595,636,742
603,694,775,856,945
618,700,777,859,932
585,650,706,760,821
575,646,708,769,838
807,885,947,1007,1067
549,758,629,675,715
577,746,657,699,786
558,635,702,775,859
570,641,822,890,950
599,675,740,799,941
566,730,645,686,770
552,719,632,675,781
602,683,746,788,834
571,645,707,761,822
860,1469,1195,1078,970
576,643,713,779,854
445,748,817,882,955
571,618,659,698,744
616,844,722,774,909
627,704,782,853,928
441,654,720,851,782
513,676,591,633,717
626,830,914,984,1048
535,738,806,681,872
561,648,716,786,839
569,638,699,758,824
744,824,906,981,1067
776,841,896,948,1000
783,852,927,981,1032
547,781,660,715,837
496,552,604,665,730
546,625,716,783,862
582,649,727,803,882
379,518,440,473,557
332,557,602,653,713
669,740,806,870,935
378,435,485,533,593
445,601,649,558,701
591,676,752,826,899
532,789,634,691,740
410,470,528,581,637
643,706,765,823,885
754,834,905,976,1031
598,650,702,753,811
612,665,718,770,827
435,682,740,796,862
521,588,647,705,768
564,810,680,749,864
726,791,842,898,954
472,684,738,626,789
322,562,619,674,737
575,641,696,748,796
744,804,851,903,977
341,606,664,719,781
461,679,733,613,788
494,534,567,601,638
628,717,782,842,902
392,532,459,494,566
456,594,523,557,628
428,575,733,620,675
468,675,549,610,737
719,791,853,913,1066
832,911,982,1049,1115
506,719,785,659,858
615,894,744,814,981
585,835,692,759,905
876,952,1017,1080,1143
856,948,1029,1110,1190
575,798,668,724,867
471,738,596,665,807
379,583,623,662,534
687,766,830,892,1039
850,924,987,1050,1110
627,894,744,814,968
625,884,951,803,1018
598,678,747,813,962
923,1018,1098,1174,1252
809,888,953,1016,1078
671,798,890,968,1053
555,640,720,782,856
412,657,715,771,834
822,905,993,1060,1127
887,977,1040,1100,1163
579,779,682,730,822
371,647,711,772,841
959,1056,1144,1209,1277
964,1040,1103,1165,1226
487,562,630,695,769
799,868,924,980,1035
765,830,888,943,997
294,562,626,686,745
464,522,572,624,682
759,825,881,927,971
516,649,699,795,745
443,576,623,726,669
325,601,663,720,787
690,747,794,840,885
285,432,465,495,529
419,456,487,516,549
516,555,587,616,650
332,505,558,674,614
503,541,585,624,672
486,543,592,648,698
684,759,821,884,953
598,666,725,781,848
478,693,751,626,811
601,646,701,758,820
587,656,718,779,846
916,1000,1072,1140,1209
602,677,747,815,892
609,688,761,837,921
595,661,722,781,848
815,1233,1133,1032,929
881,1359,1244,1128,1011
597,771,680,723,813
634,850,715,772,932
365,646,710,770,838
610,685,753,818,892
976,1363,1442,1258,1116
711,793,864,933,1011
424,773,861,938,1018
474,553,618,670,746
855,1361,1239,1115,992
938,1069,1186,1306,1431
625,702,771,839,915
610,702,775,859,934
436,715,780,844,922
1912,2204,2277,2337,2409
1101,1216,1307,1401,1491
747,832,894,964,1032
545,672,625,715,757
1468,1592,1708,1822,1937
943,1365,1824,2178,2519
1264,1655,2040,2415,2799
1025,1372,1708,2043,2359
651,745,835,923,1012
728,848,953,1052,1153
484,545,617,661,719
436,612,664,559,717
510,574,630,682,739
534,581,623,662,708
549,605,653,701,753
418,542,478,509,572
605,654,695,736,776
658,718,770,820,870
461,632,563,672,703
409,651,706,763,823
464,519,575,624,682
635,700,758,815,875
469,786,845,899,951
513,557,595,643,698
552,651,615,682,712
661,729,787,841,897
476,674,575,619,718
516,568,615,666,707
516,581,635,693,754
509,646,596,691,736
494,531,563,593,627
408,457,502,544,596
455,510,563,619,676
554,617,778,857,954
453,560,521,595,633
500,736,801,863,931
425,637,521,577,692
467,689,571,627,745
973,1072,1165,1254,1343
675,746,806,874,944
539,794,855,724,917
769,883,983,1083,1182
952,1050,1140,1228,1320
811,1148,986,1067,1217
412,738,817,893,976
529,784,648,721,848
881,984,1055,1119,1219
952,1061,1157,1248,1336
340,627,699,752,823
630,863,740,793,923
486,738,817,664,903
724,825,917,1010,1101
668,788,894,998,1109
574,827,691,757,893
391,575,618,659,705
536,841,650,702,766
1129,1242,1346,1446,1546
1095,1203,1308,1411,1513
704,798,883,969,1062
661,954,1027,857,1096
928,1046,1150,1255,1357
875,973,1095,1209,1331
689,763,829,915,990
522,706,753,652,800
1087,1247,1409,1540,1642
1082,1192,1293,1388,1487
737,824,902,979,1066
663,756,831,907,991
800,903,1006,1103,1197
671,756,829,911,994
349,602,680,756,849
1002,1107,1204,1298,1393
1074,1186,1292,1396,1496
632,701,780,857,943
591,867,944,738,801
724,811,899,970,1048
745,854,957,1059,1168
1015,1145,1267,1378,1490
685,758,826,890,960
588,845,914,752,963
783,860,928,1005,1083
705,791,868,944,1037
798,1074,1152,1236,984
525,711,765,656,839
948,1487,1634,1969,1786
1122,1677,1840,2170,1982
1577,1814,2024,2225,2453
2059,2305,2509,2711,2904
2153,2333,2494,2651,2802
2282,2509,2692,2869,3045
2040,2184,2318,2453,2585
1097,1232,1363,1523,1671
1103,1249,1383,1515,1669
1139,1231,1312,1389,1475
1174,1298,1405,1511,1630
1528,1669,1780,1889,1998
1456,1597,1724,1857,2003
790,860,930,1026,1130
875,967,1061,1145,1239
827,931,1023,1101,1187
1165,1287,1468,1554,1668
804,915,1028,1115,1212
900,1013,1081,1138,1205
706,775,834,891,957
1112,1206,1286,1364,1440
1177,1294,1381,1466,1552
1157,1275,1361,1444,1523
759,1099,1183,1003,1266
519,961,1084,1169,1264
806,909,1001,1091,1192
919,1029,1128,1383,1496
1076,1178,1266,1351,1436
846,1047,1170,1269,1354
632,852,909,786,965
818,918,1011,1102,1201
820,949,1062,1190,1308
907,1033,1140,1250,1340
864,970,1066,1161,1270
944,1169,1288,1395,1532
1211,1324,1422,1516,1637
873,998,1110,1225,1348
1054,1207,1352,1476,1596
473,540,601,678,763
565,796,669,730,875
662,981,840,927,1027
785,887,977,1062,1158
733,832,1053,1149,1238
553,696,933,778,865
450,666,717,764,826
1035,1128,1208,1284,1360
959,1043,1117,1189,1261
683,899,776,824,978
589,870,951,1071,1006
675,757,827,893,970
920,1039,1261,1373,1480
417,725,797,866,943
590,891,975,799,1061
680,771,857,942,1033
916,1000,1072,1141,1231
979,1082,1170,1260,1346
674,996,1060,887,1138
612,845,716,779,923
712,804,876,945,1023
692,927,1005,1078,1149
735,830,926,983,1084
586,722,876,772,822
927,995,1053,1101,1167
658,748,836,914,996
649,839,740,787,887
650,733,810,884,971
665,945,786,856,1022
591,866,960,771,1034
659,751,865,971,1084
660,956,779,863,1046
665,744,811,965,1039
678,751,815,988,1058
996,1086,1162,1228,1300
459,794,868,935,1014
523,704,749,650,798
476,665,740,608,793
1014,1096,1166,1239,1309
675,1002,1106,1193,1281
566,747,792,693,837
664,853,753,802,899
1108,1211,1296,1377,1458
990,1087,1169,1246,1324
689,780,858,932,1002
622,818,717,766,869
920,1011,1081,1151,1220
712,804,892,1099,1195
442,665,748,920,830
700,776,862,932,1021
495,770,871,1054,965
879,964,1042,1120,1199
502,890,990,1082,1185
682,967,805,877,1051
444,789,864,943,1023
606,841,919,773,997
1014,1108,1195,1284,1368
878,958,1030,1218,1301
577,712,859,761,808
429,741,813,882,958
1045,1562,1441,1317,1182
820,918,1011,1168,1085
442,775,852,927,1012
575,861,925,782,990
755,853,935,1011,1097
713,807,900,989,1078
429,796,883,968,1070
567,832,909,1016,962
864,965,1185,1042,1111
879,976,1253,1069,1155
504,685,730,631,776
720,783,833,879,932
887,963,1027,1089,1150
994,1089,1180,1272,1357
676,772,851,932,1022
522,705,751,650,798
611,694,769,844,932
637,853,931,1000,1072
947,1051,1139,1226,1311
700,772,834,911,996
715,771,819,865,918
646,986,813,902,1065
2841,2990,3142,3234,3303
979,1063,1134,1209,1283
750,806,876,931,985
478,694,785,968,868
807,902,985,1064,1162
1436,1521,1600,1675,1761
1045,1289,1357,1142,1217
429,650,721,792,873
754,818,873,930,983
782,852,913,969,1020
403,664,723,779,846
550,771,828,708,887
606,683,756,826,905
576,649,714,777,848
862,935,1022,1089,1154
560,686,639,726,765
526,642,766,683,722
448,769,842,626,691
551,614,674,739,796
614,709,784,860,943
567,792,654,721,858
553,763,813,697,874
312,522,588,653,728
791,869,938,1000,1062
854,930,995,1057,1112
454,655,692,569,611
632,696,757,828,903
525,767,637,697,820
556,619,673,819,893
878,957,1024,1089,1153
355,590,660,736,815
556,721,634,676,761
922,1007,1083,1175,1255
439,710,770,827,892
641,879,756,815,940
633,701,776,849,930
645,753,833,921,1007
852,949,1023,1097,1169
513,763,802,660,717
572,775,905,719,837
615,691,763,831,904
776,847,911,972,1032
793,872,944,1018,1103
582,649,715,780,853
446,745,814,879,952
516,695,627,757,808
724,795,856,916,976
721,819,886,949,1016
481,643,558,599,682
441,603,517,558,644
470,517,558,602,643
824,914,1010,1099,1183
940,1045,1137,1223,1308
453,499,540,581,626
554,677,631,715,755
534,581,622,661,706
872,959,1035,1109,1184
788,875,955,1034,1121
577,650,722,792,870
520,680,597,637,720
620,700,774,858,932
645,895,755,820,965
686,769,839,897,958
530,605,677,746,824
587,657,720,782,851
597,681,756,945,1029
538,719,624,664,770
575,651,723,800,878
548,824,676,747,895
797,868,929,989,1048
562,636,809,886,719
508,718,766,649,826
391,642,687,727,772
510,592,660,716,782
558,945,1022,1091,1161
834,933,1020,1111,1211
648,914,769,828,980
580,876,938,736,795
625,873,741,796,944
859,931,992,1052,1111
928,1016,1092,1165,1237
471,734,811,888,963
672,754,834,919,1010
582,662,735,807,889
654,736,924,1001,1074
612,917,999,829,1070
615,800,704,749,845
719,993,1063,909,1134
604,789,693,739,834
907,1004,1088,1170,1251
935,1015,1084,1148,1212
609,843,707,780,918
703,791,872,949,1031
936,1018,1085,1150,1224
935,1025,1099,1182,1250
554,608,653,697,748
610,830,709,768,904
768,851,905,950,1002
1199,2318,1851,1455,1330
1786,2079,2155,2237,2321
556,638,712,786,869
642,716,832,940,1044
1065,1640,1501,1362,1220
983,1148,1193,1047,1097
677,772,873,964,1063
723,808,886,963,1056
904,1448,1317,1183,1048
355,674,743,808,882
618,864,907,796,953
578,648,715,781,853
780,851,912,966,1023
589,669,744,823,904
577,790,660,723,852
558,772,641,704,838
464,531,594,655,724
554,621,683,744,812
802,878,943,1006,1068
559,762,645,694,825
644,712,776,836,913
516,673,592,631,713
554,617,674,729,791
585,840,918,975,1042
475,627,666,582,703
492,687,810,620,739
460,761,582,629,695
828,899,958,1015,1072
1868,1965,2044,2116,2190
646,848,897,788,946
604,661,711,759,813
889,992,1092,1189,1284
1171,1298,1410,1520,1634
463,795,881,961,1095
728,822,909,991,1085
473,748,833,1004,915
774,871,1003,1112,1231
1022,1120,1211,1321,1421
851,941,1024,1106,1197
844,949,1042,1133,1238
