Client_0,Client_1,Client_2,Client_3,Client_4
10558,10934,10612,10692,10768
751,1011,799,914,961
10598,10826,10794,10690,10728
625,807,781,718,748
10598,10835,10638,10699,10734
656,806,686,746,774
10689,10882,10797,10963,11043
1025,1122,1075,1169,1215
10702,11120,10771,10880,10944
897,1181,952,1071,1126
10714,10865,10794,10933,11000
967,1067,1018,1115,1163
10760,10892,10829,10953,11014
963,1075,1017,1118,1178
11457,11852,11659,12052,12172
2112,2293,2203,2384,2471
11431,12096,11910,12263,12427
1611,2582,2449,2710,2842
12742,13165,12976,13345,13525
3529,3818,3676,3989,4129
12277,12697,12502,12887,13075
3098,3361,3234,3490,3620
12030,12396,12230,12572,12768
2773,3127,2943,3292,3441
11059,11648,11543,11758,11859
1308,1920,1835,2002,2084
12495,12837,12681,12992,13137
3122,3387,3261,3511,3671
11897,12126,12020,12222,12655
2645,2876,2758,2993,3108
10966,11192,11087,11293,11382
1330,1461,1411,1537,1614
11162,11328,11257,11395,11460
1710,1875,1796,1954,2032
10973,11566,11084,11202,11297
1266,1680,1350,1521,1595
10870,11043,10965,11119,11197
1150,1273,1216,1333,1390
10614,10741,10685,10796,10848
787,875,833,918,961
10551,10661,10613,10707,10751
706,769,743,809,864
10829,10931,10884,10975,11018
974,1047,1009,1085,1123
10599,10944,10651,10741,10793
728,952,774,871,911
10533,10630,10585,10673,10715
668,737,703,771,805
10604,10869,10641,10697,10739
649,885,694,785,838
10495,10596,10547,10649,10700
677,757,718,795,833
10823,10953,10894,11006,11058
1001,1259,1052,1313,1364
10587,10868,10822,10692,10739
672,973,923,814,867
10594,10906,10652,10714,10769
730,951,773,862,903
10549,10797,10762,10652,10690
611,804,775,712,742
10465,10710,10675,10565,10604
553,748,718,654,684
10547,10759,10697,10810,10860
544,850,807,891,932
10609,10740,10677,10796,10855
822,910,875,939,968
10625,10739,10684,10792,10844
803,887,846,928,969
10626,10872,10837,10725,10765
664,863,834,766,797
11635,11925,11803,12088,12283
2369,2678,2531,2774,2865
11421,12018,11864,12197,11563
1558,2459,2339,2575,2178
12253,12596,12437,12769,12921
3491,3791,3646,3941,4092
11304,12323,12182,12462,11880
1895,2687,2573,2804,2441
11216,12128,11965,12268,11640
1648,2553,2418,2696,2266
11437,11755,11603,11903,12058
2071,2333,2205,2463,2599
11730,12130,11930,12311,12483
2505,2773,2647,2911,3040
11809,12002,11918,12085,12177
2101,2248,2177,2319,2387
10784,10936,10881,11007,11078
1042,1163,1117,1218,1280
10859,11033,10954,11106,11179
1134,1257,1198,1316,1376
10608,11069,11001,10784,10854
840,1206,1155,1038,1098
10591,10990,10927,11050,10792
758,1130,1058,1178,1004
10720,10843,10786,10899,10957
904,1001,953,1048,1095
10684,10954,10915,10792,10836
729,960,928,857,892
11199,11325,11265,11382,11434
1385,1485,1435,1657,1709
10622,10946,10885,11005,11065
700,1061,1004,1112,1162
10644,10781,10723,10840,10903
869,969,920,1017,1062
10661,10925,10888,10769,10810
715,925,894,824,856
10586,10854,10816,10694,10736
680,889,858,790,822
10686,11128,10762,10842,10919
889,1240,954,1093,1170
10644,10909,10690,10760,10801
714,912,748,817,873
10653,10799,10716,10865,10929
889,994,943,1046,1097
10569,10685,10631,10749,10812
774,887,831,942,992
10671,10990,10927,10778,10831
716,1054,1001,883,939
11038,11171,11110,11232,11288
1248,1350,1301,1399,1451
10671,10959,10911,10778,10821
734,1050,993,875,932
10942,11380,11248,11151,11051
1422,1977,1840,1703,1564
11384,11522,11460,11583,11644
916,1015,966,1062,1151
10622,10752,10694,10804,10852
