Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
742,839,1373,1458,1541,1625,1707,1788,1868,1971
1233,1384,1521,1652,2306,2429,2525,2609,2720,2884
1448,1630,1792,2022,2190,2359,2505,2913,3073,3216
1690,1837,1975,2110,2244,2383,2524,2941,3091,3265
1441,1603,2347,2514,2671,2805,2924,3045,3172,3313
1504,1687,1853,2011,2171,2318,2811,2952,3082,3246
2188,2403,2580,2738,2891,3027,3160,3335,3480,3621
2551,2739,2899,3054,3208,3351,3486,3641,3783,3924
1581,1730,1875,2013,2149,2289,2440,2719,2867,3045
1454,1633,1802,1965,2138,2306,3089,3297,3470,3676
1842,2028,2215,2388,2559,2744,2926,3389,3530,3693
1449,1670,1883,2091,2555,2724,2894,3098,3268,3470
1042,1127,1204,1279,1352,1428,1502,1575,1768,1862
1175,1244,1305,1357,1418,1475,1532,1588,1645,1703
625,688,748,806,864,923,978,1140,1201,1270
524,946,1009,1092,1145,1199,1249,1299,1349,1485
1107,1206,1295,1384,1469,1557,1642,1727,1813,1901
544,591,624,672,720,773,977,1032,1083,1146
490,527,702,734,766,797,828,858,894,924
579,629,674,718,763,808,852,897,988,1043
438,476,509,693,725,756,802,859,916,988
990,1064,1125,1192,1247,1297,1345,1396,1449,1497
445,488,539,822,873,922,972,1021,1070,1130
452,497,548,793,844,894,944,994,1044,1103
1097,1154,1203,1251,1298,1344,1394,1446,1742,1800
1498,1676,1795,2132,2444,2818,3063,3130,3178,3224
542,597,642,688,733,778,823,1036,1086,1145
530,570,604,654,898,943,985,2154,2411,2665
1129,1204,1267,1328,1389,1451,1513,1573,1633,1693
546,595,640,683,726,769,811,854,949,1003
599,661,719,975,1065,1114,1147,1178,1209,1246
541,602,660,723,777,834,1042,1110,1161,1228
1024,1093,1156,1218,1279,1341,1403,1464,1525,1587
1131,1204,1270,1339,1406,1473,1541,1607,1676,1742
472,510,667,700,730,761,792,822,852,890
398,447,680,714,745,776,806,837,875,926
557,609,655,705,751,796,959,1005,1053,1096
595,648,693,737,781,829,876,1001,1046,1101
535,586,634,687,739,791,964,1011,1057,1112
513,551,706,739,769,800,830,860,890,928
443,481,514,719,751,782,829,864,893,931
568,635,692,742,794,843,1011,1068,1122,1173
723,780,829,878,927,975,1024,1074,1124,1184
676,727,778,832,885,937,988,1039,1089,1141
596,664,726,790,849,909,1169,1244,1319,1388
648,706,760,809,860,908,952,1101,1154,1217
797,855,907,977,1030,1093,1151,1209,1309,1375
597,653,688,740,940,1000,1058,1117,1175,1243
651,719,783,848,918,981,1045,1200,1334,1398
526,564,719,753,784,814,845,875,911,941
515,559,592,781,809,837,865,989,1034,1067
650,704,749,798,843,888,937,982,1027,1083
603,661,712,765,820,869,918,1048,1098,1158
645,711,772,831,887,948,1008,1162,1214,1278
459,496,527,707,741,772,801,830,860,898
513,560,599,841,893,943,993,1043,1093,1153
490,537,577,628,870,922,973,1022,1072,1121
1073,1178,1278,1355,1421,1478,1527,1571,1628,1671
1142,1303,1401,1492,1584,1677,1766,1846,1935,2037
486,543,596,840,892,942,992,1042,1091,1140
510,561,613,662,914,966,1020,1075,1130,1194
526,572,610,651,902,958,1010,1065,1128,1177
1100,1175,1244,1307,1370,1435,1510,1583,1655,1723
678,731,778,832,889,940,990,1041,1093,1157
585,629,668,708,759,809,859,907,956,1015
567,619,669,718,767,816,865,914,1054,1117
640,704,760,815,869,923,977,1129,1207,1288
553,619,666,746,820,906,1101,1153,1213,1269
667,723,768,813,859,903,951,998,1112,1180
487,554,922,972,1022,1071,1124,1172,1221,1282
603,656,702,747,981,1027,1072,1117,1162,1216
589,626,659,690,719,749,779,809,869,907
591,656,706,753,804,857,902,949,1002,1100
498,536,567,599,753,785,815,846,876,914
712,778,854,923,987,1054,1121,1334,1403,1472
454,491,523,553,584,614,720,751,782,820
535,571,602,630,783,815,845,877,907,946
459,501,534,566,747,802,851,898,947,1006
515,553,709,741,772,803,833,863,894,932
675,734,791,845,905,957,1004,1142,1192,1252
492,529,562,719,751,781,812,842,872,910
503,539,695,727,757,787,818,849,885,916
543,614,671,735,791,1010,1073,1140,1195,1255
519,564,816,869,921,979,1037,1090,1129,1177
1582,1691,1789,1885,1975,2065,2157,2250,2341,2436
858,927,989,1051,1113,1175,1236,1296,1419,1495
959,1025,1086,1146,1202,1401,1484,1548,1612,1684
584,660,730,799,871,944,1223,1301,1378,1481
572,633,1017,1088,1157,1226,1295,1364,1432,1515
1251,1353,1434,1513,1587,1660,1733,1820,1893,1959
824,912,990,1065,1140,1217,1292,1518,1600,1698
611,661,702,744,954,997,1040,1081,1123,1174
886,966,1039,1111,1183,1253,1325,1390,1453,1542
1013,1085,1143,1201,1259,1321,1384,1445,1506,1568
761,846,920,995,1068,1143,1388,1461,1538,1719
711,791,866,942,1017,1094,1170,1360,1434,1524
632,684,928,972,1013,1059,1115,1170,1224,1306
1012,1093,1157,1221,1281,1343,1426,1491,1561,1642
936,992,1036,1079,1123,1165,1206,1248,1289,1343
1466,1601,1725,1854,1979,2103,2234,2371,2496,2622
