Client_0,Client_1,Client_2,Client_3,Client_4
1140,1383,1323,1264,1204
11305,11603,11535,11464,11393
1558,1793,1735,1677,1620
11098,11382,11316,11248,11179
1330,1547,1497,1446,1389
10779,11030,10955,10889,10840
991,1268,1197,1125,1058
11311,11657,11584,11498,11414
1628,1856,1800,1743,1686
10832,11114,11046,10978,10909
1076,1293,1255,1214,1138
10725,11093,11000,10909,10817
1077,1323,1265,1207,1146
11099,11394,11333,11258,11186
1368,1618,1559,1490,1435
10786,11047,10995,10925,11183
972,1271,1195,1121,1347
11310,11613,11538,11470,11397
1569,1822,1765,1706,1642
10772,10945,10895,11082,11038
840,1007,969,1086,1049
10979,11233,11174,11111,11051
1398,1663,1599,1529,1463
10773,11024,10937,10853,11175
971,1236,1175,1113,1309
10774,10945,10897,11085,11039
835,1006,967,1087,1049
10717,11184,11116,11036,10949
755,1314,1258,1202,1141
10733,11079,11008,10920,10825
1081,1340,1273,1204,1143
11105,11413,11340,11268,11193
1364,1671,1594,1526,1453
10552,11196,11124,11052,10965
772,1385,1330,1264,1181
10784,11161,11073,10982,10889
1136,1369,1302,1245,1192
10711,10887,10839,11025,10979
779,949,911,1029,991
10719,11024,10954,10882,10807
998,1238,1179,1119,1060
10679,10938,10880,10827,10754
901,1123,1069,1014,959
10712,11053,10977,10893,10810
1043,1351,1290,1217,1140
10806,11162,11086,11003,10897
1128,1405,1331,1258,1194
10751,10959,10894,11193,11114
875,1156,1097,1302,1227
10837,11079,11672,11599,11511
1342,1642,1849,1784,1717
10745,11022,10957,10890,10821
978,1201,1146,1092,1037
10675,10852,10804,11038,10973
817,1053,999,1168,1112
11189,11512,11450,11386,11318
1462,1676,1624,1571,1518
10795,11087,11009,10928,11264
1055,1344,1277,1208,1437
11171,11469,11401,11329,11252
1425,1670,1612,1549,1487
10748,10836,10796,10985,10937
791,966,927,1048,1010
11155,11451,11380,11314,11243
1421,1690,1626,1561,1490
10726,10925,10863,11147,11074
841,1105,1055,1242,1177
10743,11022,10954,10886,10818
985,1249,1180,1122,1052
10666,10910,10829,11149,11067
869,1167,1100,1313,1244
10757,10996,10921,10842,11131
966,1210,1152,1093,1396
10672,10979,10902,10827,10755
962,1241,1171,1100,1032
11274,11637,11552,11468,11377
1611,1905,1832,1759,1683
10681,11273,11199,11130,11056
863,1427,1368,1309,1237
10842,11221,11128,11038,10944
1190,1436,1367,1309,1253
10715,10907,10863,10818,10771
840,994,957,920,882
10707,10880,10832,11019,10974
795,965,925,1046,1008
10838,11245,11149,11052,10949
1231,1523,1452,1380,1308
10736,10932,10886,10838,10794
880,1033,996,958,919
