Client_0,Client_1,Client_2,Client_3,Client_4
660,802,734,870,937
746,921,837,1005,1078
622,761,729,829,883
498,565,534,625,668
661,811,738,880,951
493,633,553,722,822
514,646,580,707,776
489,673,543,728,779
530,601,568,634,669
1174,1353,1270,1426,1498
518,624,573,674,729
496,592,543,641,691
419,539,455,588,646
542,657,603,710,765
741,885,815,950,1019
496,617,558,670,724
572,703,640,752,804
480,589,536,648,702
483,606,548,658,716
549,684,621,797,867
291,476,443,507,541
491,588,541,675,738
625,762,698,826,887
696,863,782,943,1021
544,662,605,701,749
497,595,544,639,701
505,622,566,676,737
691,845,765,922,998
778,930,857,1002,1050
449,570,513,623,683
604,716,661,768,829
794,961,881,1038,1108
445,513,482,544,578
494,562,532,593,627
505,603,556,655,712
503,587,547,636,692
573,699,641,759,817
731,900,820,982,1061
720,863,797,941,1007
467,581,528,614,665
496,623,558,703,764
258,482,428,537,598
657,824,744,904,981
564,682,631,732,793
532,601,569,659,790
477,575,515,607,641
460,533,500,565,600
861,1021,946,1099,1171
517,644,582,700,768
486,620,528,655,695
323,625,565,686,749
512,621,577,731,791
835,993,917,1065,1147
381,663,611,715,774
467,574,508,612,655
730,894,823,964,1033
764,907,839,975,1043
525,605,571,639,677
560,693,631,753,820
863,1051,958,1133,1186
516,611,565,667,728
585,693,643,742,798
510,584,551,617,653
492,567,532,634,673
733,893,817,969,1042
547,689,620,792,845
571,730,623,776,840
595,711,649,813,866
884,1037,964,1126,1199
978,1153,1068,1239,1323
539,656,600,712,773
457,802,731,872,953
473,640,583,678,721
823,976,903,1048,1120
407,942,859,1025,1105
586,698,645,750,807
441,641,492,698,759
966,1145,1062,1231,1315
516,808,746,866,929
459,574,513,685,753
903,1078,995,1161,1243
625,763,698,827,898
535,639,589,753,821
431,643,486,705,772
535,636,589,748,817
638,795,720,867,949
1022,1180,1121,1218,1256
569,699,637,813,882
811,964,891,1036,1108
705,907,813,1000,1091
485,602,540,717,785
413,680,634,749,798
330,587,539,658,721
849,1047,948,1140,1234
869,1059,968,1152,1237
533,616,578,689,732
471,741,679,798,869
516,633,560,672,715
598,751,682,816,923
834,1026,934,1117,1208
479,581,533,695,764
1068,1471,1288,1816,2025
1768,2206,2005,2402,2636
1178,1882,1706,2044,2265
2218,2633,2449,2811,2986
2367,2815,2616,2997,3173
2143,2482,2332,2630,2814
2360,2774,2585,3218,4270
1467,1697,1590,1901,2023
1382,1809,1567,2002,2182
976,2077,1870,2271,2474
1635,2037,1844,2227,2433
1022,2025,1836,2143,2328
1804,2251,2045,2467,2686
1119,1379,1257,1519,1664
916,1133,1032,1253,1343
702,899,797,1004,1101
564,671,626,752,799
620,776,701,844,896
517,621,573,743,796
467,678,627,709,744
773,1041,909,1160,1221
449,589,508,643,703
633,758,697,809,857
499,595,550,639,689
475,545,511,575,608
457,551,507,595,645
300,476,445,511,541
664,784,732,831,880
515,601,561,651,706
485,570,529,621,677
453,537,497,586,641
450,758,694,816,880
611,744,683,901,971
457,543,504,589,626
546,627,590,698,758
552,841,782,904,979
628,758,694,816,878
603,834,668,900,959
583,717,653,773,835
480,562,526,633,676
367,675,618,730,791
459,624,509,667,715
708,870,790,953,1132
732,930,840,1022,1100
1006,1173,1097,1246,1318
